資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-006-01	世俗諺文_天理大学図書館	1	1	飄	飄	飄風	飄風			1			＊平軽							802	
30-006-01	世俗諺文_天理大学図書館	2	1	風	風	飄風	飄風			2		平軽	＊平軽							802	
30-006-01	世俗諺文_天理大学図書館	3	2	井	井	井底	井底			1		上	上上							803	
30-006-01	世俗諺文_天理大学図書館	4	2	底	底	井底	井底			2		上	上上							803	
30-006-01	世俗諺文_天理大学図書館	5	3	叟	叟	北叟	北叟			2		上	＊上	ソウ	＊ソウ					805	
30-006-01	世俗諺文_天理大学図書館	6	4	□	□	□	□			1		上	上							805	「馬」か
30-006-01	世俗諺文_天理大学図書館	7	5	黍	黍	黍稷	黍稷			1				シヨ	シヨシヨク					807	
30-006-01	世俗諺文_天理大学図書館	8	5	稷	稷	黍稷	黍稷			2				シヨク	シヨシヨク					807	
30-006-01	世俗諺文_天理大学図書館	9	6	于	于	于公	于公			1		平	平平軽	ウ	ウ＊					807	
30-006-01	世俗諺文_天理大学図書館	10	6	公	公	于公	于公			2		平軽	平平軽		ウ＊					807	
30-006-01	世俗諺文_天理大学図書館	11	7	陰	陰	陰徳	陰徳			1		平	平入軽							808	
30-006-01	世俗諺文_天理大学図書館	12	7	徳	徳	陰徳	陰徳			2		入軽	平入軽							808	
30-006-01	世俗諺文_天理大学図書館	13	8	木	木	木雁	木雁			1		入軽濁	入軽濁＊							902	
30-006-01	世俗諺文_天理大学図書館	14	9	可	可	可	可			1		去	去							902	
30-006-01	世俗諺文_天理大学図書館	15	10	如	如	如	如シ			1		平濁	平濁							906	
30-006-01	世俗諺文_天理大学図書館	16	11	在	在	在	在マスカ			1		去	去							906	
30-006-01	世俗諺文_天理大学図書館	17	12	神	神	神	神			1		平	平							906	
30-006-01	世俗諺文_天理大学図書館	18	13	非	非	非禮	非礼			1				ヒ	ヒレイ					906	
30-006-01	世俗諺文_天理大学図書館	19	13	禮	礼	非禮	非礼			2				レイ	ヒレイ					906	
30-006-01	世俗諺文_天理大学図書館	20	14	虱	虱	虱	虱			1		平軽	平軽							907	
30-006-01	世俗諺文_天理大学図書館	21	15	尭	尭	尭	尭			1		平濁	平濁	ｘウ	ｘウ					1002	「ケウ」の「ケ」なし
30-006-01	世俗諺文_天理大学図書館	22	16	尭	尭	尭	尭			1		平濁	平濁							1002	
30-006-01	世俗諺文_天理大学図書館	23	17	王	王	王事	王事			1		平	平去							1002	
30-006-01	世俗諺文_天理大学図書館	24	17	事	事	王事	王事			2		去	平去							1002	
30-006-01	世俗諺文_天理大学図書館	25	18	溥	溥	溥天	溥天			1				ホ	ホ＊					1003	
30-006-01	世俗諺文_天理大学図書館	26	19	天	天	天子	天子			1		平軽	平軽上							1003	
30-006-01	世俗諺文_天理大学図書館	27	19	子	子	天子	天子			2		上	平軽上							1003	
30-006-01	世俗諺文_天理大学図書館	28	20	尭	尭	尭舜	尭舜			1		平濁	平濁去	サ	サ＊					1005	仮名不審
30-006-01	世俗諺文_天理大学図書館	29	20	舜	舜	尭舜	尭舜			2		去	平濁去		サ＊					1005	
30-006-01	世俗諺文_天理大学図書館	30	21	比	比	比屋	比屋			1		去	去入軽							1005	
30-006-01	世俗諺文_天理大学図書館	31	21	屋	屋	比屋	比屋			2		入軽	去入軽							1005	
30-006-01	世俗諺文_天理大学図書館	32	22	封	封	封	封ス			1		平	平							1005	
30-006-01	世俗諺文_天理大学図書館	33	23	茅	茅	茅茨	茅茨			1		平濁	平濁平	ハウ	ハウシ					1005	
30-006-01	世俗諺文_天理大学図書館	34	23	茨	茨	茅茨	茅茨			2		平	平濁平	シ	ハウシ					1005	
30-006-01	世俗諺文_天理大学図書館	35	24	綸	綸	綸言	綸言			1		平	平平濁							1006	
30-006-01	世俗諺文_天理大学図書館	36	24	言	言	綸言	綸言			2		平濁	平平濁							1006	
30-006-01	世俗諺文_天理大学図書館	37	25	施	施	施張	施張			1		平／去	平平／去平							1006	
30-006-01	世俗諺文_天理大学図書館	38	25	張	張	施張	施張			2		平	平平／去平							1006	
30-006-01	世俗諺文_天理大学図書館	39	26	釼	釼	釼戟	釼戟			1		上濁	上濁入軽	シム	シムケキ					1007	
30-006-01	世俗諺文_天理大学図書館	40	26	戟	戟	釼戟	釼戟			2		入軽	上濁入軽	ケキ	シムケキ					1007	
30-006-01	世俗諺文_天理大学図書館	41	27	農	農	農器	農器			1		平	平去	ノウ	ノウキ					1007	
30-006-01	世俗諺文_天理大学図書館	42	27	器	器	農器	農器			2		去	平去	キ	ノウキ					1007	
30-006-01	世俗諺文_天理大学図書館	43	28	得	得	得失	得失			1		入軽	入軽入軽							1007	
30-006-01	世俗諺文_天理大学図書館	44	28	失	失	得失	得失			2		入軽	入軽入軽							1007	
30-006-01	世俗諺文_天理大学図書館	45	29	黄	黄	黄河	黄河			1		平	平平／平平軽							1008	
30-006-01	世俗諺文_天理大学図書館	46	29	河	河	黄河	黄河			2		平／平軽	平平／平平軽							1008	濁点縦一列
30-006-01	世俗諺文_天理大学図書館	47	30	人	人	聖人	聖人			2		平濁	＊平濁							1008	
30-006-01	世俗諺文_天理大学図書館	48	31	優	優	優曇華	優曇華			1		上	上上濁上	ウ	ウトム＊					1101	
30-006-01	世俗諺文_天理大学図書館	49	31	曇	曇	優曇華	優曇華			2		上濁	上上濁上	トム	ウトム＊					1101	
30-006-01	世俗諺文_天理大学図書館	50	31	華	華	優曇華	優曇華			3		上	上上濁上		ウトム＊					1101	
30-006-01	世俗諺文_天理大学図書館	51	32	遇	遇	一遇	一遇			2		平濁	＊平濁	ク	＊ク					1101	
30-006-01	世俗諺文_天理大学図書館	52	33	香	香	香餌	香餌			1		平	平去濁	キヤウ	キヤウシ					1102	
30-006-01	世俗諺文_天理大学図書館	53	33	餌	餌	香餌	香餌			2		去濁	平去濁	シ	キヤウシ					1102	
30-006-01	世俗諺文_天理大学図書館	54	34	懸	懸	懸魚	懸魚			1		平	平平濁							1102	
30-006-01	世俗諺文_天理大学図書館	55	34	魚	魚	懸魚	懸魚			2		平濁	平平濁							1102	
30-006-01	世俗諺文_天理大学図書館	56	35	温	温	温樹	温樹			1		平	平去	ヲｘ	ヲｘ＊					1103	「ヲ」助詞か
30-006-01	世俗諺文_天理大学図書館	57	35	樹	樹	温樹	温樹			2		去	平去		ヲｘ＊					1103	
30-006-01	世俗諺文_天理大学図書館	58	36	拙	拙	拙誠	拙誠			1		入軽	入軽平							1104	
30-006-01	世俗諺文_天理大学図書館	59	36	誠	誠	拙誠	拙誠			2		平	入軽平							1104	
30-006-01	世俗諺文_天理大学図書館	60	37	犬	犬	犬馬	犬馬			1		上	上去濁							1104	
30-006-01	世俗諺文_天理大学図書館	61	37	馬	馬	犬馬	犬馬			2		去濁	上去濁							1104	
30-006-01	世俗諺文_天理大学図書館	62	38	情	情	忠情	忠情			2		平	＊平							1104	
30-006-01	世俗諺文_天理大学図書館	63	39	良	良	良藥	良薬			1		平	平入							1105	
30-006-01	世俗諺文_天理大学図書館	64	39	藥	薬	良藥	良薬			2		入	平入							1105	
30-006-01	世俗諺文_天理大学図書館	65	40	言	言	忠言	忠言			2		平濁	＊平濁							1105	
30-006-01	世俗諺文_天理大学図書館	66	41	知	知	四知	四知			2		平	＊平							1106	
30-006-01	世俗諺文_天理大学図書館	67	42	疋	疋	疋夫	疋夫			1		入軽	入軽平	ヒツ	ヒツフ					1106	
30-006-01	世俗諺文_天理大学図書館	68	42	夫	夫	疋夫	疋夫			2		平	入軽平	フ	ヒツフ					1106	
30-006-01	世俗諺文_天理大学図書館	69	43	蟷	蟷	蟷螂	蟷螂			1		平	平平	タウ	タウラウ					1106	
30-006-01	世俗諺文_天理大学図書館	70	43	螂	螂	蟷螂	蟷螂			2		平	平平	ラウ	タウラウ					1106	
30-006-01	世俗諺文_天理大学図書館	71	44	身	身	身體	身体			1		平	平上							1107	
30-006-01	世俗諺文_天理大学図書館	72	44	體	体	身體	身体			2		上	平上							1107	
30-006-01	世俗諺文_天理大学図書館	73	45	髮	髪	髮膚	髪膚			1		入軽	入軽平							1107	
30-006-01	世俗諺文_天理大学図書館	74	45	膚	膚	髮膚	髪膚			2		平	入軽平							1107	
30-006-01	世俗諺文_天理大学図書館	75	46	父	父	父子	父子			1		去	去上							1107	
30-006-01	世俗諺文_天理大学図書館	76	46	子	子	父子	父子			2		上	去上							1107	
30-006-01	世俗諺文_天理大学図書館	77	47	子	子	父子	父子			2		上	＊上							1108	
30-006-01	世俗諺文_天理大学図書館	78	48	父	父	父子	父子			1		去	去上							1109	
30-006-01	世俗諺文_天理大学図書館	79	48	子	子	父子	父子			2		上	去上							1109	
30-006-01	世俗諺文_天理大学図書館	80	49	肉	肉	骨肉	骨肉			2		入軽濁	＊入軽濁							1202	
30-006-01	世俗諺文_天理大学図書館	81	50	親	親	親	親			1		平	平							1202	
30-006-01	世俗諺文_天理大学図書館	82	51	内	内	内	内			1		去濁	去濁							1203	
30-006-01	世俗諺文_天理大学図書館	83	52	擧	挙	擧	挙			1		去	去							1203	
30-006-01	世俗諺文_天理大学図書館	84	53	孝	孝	孝	孝			1		去	去							1204	
30-006-01	世俗諺文_天理大学図書館	85	54	愛	愛	愛	愛ス			1		去	去							1204	
30-006-01	世俗諺文_天理大学図書館	86	55	産	産	産婦	産婦			1		上	上去		＊フ					1205	
30-006-01	世俗諺文_天理大学図書館	87	55	婦	婦	産婦	産婦			2		去	上去	フ	＊フ					1205	
30-006-01	世俗諺文_天理大学図書館	88	56	勝	勝	勝母	勝母			1		去	去去濁							1206	
30-006-01	世俗諺文_天理大学図書館	89	56	母	母	勝母	勝母			2		去濁	去去濁							1206	
30-006-01	世俗諺文_天理大学図書館	90	57	反	反	反哺	反哺			1		上	上去	ハン	ハンホ					1206	
30-006-01	世俗諺文_天理大学図書館	91	57	哺	哺	反哺	反哺			2		去	上去	ホ	ハンホ					1206	
30-006-01	世俗諺文_天理大学図書館	92	58	箕	箕	箕裘	箕裘			1		平	平平	キ	キキウ					1207	
30-006-01	世俗諺文_天理大学図書館	93	58	裘	裘	箕裘	箕裘			2		平	平平	キウ	キキウ					1207	
30-006-01	世俗諺文_天理大学図書館	94	59	兄	兄	兄弟	兄弟			1		平	平平／平去							1207	
30-006-01	世俗諺文_天理大学図書館	95	59	弟	弟	兄弟	兄弟			2		平／去	平平／平去							1207	
30-006-01	世俗諺文_天理大学図書館	96	60	胡	胡	胡越	胡越			1		平	平入軽							1208	
30-006-01	世俗諺文_天理大学図書館	97	60	越	越	胡越	胡越			2		入軽	平入軽							1208	
30-006-01	世俗諺文_天理大学図書館	98	61	昆	昆	昆弟	昆弟			1		平	平去							1208	
30-006-01	世俗諺文_天理大学図書館	99	61	弟	弟	昆弟	昆弟			2		去	平去							1208	
30-006-01	世俗諺文_天理大学図書館	100	62	三	三	三從	三従			1		平軽	平軽平		＊シヨウ					1208	
30-006-01	世俗諺文_天理大学図書館	101	62	從	従	三從	三従			2		平	平軽平	シヨウ	＊シヨウ					1208	
30-006-01	世俗諺文_天理大学図書館	102	63	偕	偕	偕老	偕老			1		平	平上	カイ	カイ＊					1301	
30-006-01	世俗諺文_天理大学図書館	103	63	老	老	偕老	偕老			2		上	平上		カイ＊					1301	
30-006-01	世俗諺文_天理大学図書館	104	64	松	松	松蘿	松蘿			1		平	平＊							1301	
30-006-01	世俗諺文_天理大学図書館	105	65	野	野	野合	野合			1		去	去入軽							1301	
30-006-01	世俗諺文_天理大学図書館	106	65	合	合	野合	野合			2		入軽	去入軽							1301	
30-006-01	世俗諺文_天理大学図書館	107	66	同	同	同穴	同穴			1		平	平入軽							1302	声点微妙
30-006-01	世俗諺文_天理大学図書館	108	66	穴	穴	同穴	同穴			2		入軽	平入軽							1302	
30-006-01	世俗諺文_天理大学図書館	109	67	牝	牝	牝鷄	牝鶏			1		去	去平	ヒン	ヒンケイ					1302	
30-006-01	世俗諺文_天理大学図書館	110	67	鷄	鶏	牝鷄	牝鶏			2		平	去平	ケイ	ヒンケイ					1302	
30-006-01	世俗諺文_天理大学図書館	111	68	糟	糟	糟糠	糟糠			1		平	平＊	サウ	サウカウ					1302	
30-006-01	世俗諺文_天理大学図書館	112	68	糠	糠	糟糠	糟糠			2			平＊	カウ	サウカウ					1302	
30-006-01	世俗諺文_天理大学図書館	113	69	夜	夜	夜行	夜行			1		去	去平							1303	
30-006-01	世俗諺文_天理大学図書館	114	69	行	行	夜行	夜行			2		平	去平							1303	
30-006-01	世俗諺文_天理大学図書館	115	70	哲	哲	哲	哲			1				テツ	テツ					1305	
30-006-01	世俗諺文_天理大学図書館	116	71	器	器	器	器			1		去	去							1306	
30-006-01	世俗諺文_天理大学図書館	117	72	玄	玄	玄豹	玄豹			1		平	平去		＊ハウ					1308	
30-006-01	世俗諺文_天理大学図書館	118	72	豹	豹	玄豹	玄豹			2		去	平去	ハウ	＊ハウ					1308	
30-006-01	世俗諺文_天理大学図書館	119	73	周	周	周公	周公			1		平	平平軽							1308	
30-006-01	世俗諺文_天理大学図書館	120	73	公	公	周公	周公			2		平軽	平平軽							1308	
30-006-01	世俗諺文_天理大学図書館	121	74	才	才	才	才			1		平	平							1308	
30-006-01	世俗諺文_天理大学図書館	122	75	後	後	後生	後生			1		去	去平		＊セイ					1309	
30-006-01	世俗諺文_天理大学図書館	123	75	生	生	後生	後生			2		平	去平	セイ	＊セイ					1309	
30-006-01	世俗諺文_天理大学図書館	124	76	孔	孔	孔	孔			1		上	上							1309	
30-006-01	世俗諺文_天理大学図書館	125	77	勇	勇	勇	勇			1		去	去							1402	
30-006-01	世俗諺文_天理大学図書館	126	78	駿	駿	駿骨	駿骨			1		去	去入軽							1402	
30-006-01	世俗諺文_天理大学図書館	127	78	骨	骨	駿骨	駿骨			2		入軽	去入軽							1402	
30-006-01	世俗諺文_天理大学図書館	128	79	禮	礼	禮	礼			1		上	上							1403	
30-006-01	世俗諺文_天理大学図書館	129	80	〓	〓（燕＋鳥）	〓雀	〓（燕＋鳥）雀			1		去	去入軽							1404	
30-006-01	世俗諺文_天理大学図書館	130	80	雀	雀	〓雀	〓（燕＋鳥）雀			2		入軽	去入軽							1404	
30-006-01	世俗諺文_天理大学図書館	131	81	鴻	鴻	鴻鵠	鴻鵠			1		平	平＊							1404	
30-006-01	世俗諺文_天理大学図書館	132	82	鉛	鉛	鉛刀	鉛刀			1		平軽	平軽平	エン	エンタウ					1405	
30-006-01	世俗諺文_天理大学図書館	133	82	刀	刀	鉛刀	鉛刀			2		平	平軽平	タウ	エンタウ					1405	
30-006-01	世俗諺文_天理大学図書館	134	83	割	割	一割	一割			2		入軽	＊入軽	カツ	＊カツ					1405	
30-006-01	世俗諺文_天理大学図書館	135	84	九	九	九牛	九牛			1		上	上平濁							1405	
30-006-01	世俗諺文_天理大学図書館	136	84	牛	牛	九牛	九牛			2		平濁	上平濁							1405	
30-006-01	世俗諺文_天理大学図書館	137	85	毛	毛	一毛	一毛			2		平濁	＊平濁							1405	
30-006-01	世俗諺文_天理大学図書館	138	86	老	老	老馬	老馬			1		上	上去濁							1407	
30-006-01	世俗諺文_天理大学図書館	139	86	馬	馬	老馬	老馬			2		去濁	上去濁							1407	
30-006-01	世俗諺文_天理大学図書館	140	87	智	智	智	智			1		去	去							1408	
30-006-01	世俗諺文_天理大学図書館	141	88	耄	耄	耄	耄			1				モウ	モウ					1408	
30-006-01	世俗諺文_天理大学図書館	142	89	老	老	老言	老言			1		上	上平濁							1408	
30-006-01	世俗諺文_天理大学図書館	143	89	言	言	老言	老言			2		平濁	上平濁							1408	
30-006-01	世俗諺文_天理大学図書館	144	90	駒	駒	白駒	白駒			2		平	＊平	ク	＊ク					1408	
30-006-01	世俗諺文_天理大学図書館	145	91	浮	浮	浮雲	浮雲			1		平	平平							1501	
30-006-01	世俗諺文_天理大学図書館	146	91	雲	雲	浮雲	浮雲			2		平	平平							1501	
30-006-01	世俗諺文_天理大学図書館	147	92	欲	欲	欲	欲スル			1		入軽	入軽							1501	
30-006-01	世俗諺文_天理大学図書館	148	93	潤	潤	潤屋	潤屋			1		去濁	去濁入軽							1502	
30-006-01	世俗諺文_天理大学図書館	149	93	屋	屋	潤屋	潤屋			2		入軽	去濁入軽							1502	
30-006-01	世俗諺文_天理大学図書館	150	94	九	九	九年	九年			1		上	上平							1502	
30-006-01	世俗諺文_天理大学図書館	151	94	年	年	九年	九年			2		平	上平							1502	
30-006-01	世俗諺文_天理大学図書館	152	95	青	青	青蝿	青蝿			1		平軽	平軽平		＊ヰヨウ					1503	
30-006-01	世俗諺文_天理大学図書館	153	95	蝿	蝿	青蝿	青蝿			2		平	平軽平	ヰヨウ	＊ヰヨウ					1503	
30-006-01	世俗諺文_天理大学図書館	154	96	怨	怨	怨難	怨難			1		去	去＊							1503	
30-006-01	世俗諺文_天理大学図書館	155	97	貧	貧	貧者	貧者			1		平	平＊							1503	
30-006-01	世俗諺文_天理大学図書館	156	98	士	士	士	士			1		去	去							1503	
30-006-01	世俗諺文_天理大学図書館	157	99	獨	独	獨歩	独歩			1		入	入上							1506	
30-006-01	世俗諺文_天理大学図書館	158	99	歩	歩	獨歩	独歩			2		上	入上							1506	
30-006-01	世俗諺文_天理大学図書館	159	100	歩	歩	七歩	七歩			2		上	＊上	ホ	＊ホ					1507	
30-006-01	世俗諺文_天理大学図書館	160	101	才	才	才	才			1		平	平							1507	
30-006-01	世俗諺文_天理大学図書館	161	102	賢	賢	賢者	賢者			1		平	平上							1507	
30-006-01	世俗諺文_天理大学図書館	162	102	者	者	賢者	賢者			2		上	平上							1507	
30-006-01	世俗諺文_天理大学図書館	163	103	失	失	一失	一失			2		入軽	＊入軽							1507	
30-006-01	世俗諺文_天理大学図書館	164	104	淡	淡	淡水	淡水			1		上	上上							1601	
30-006-01	世俗諺文_天理大学図書館	165	104	水	水	淡水	淡水			2		上	上上							1601	
30-006-01	世俗諺文_天理大学図書館	166	105	冠	冠	冠	冠			1		平	平							1601	
30-006-01	世俗諺文_天理大学図書館	167	106	膠	膠	膠漆	膠漆			1		平	平入軽							1601	
30-006-01	世俗諺文_天理大学図書館	168	106	漆	漆	膠漆	膠漆			2		入軽	平入軽							1601	
30-006-01	世俗諺文_天理大学図書館	169	107	芝	芝	芝蘭	芝蘭			1		平	平平軽							1602	
30-006-01	世俗諺文_天理大学図書館	170	107	蘭	蘭	芝蘭	芝蘭			2		平軽	平平軽							1602	
30-006-01	世俗諺文_天理大学図書館	171	108	客	客	客	客			1		入軽	入軽							1602	
30-006-01	世俗諺文_天理大学図書館	172	109	勞	労	勞	労ス			1		去	去							1602	
30-006-01	世俗諺文_天理大学図書館	173	110	鍾	鍾	鍾子期	鍾子期			1		平	平去＊							1603	
30-006-01	世俗諺文_天理大学図書館	174	110	子	子	鍾子期	鍾子期			2		去	平去＊							1603	
30-006-01	世俗諺文_天理大学図書館	175	111	死	死	死	死ス			1		上	上							1603	
30-006-01	世俗諺文_天理大学図書館	176	112	伯	伯	伯牙	伯牙			1		入軽	入軽平濁							1603	
30-006-01	世俗諺文_天理大学図書館	177	112	牙	牙	伯牙	伯牙			2		平濁	入軽平濁							1603	
30-006-01	世俗諺文_天理大学図書館	178	113	諾	諾	一諾	一諾			2		入軽濁	＊入軽濁	タク	＊タク					1604	
30-006-01	世俗諺文_天理大学図書館	179	114	舊	旧	舊惡	旧悪			1		去	去入							1604	
30-006-01	世俗諺文_天理大学図書館	180	114	惡	悪	舊惡	旧悪			2		入	去入							1604	
30-006-01	世俗諺文_天理大学図書館	181	115	盜	盗	盜泉	盗泉			1		去	去平							1605	
30-006-01	世俗諺文_天理大学図書館	182	115	泉	泉	盜泉	盗泉			2		平	去平							1605	
30-006-01	世俗諺文_天理大学図書館	183	116	窮	窮	窮鳥	窮鳥			1		平	平上							1606	
30-006-01	世俗諺文_天理大学図書館	184	116	鳥	鳥	窮鳥	窮鳥			2		上	平上							1606	
30-006-01	世俗諺文_天理大学図書館	185	117	青	青	青鳥	青鳥			1		平軽	平軽上							1607	
30-006-01	世俗諺文_天理大学図書館	186	117	鳥	鳥	青鳥	青鳥			2		上	平軽上							1607	
30-006-01	世俗諺文_天理大学図書館	187	118	鷄	鶏	鷄犬	鶏犬			1		平	平上							1607	
30-006-01	世俗諺文_天理大学図書館	188	118	犬	犬	鷄犬	鶏犬			2		上	平上							1607	
30-006-01	世俗諺文_天理大学図書館	189	119	四	四	四皓	四皓			1		去	去去		＊カウ					1609	
30-006-01	世俗諺文_天理大学図書館	190	119	皓	皓	四皓	四皓			2		去	去去	カウ	＊カウ					1609	
30-006-01	世俗諺文_天理大学図書館	191	120	浪	浪	滄浪	滄浪			2		平	＊平							1609	
30-006-01	世俗諺文_天理大学図書館	192	121	師	師	師	師			1				シ	シ					1702	
30-006-01	世俗諺文_天理大学図書館	193	122	數	数	數奇	数奇			1			＊平	ス	スキ					1702	
30-006-01	世俗諺文_天理大学図書館	194	122	奇	奇	數奇	数奇			2		平	＊平	キ	スキ					1702	
30-006-01	世俗諺文_天理大学図書館	195	123	薄	薄	薄命	薄命			1		入軽	入軽＊							1702	
30-006-01	世俗諺文_天理大学図書館	196	124	獲	獲	獲麟	獲麟			1			＊平	クワク	クワク＊					1703	
30-006-01	世俗諺文_天理大学図書館	197	124	麟	麟	獲麟	獲麟			2		平	＊平		クワク＊					1703	
30-006-01	世俗諺文_天理大学図書館	198	125	厨	厨	厨子	厨子			1				ツ	ツシ					1704	
30-006-01	世俗諺文_天理大学図書館	199	125	子	子	厨子	厨子			2				シ	ツシ					1704	
30-006-01	世俗諺文_天理大学図書館	200	126	孤	孤	孤	孤			1		平	平							1705	
30-006-01	世俗諺文_天理大学図書館	201	127	寡	寡	寡聞	寡聞			1			＊平濁	クワ	クワ＊					1705	
30-006-01	世俗諺文_天理大学図書館	202	127	聞	聞	寡聞	寡聞			2		平濁	＊平濁		クワ＊					1705	
30-006-01	世俗諺文_天理大学図書館	203	128	切	切	切瑳	切瑳			1			＊平	セツ	セツサ					1706	
30-006-01	世俗諺文_天理大学図書館	204	128	瑳	瑳	切瑳	切瑳			2		平	＊平	サ	セツサ					1706	
30-006-01	世俗諺文_天理大学図書館	205	129	琢	琢	琢磨	琢磨			1		入軽	入軽平濁	タク	タクハ					1706	
30-006-01	世俗諺文_天理大学図書館	206	129	磨	磨	琢磨	琢磨			2		平濁	入軽平濁	ハ	タクハ					1706	
30-006-01	世俗諺文_天理大学図書館	207	130	行	行	行	行			1		去	去							1706	声点微妙
30-006-01	世俗諺文_天理大学図書館	208	131	秉	秉	秉燭	秉燭			1		上	上＊							1707	
30-006-01	世俗諺文_天理大学図書館	209	132	夜	夜	夜行	夜行			1		去	去平							1707	
30-006-01	世俗諺文_天理大学図書館	210	132	行	行	夜行	夜行			2		平	去平							1707	
30-006-01	世俗諺文_天理大学図書館	211	133	可	可	可	可			1		去	去							1707	
30-006-01	世俗諺文_天理大学図書館	212	134	帷	帷	帷	帷			1		平	平	ヰ	ヰ					1708	
30-006-01	世俗諺文_天理大学図書館	213	135	下	下	下問	下問			1		去	去去濁							1708	
30-006-01	世俗諺文_天理大学図書館	214	135	問	問	下問	下問			2		去濁	去去濁							1708	
30-006-01	世俗諺文_天理大学図書館	215	136	禄	禄	禄	禄			1		入	入							1801	
30-006-01	世俗諺文_天理大学図書館	216	137	口	口	口筆	口筆			1		上	上入軽							1802	
30-006-01	世俗諺文_天理大学図書館	217	137	筆	筆	口筆	口筆			2		入軽	上入軽							1802	
30-006-01	世俗諺文_天理大学図書館	218	138	桂	桂	桂枝	桂枝			1		去	去平							1802	
30-006-01	世俗諺文_天理大学図書館	219	138	枝	枝	桂枝	桂枝			2		平	去平							1802	
30-006-01	世俗諺文_天理大学図書館	220	139	草	草	草聖	草聖			1		上	上去							1803	
30-006-01	世俗諺文_天理大学図書館	221	139	聖	聖	草聖	草聖			2		去	上去							1803	
30-006-01	世俗諺文_天理大学図書館	222	140	飛	飛	飛白	飛白			1		平	平入軽							1804	
30-006-01	世俗諺文_天理大学図書館	223	140	白	白	飛白	飛白			2		入軽	平入軽							1804	
30-006-01	世俗諺文_天理大学図書館	224	141	折	折	折角	折角			1		入軽	入軽入軽							1804	
30-006-01	世俗諺文_天理大学図書館	225	141	角	角	折角	折角			2		入軽	入軽入軽							1804	
30-006-01	世俗諺文_天理大学図書館	226	142	敍	叙	敍	叙ス			1				シヨ	シヨ					1808	
30-006-01	世俗諺文_天理大学図書館	227	143	鳳	鳳	鳳凰	鳳凰			1		去	去平							1808	
30-006-01	世俗諺文_天理大学図書館	228	143	凰	凰	鳳凰	鳳凰			2		平	去平							1808	
30-006-01	世俗諺文_天理大学図書館	229	144	千	千	千飛	千飛			1		平軽	平軽平							1808	
30-006-01	世俗諺文_天理大学図書館	230	144	飛	飛	千飛	千飛			2		平	平軽平							1808	
30-006-01	世俗諺文_天理大学図書館	231	145	騏	騏	騏驥	騏驥			1		平	平去	キ	キキ					1808	
30-006-01	世俗諺文_天理大学図書館	232	145	驥	驥	騏驥	騏驥			2		去	平去	キ	キキ					1808	
30-006-01	世俗諺文_天理大学図書館	233	146	騁	騁	馳騁	馳騁			2		去	＊去							1809	
30-006-01	世俗諺文_天理大学図書館	234	147	簷	簷	簷事府	簷事府			1		平	平上上	セム	セムシフ					1809	
30-006-01	世俗諺文_天理大学図書館	235	147	事	事	簷事府	簷事府			2		上	平上上	シ	セムシフ					1809	
30-006-01	世俗諺文_天理大学図書館	236	147	府	府	簷事府	簷事府			3		上	平上上	フ	セムシフ					1809	
30-006-01	世俗諺文_天理大学図書館	237	148	員	員	員外	員外			1		平軽	平軽去濁							1809	
30-006-01	世俗諺文_天理大学図書館	238	148	外	外	員外	員外			2		去濁	平軽去濁							1901	
30-006-01	世俗諺文_天理大学図書館	239	149	端	端	端尹	端尹			1		平	平上	タン	タンヰン					1901	
30-006-01	世俗諺文_天理大学図書館	240	149	尹	尹	端尹	端尹			2		上	平上	ヰン	タンヰン					1901	
30-006-01	世俗諺文_天理大学図書館	241	150	士	士	士	士			1		去	去							1901	
30-006-01	世俗諺文_天理大学図書館	242	151	家	家	家君	家君			1		平軽	平軽平軽							1902	
30-006-01	世俗諺文_天理大学図書館	243	151	君	君	家君	家君			2		平軽	平軽平軽							1902	
30-006-01	世俗諺文_天理大学図書館	244	152	左	左	左相府	左相府			1		去	去去上							1902	
30-006-01	世俗諺文_天理大学図書館	245	152	相	相	左相府	左相府			2		去	去去上							1902	
30-006-01	世俗諺文_天理大学図書館	246	152	府	府	左相府	左相府			3		上	去去上							1902	
30-006-01	世俗諺文_天理大学図書館	247	153	東	東	東閣	東閣			1		平軽	平軽入軽							1902	
30-006-01	世俗諺文_天理大学図書館	248	153	閣	閣	東閣	東閣			2		入軽	平軽入軽							1902	
30-006-01	世俗諺文_天理大学図書館	249	154	周	周	周公旦	周公旦			1		平軽	平軽平軽去		＊＊タン					1902	
30-006-01	世俗諺文_天理大学図書館	250	154	公	公	周公旦	周公旦			2		平軽	平軽平軽去		＊＊タン					1902	
30-006-01	世俗諺文_天理大学図書館	251	154	旦	旦	周公旦	周公旦			3		去	平軽平軽去	タン	＊＊タン					1902	
30-006-01	世俗諺文_天理大学図書館	252	155	書	書	書	書			1		平軽	平軽							1903	
30-006-01	世俗諺文_天理大学図書館	253	156	函	函	函丈	函丈			1		平	平去	カム	カムチヤウ					1903	
30-006-01	世俗諺文_天理大学図書館	254	156	丈	丈	函丈	函丈			2		去	平去	チヤウ	カムチヤウ					1903	
30-006-01	世俗諺文_天理大学図書館	255	157	禮	礼	禮	礼			1		上	上							1903	
