資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-006-01	世俗諺文_天理大学図書館	2649	1625	顔	顔	顔渕	顔渕			1		平濁	平濁平	カン	カンエン					13208	
30-006-01	世俗諺文_天理大学図書館	2650	1625	渕	渕	顔渕	顔渕			2		平	平濁平	エン	カンエン					13208	
30-006-01	世俗諺文_天理大学図書館	2651	1626	_	_	_然	_然			1		去	去平軽濁	クヰ	クヰ＊					13208	
30-006-01	世俗諺文_天理大学図書館	2652	1626	然	然	_然	_然			2		平軽濁	去平軽濁		クヰ＊					13208	
30-006-01	世俗諺文_天理大学図書館	2653	1627	孫	孫	孫卿子	孫卿子			1		平	平平上		＊ケイ＊					13306	
30-006-01	世俗諺文_天理大学図書館	2654	1627	卿	卿	孫卿子	孫卿子			2		平	平平上	ケイ	＊ケイ＊					13306	
30-006-01	世俗諺文_天理大学図書館	2655	1627	子	子	孫卿子	孫卿子			3		上	平平上		＊ケイ＊					13306	
30-006-01	世俗諺文_天理大学図書館	2656	1628	學	学	學	学			1		入	入							13306	
30-006-01	世俗諺文_天理大学図書館	2657	1629	抱	抱	抱朴子	抱朴子			1				ハウ	ハウモクシ					13401	
30-006-01	世俗諺文_天理大学図書館	2658	1629	朴	朴	抱朴子	抱朴子			2				モク	ハウモクシ					13401	
30-006-01	世俗諺文_天理大学図書館	2659	1629	子	子	抱朴子	抱朴子			3				シ	ハウモクシ					13401	
30-006-01	世俗諺文_天理大学図書館	2660	1630	呉	呉	呉生	呉生			1		平濁	平濁平軽	コ	コ＊					13401	
30-006-01	世俗諺文_天理大学図書館	2661	1630	生	生	呉生	呉生			2		平軽	平濁平軽		コ＊					13401	
30-006-01	世俗諺文_天理大学図書館	2662	1631	書	書	書	書			1		平	平							13401	
30-006-01	世俗諺文_天理大学図書館	2663	1632	書	書	書	書			1		平軽	平軽							13402	「者」を訂正
30-006-01	世俗諺文_天理大学図書館	2664	1633	戎	戎	戎卒	戎卒			1		去	去入		＊ソツ					13402	
30-006-01	世俗諺文_天理大学図書館	2665	1633	卒	卒	戎卒	戎卒			2		入	去入	ソツ	＊ソツ					13402	
30-006-01	世俗諺文_天理大学図書館	2666	1634	吐	吐	吐握	吐握			1		上	上＊	ト	トアク					13403	
30-006-01	世俗諺文_天理大学図書館	2667	1634	握	握	吐握	吐握			2			上＊	アク	トアク					13403	
30-006-01	世俗諺文_天理大学図書館	2668	1635	郤	郤	郤_	郤_			1		入	入平濁	ケキ	ケキシン					13405	
30-006-01	世俗諺文_天理大学図書館	2669	1635	_	_	郤_	郤_			2		平濁	入平濁	シン	ケキシン					13405	
30-006-01	世俗諺文_天理大学図書館	2670	1636	廣	広	廣基	広基			1		上	上平		＊キ					13405	
30-006-01	世俗諺文_天理大学図書館	2671	1636	基	基	廣基	広基			2		平	上平	キ	＊キ					13405	
30-006-01	世俗諺文_天理大学図書館	2672	1637	擧	挙	擧	挙ス			1		去	去							13405	
30-006-01	世俗諺文_天理大学図書館	2673	1638	射	射	射策	射策			1		去	去入		＊シヤク					13405	
30-006-01	世俗諺文_天理大学図書館	2674	1638	策	策	射策	射策			2		入	去入	シヤク	＊シヤク					13405	
30-006-01	世俗諺文_天理大学図書館	2675	1639	_	_	_	_			1		平	平	シン	シン					13406	「説」に作る
