資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
40-060-01	古文孝経_延文本	157	118	師	師	師	師			1	1	平	平							013_102(割注)	
40-060-01	古文孝経_延文本	158	119	稱	稱	稱	稱せ			1	2ŋ	平	平							013_102(割注)	
40-060-01	古文孝経_延文本	159	120	訓	訓	訓	訓は			1	2n	去	去							013_104(割注)	
40-060-01	古文孝経_延文本	160	121	教	教	教	教			1	2u	去	去							013_104(割注)	
40-060-01	古文孝経_延文本	161	122	扶	扶	扶持	扶持せ			1	1	平	平平							013_104(割注)	
40-060-01	古文孝経_延文本	162	122	持	持	扶持	扶持せ			2	1	平	平平							013_104(割注)	
40-060-01	古文孝経_延文本	163	123	行	行	行	行を			1	2ŋ	去	去							013_105(割注)	
40-060-01	古文孝経_延文本	164	124	行	行	行	行			1	2ŋ	去	去							013_105(割注)	
40-060-01	古文孝経_延文本	165	125	信	信	信	信あり			1	2n	去	去							013_106(割注)	
40-060-01	古文孝経_延文本	166	126	服	服	服	服す／服ス			1	2k			〔右〕フク	フク					013_108(割注)	
40-060-01	古文孝経_延文本	167	127	孝	孝	孝悌	孝悌			1	2u	去	去去							013_109(割注)	
40-060-01	古文孝経_延文本	168	127	悌	悌	孝悌	孝悌			2	2i	去	去去							013_109(割注)	
40-060-01	古文孝経_延文本	169	128	仁	仁	仁	仁			1	2n	平濁	平濁	〔右〕シン	シン					013_109(割注)	
40-060-01	古文孝経_延文本	170	129	義	義	義	義			1	1	去濁	去濁							013_109(割注)	
40-060-01	古文孝経_延文本	171	130	禮	禮	禮	禮			1	2i	上	上							013_109(割注)	
40-060-01	古文孝経_延文本	172	131	忠	忠	忠	忠			1	2ŋ	平軽	平軽							013_109(割注)	
40-060-01	古文孝経_延文本	173	132	信	信	信	信と			1	2n	去	去							013_109(割注)	
40-060-01	古文孝経_延文本	174	133	和	和	和睦	和睦して／和睦シテ			1	1	去	去入濁		＊ホク					013_109	
40-060-01	古文孝経_延文本	175	133	睦	睦	和睦	和睦して／和睦シテ			2	2k	入濁	去入濁	〔右〕ホク	＊ホク					013_109	
40-060-01	古文孝経_延文本	176	134	理	理	理	理を			1	1	上	上							013_110	
40-060-01	古文孝経_延文本	177	135	敏	敏	敏	敏は			1	2n	上濁	上濁	〔右〕ヒン	ヒン					014_114(割注)	
40-060-01	古文孝経_延文本	178	136	疾	疾	疾	疾			1	t	入	入	〔右〕シツ	シツ					014_114(割注)	
40-060-01	古文孝経_延文本	179	137	遲	遅	遲鈍	遅鈍なり			1	1		＊去	〔右〕チ	チトン					014_115(割注)	
40-060-01	古文孝経_延文本	180	137	鈍	鈍	遲鈍	遅鈍なり			2	2n	去	＊去	〔右〕トン	チトン					014_115(割注)	
40-060-01	古文孝経_延文本	181	138	謙	謙	謙	謙ノ			1	2m	平	平	〔右〕ケン	ケン					014_116(割注)	
40-060-01	古文孝経_延文本	182	139	問	問	問	問するときは			1	2n	去濁	去濁							014_116(割注)	
40-060-01	古文孝経_延文本	183	140	本	夲	本基	本基			1	2n	上	上平		＊キ					014_118(割注)	
40-060-01	古文孝経_延文本	184	140	基	基	本基	本基			2	1	平	上平	〔右〕キ	＊キ					014_118(割注)	
40-060-01	古文孝経_延文本	185	141	得	得	得	得			1	2ｋ	入	入							014_118(割注)	
