資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-016-01	新猿楽記_尊経閣文庫_古抄本	553	314	羲	羲	羲之	羲之			1		〔墨〕平濁	平濁上							068-04	
30-016-01	新猿楽記_尊経閣文庫_古抄本	554	314	之	之	羲之	羲之			2		〔墨〕上	平濁上							068-04	
30-016-01	新猿楽記_尊経閣文庫_古抄本	555	315	垂	垂	垂露	垂露			1		〔墨〕平	平上	〔墨〕スイ	スイ＊					068-04	
30-016-01	新猿楽記_尊経閣文庫_古抄本	556	315	露	露	垂露	垂露			2		〔墨〕上	平上		スイ＊					068-04	
30-016-01	新猿楽記_尊経閣文庫_古抄本	557	316	點	點	點	點			1		〔墨〕平	平	〔墨〕テン	テン					068-04	（垂露點）の流れか
30-016-01	新猿楽記_尊経閣文庫_古抄本	558	317	貫	貫	貫花	貫花			1		〔墨〕去	去平	〔墨〕―ム／クワン	―ム＊／クワンクワ					068-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	559	317	花	花	貫花	貫花			2		〔墨〕平	去平	〔墨〕クワ	―ム＊／クワンクワ					068-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	560	318	文	文	文	文			1		〔墨〕去	去							068-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	561	319	和	和	和尚	和尚			1		〔墨〕平	平去							068-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	562	319	尚	尚	和尚	和尚			2		〔墨〕去	平去							068-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	563	320	墨	墨	一墨	一墨			2		〔墨〕入軽濁	＊入軽濁	〔墨〕ホク	＊ホク					068-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	564	321	額	額	額	額			1		〔墨〕入軽濁	入軽濁	〔墨〕―ク	―ク					068-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	565	322	御	御	御書	御書			1		〔墨〕平濁	平濁上？							068-06	上に二点あり、一点はやや低く後の書入か
30-016-01	新猿楽記_尊経閣文庫_古抄本	566	322	書	書	御書	御書			2		〔墨〕上？	平濁上？							068-06	上に二点あり、一点はやや低く後の書入か
30-016-01	新猿楽記_尊経閣文庫_古抄本	567	323	草	草	草紙	草紙			1		〔墨〕上	上上	〔墨〕サウ	サウ＊					068-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	568	323	紙	紙	草紙	草紙			2		〔墨〕上	上上		サウ＊					068-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	569	324	屏	屏	屏風	屏風			1		〔墨〕去濁	去濁＊							068-07	
30-016-01	新猿楽記_尊経閣文庫_古抄本	570	325	經	経	經書	経書			1		〔墨〕去	去平							068-07	
