資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-023-03	唯信鈔_專修寺	1672	730	宿	宿	宿善	宿善			1	2	平	平平濁	シウ	シウセン					104.5		宿善
30-023-03	唯信鈔_專修寺	1673	730	善	善	宿善	宿善			2	2	平濁	平平濁	セン	シウセン					104.5		宿善
30-023-03	唯信鈔_專修寺	1674	731	今	今	今生	今生			1	2	去	去上濁							105.1		今生
30-023-03	唯信鈔_專修寺	1675	731	生	生	今生	今生			2	2	上濁	去上濁							105.1		今生
30-023-03	唯信鈔_專修寺	1676	732	惡	惡	惡業	惡業			1	2	入	入入濁	アク	アクコフ					105.1		惡業
30-023-03	唯信鈔_專修寺	1677	732	業	業	惡業	惡業			2	2	入濁	入入濁	コフ	アクコフ					105.1		惡業
30-023-03	唯信鈔_專修寺	1678	733	善	善	善根	善根			1	2			セン	センコン					105.2		善根
30-023-03	唯信鈔_專修寺	1679	733	根	根	善根	善根			2	2			コン	センコン					105.2		善根
30-023-03	唯信鈔_專修寺	1680	734	宿	宿	宿業	宿業			1	2	平	平入濁	シウ	シウコフ					105.2		宿業
30-023-03	唯信鈔_專修寺	1681	734	業	業	宿業	宿業			2	2	入濁	平入濁	コフ	シウコフ					105.2		宿業
30-023-03	唯信鈔_專修寺	1682	735	善	善	善惡	善惡			1	2	平濁	平濁入	セン	センアク					105.2		善惡
30-023-03	唯信鈔_專修寺	1683	735	惡	惡	善惡	善惡			2	2	入	平濁入	アク	センアク					105.3		善惡
30-023-03	唯信鈔_專修寺	1684	736	今	今	今生	今生			1	2	去	去上濁	コム	コムシヤウ					105.3		今生
30-023-03	唯信鈔_專修寺	1685	736	生	生	今生	今生			2	2	上濁	去上濁	シヤウ	コムシヤウ					105.3		今生
30-023-03	唯信鈔_專修寺	1686	737	善	善	善心	善心			1	2	平濁	平濁去濁	セン	センシム					105.4		善心
30-023-03	唯信鈔_專修寺	1687	737	心	心	善心	善心			2	2	去濁	平濁去濁	シム	センシム					105.4		善心
30-023-03	唯信鈔_專修寺	1688	738	宿	宿	宿善	宿善			1	2			シウ	シウセン					105.5		宿善
30-023-03	唯信鈔_專修寺	1689	738	善	善	宿善	宿善			2	2			セン	シウセン					105.5		宿善
30-023-03	唯信鈔_專修寺	1690	739	罪	罪	罪業	罪業			1	2			サイ	サイコフ					106.1		罪業
30-023-03	唯信鈔_專修寺	1691	739	業	業	罪業	罪業			2	2			コフ	サイコフ					106.1		罪業
30-023-03	唯信鈔_專修寺	1692	740	五	五	五逆	五逆			1	1			コ	コクヰヤク					106.1		五逆
30-023-03	唯信鈔_專修寺	1693	740	逆	逆	五逆	五逆			2	2			クヰヤク	コクヰヤク					106.1		五逆
30-023-03	唯信鈔_專修寺	1694	741	善	善	善根	善根			1	2			セン	センコン					106.2		善根
30-023-03	唯信鈔_專修寺	1695	741	根	根	善根	善根			2	2			コン	センコン					106.2		善根
30-023-03	唯信鈔_專修寺	1696	742	本	本	本願	本願			1	2			ホン	ホンクワン					106.3		本願
30-023-03	唯信鈔_專修寺	1697	742	願	願	本願	本願			2	2			クワン	ホンクワン					106.3		本願
30-023-03	唯信鈔_專修寺	1698	743	信	信	信	信セリ			1	2	平	平	シン	シン					106.3		信
30-023-03	唯信鈔_專修寺	1699	744	逆	逆	逆者	逆者			1	2	入濁	入濁平	クヰヤク	クヰヤクシヤ					106.3		逆者
30-023-03	唯信鈔_專修寺	1700	744	者	者	逆者	逆者			2	1	平	入濁平	シヤ	クヰヤクシヤ					106.3		逆者
30-023-03	唯信鈔_專修寺	1701	745	十	十	十念	十念			1	2			シフ	シフネム					106.3		十念
30-023-03	唯信鈔_專修寺	1702	745	念	念	十念	十念			2	2			ネム	シフネム					106.4		十念
30-023-03	唯信鈔_專修寺	1703	746	宿	宿	宿善	宿善			1	2	平	平平濁	シウ	シウセン					106.4		宿善
30-023-03	唯信鈔_專修寺	1704	746	善	善	宿善	宿善			2	2	平濁	平平濁	セン	シウセン					106.4		宿善
30-023-03	唯信鈔_專修寺	1705	747	盡	盡	盡形	盡形			1	2	平濁	平濁去濁	シン	シンキヤウ					106.4		盡形
30-023-03	唯信鈔_專修寺	1706	747	形	形	盡形	盡形			2	2	去濁	平濁去濁	キヤウ	シンキヤウ					106.5		盡形
30-023-03	唯信鈔_專修寺	1707	748	稱	稱	稱念	稱念			1	2	去	去平	シヨウ	シヨウネム					106.5		稱念
30-023-03	唯信鈔_專修寺	1708	748	念	念	稱念	稱念			2	2	平	去平	ネム	シヨウネム					106.5		稱念
30-023-03	唯信鈔_專修寺	1709	749	宿	宿	宿善	宿善			1	2	平	平平濁	シウ	シウセン					106.5		宿善
30-023-03	唯信鈔_專修寺	1710	749	善	善	宿善	宿善			2	2	平濁	平平濁	セン	シウセン					107.1		宿善
30-023-03	唯信鈔_專修寺	1711	750	逆	逆	逆者	逆者			1	2	入濁	入濁平	クヰヤク	クヰヤクシヤ					107.1		逆者
30-023-03	唯信鈔_專修寺	1712	750	者	者	逆者	逆者			2	1	平	入濁平	シヤ	クヰヤクシヤ					107.1		逆者
30-023-03	唯信鈔_專修寺	1713	751	宿	宿	宿善	宿善			1	2	平	平平濁	シウ	シウセン					107.2		宿善
30-023-03	唯信鈔_專修寺	1714	751	善	善	宿善	宿善			2	2	平濁	平平濁	セン	シウセン					107.2		宿善
30-023-03	唯信鈔_專修寺	1715	752	一	一	一生	一生			1	1	入	入去	ヰチ	ヰチシヤウ					107.2		一生
30-023-03	唯信鈔_專修寺	1716	752	生	生	一生	一生			2	2	去	入去	シヤウ	ヰチシヤウ					107.2		一生
30-023-03	唯信鈔_專修寺	1717	753	稱	稱	稱念	稱念			1	2	去	去平	シヨウ	シヨウネム					107.3		稱念
30-023-03	唯信鈔_專修寺	1718	753	念	念	稱念	稱念			2	2	平	去平	ネム	シヨウネム					107.3		稱念
30-023-03	唯信鈔_專修寺	1719	754	宿	宿	宿善	宿善			1	2	平	平平濁	シウ	シウセン					107.3		宿善
30-023-03	唯信鈔_專修寺	1720	754	善	善	宿善	宿善			2	2	平濁	平平濁	セン	シウセン					107.3		宿善
30-023-03	唯信鈔_專修寺	1721	755	小	小	小智	小智			1	2	平	平平	セウ	セウチ					107.4		小智
30-023-03	唯信鈔_專修寺	1722	755	智	智	小智	小智			2	1	平	平平	チ	セウチ					107.4		小智
30-023-03	唯信鈔_專修寺	1723	756	菩	菩	菩提	菩提			1	1	上濁	上濁上濁	ホ	ホタイ					107.4		菩提
30-023-03	唯信鈔_專修寺	1724	756	提	提	菩提	菩提			2	2	上濁	上濁上濁	タイ	ホタイ					107.4		菩提
30-023-03	唯信鈔_專修寺	1725	757	信	信	信	信スル			1	2	平	平	シン	シン					108.2		信
30-023-03	唯信鈔_專修寺	1726	758	往	往	往生淨土	往生淨土			1	2		＊＊平濁平濁	ワウ	ワウシヤウシヤウト					108.2		往生淨土
30-023-03	唯信鈔_專修寺	1727	758	生	生	往生淨土	往生淨土			2	2		＊＊平濁平濁	シヤウ	ワウシヤウシヤウト					108.3		往生淨土
30-023-03	唯信鈔_專修寺	1728	758	淨	淨	往生淨土	往生淨土			3	2	平濁	＊＊平濁平濁	シヤウ	ワウシヤウシヤウト					108.3		往生淨土
30-023-03	唯信鈔_專修寺	1729	758	土	土	往生淨土	往生淨土			4	1	平濁	＊＊平濁平濁	ト	ワウシヤウシヤウト					108.3		往生淨土
30-023-03	唯信鈔_專修寺	1730	759	信	信	信心	信心			1	2	平	平去濁	シン	シンシム					108.3		信心
30-023-03	唯信鈔_專修寺	1731	759	心	心	信心	信心			2	2	去濁	平去濁	シム	シンシム					108.3		信心
30-023-03	唯信鈔_專修寺	1732	760	信	信	信心決定	信心決定シ			1	2	平	平去濁入平濁	シン	シンシムクヱチチヤウ					108.4		信心決定
30-023-03	唯信鈔_專修寺	1733	760	心	心	信心決定	信心決定シ			2	2	去濁	平去濁入平濁	シム	シンシムクヱチチヤウ					108.4		信心決定
30-023-03	唯信鈔_專修寺	1734	760	決	決	信心決定	信心決定シ			3	1	入	平去濁入平濁	クヱチ	シンシムクヱチチヤウ					108.4		信心決定
30-023-03	唯信鈔_專修寺	1735	760	定	定	信心決定	信心決定シ			4	2	平濁	平去濁入平濁	チヤウ	シンシムクヱチチヤウ					108.4		信心決定
30-023-03	唯信鈔_專修寺	1736	761	稱	稱	稱念	稱念			1	2	去	去平	シヨウ	シヨウネム					108.4		稱念
30-023-03	唯信鈔_專修寺	1737	761	念	念	稱念	稱念			2	2	平	去平	ネム	シヨウネム					108.5		稱念
30-023-03	唯信鈔_專修寺	1738	762	要	要	要	要			1	2	平	平	エウ	エウ					108.5		要
30-023-03	唯信鈔_專修寺	1739	763	經	經	經	經			1	2			キヤウ	キヤウ					108.5		經
30-023-03	唯信鈔_專修寺	1740	764	乃	乃	乃至一念	乃至一念			1	2			ナイ	ナイシヰチネム					108.5		乃至一念
30-023-03	唯信鈔_專修寺	1741	764	至	至	乃至一念	乃至一念			2	1			シ	ナイシヰチネム					108.5		乃至一念
30-023-03	唯信鈔_專修寺	1742	764	一	一	乃至一念	乃至一念			3	1			ヰチ	ナイシヰチネム					109.1		乃至一念
30-023-03	唯信鈔_專修寺	1743	764	念	念	乃至一念	乃至一念			4	2			ネム	ナイシヰチネム					109.1		乃至一念
30-023-03	唯信鈔_專修寺	1744	765	_	_	_數	_数			1	2	平	平平濁	ヘン	ヘンシユ					109.2		_数
30-023-03	唯信鈔_專修寺	1745	765	數	数	_數	_数			2	1	平濁	平平濁	シユ	ヘンシユ					109.2		_数
30-023-03	唯信鈔_專修寺	1746	766	願	願	願	願			1	2			クワン	クワン					109.3		願
30-023-03	唯信鈔_專修寺	1747	767	信	信	信	信セ			1	2	平	平	シン	シン					109.3		信
30-023-03	唯信鈔_專修寺	1748	768	念	念	念佛	念佛			1	2			ネム	ネムフチ					109.3		念佛
30-023-03	唯信鈔_專修寺	1749	768	佛	佛	念佛	念佛			2	1			フチ	ネムフチ					109.4		念佛
30-023-03	唯信鈔_專修寺	1750	769	信	信	信	信セ			1	2	平	平	シン	シン					109.4		信
30-023-03	唯信鈔_專修寺	1751	770	專	專	專修念佛	專修念佛			1	2	去	去上濁＊＊	セン	センシユネムフチ					110.1		專修念佛
30-023-03	唯信鈔_專修寺	1752	770	修	修	專修念佛	專修念佛			2	1	上濁	去上濁＊＊	シユ	センシユネムフチ					110.1		專修念佛
30-023-03	唯信鈔_專修寺	1753	770	念	念	專修念佛	專修念佛			3	2		去上濁＊＊	ネム	センシユネムフチ					110.1		專修念佛
30-023-03	唯信鈔_專修寺	1754	770	佛	佛	專修念佛	專修念佛			4	1		去上濁＊＊	フチ	センシユネムフチ					110.1		專修念佛
30-023-03	唯信鈔_專修寺	1755	771	大	大	大乘	大乗			1	2		＊去濁	タイ	タイシヨウ					110.2		大乗
30-023-03	唯信鈔_專修寺	1756	771	乘	乗	大乘	大乗			2	2	去濁	＊去濁	シヨウ	タイシヨウ					110.2		大乗
30-023-03	唯信鈔_專修寺	1757	772	修	修	修行	修行			1	1	上	上上濁	シユ	シユキヤウ					110.2		修行
