資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
20-050-01	大鏡_天理大学図書館	175	100	高	高	高陽院	高陽院			1		平	平平＊	カ	カヤウヰン					022b-3	本文左傍書入
20-050-01	大鏡_天理大学図書館	176	100	陽	陽	高陽院	高陽院			2		平	平平＊	ヤウ	カヤウヰン					022b-3	本文左傍書入
20-050-01	大鏡_天理大学図書館	177	100	院	院	高陽院	高陽院			3			平平＊	ヰン	カヤウヰン					022b-3	本文左傍書入
20-050-01	大鏡_天理大学図書館	178	101	心	心	心譽僧都	心誉僧都			1		去	去平＊＊		＊ヨ＊＊					022b-7	
20-050-01	大鏡_天理大学図書館	179	101	譽	誉	心譽僧都	心誉僧都			2		平	去平＊＊	ヨ	＊ヨ＊＊					022b-7	
20-050-01	大鏡_天理大学図書館	180	102	權	権	權別當扶公僧都	権別當扶公僧都			1				コン	コンヘンタウフコウ＊＊					022b-8	
20-050-01	大鏡_天理大学図書館	181	102	別	別	權別當扶公僧都	権別當扶公僧都			2				ヘン	コンヘンタウフコウ＊＊					022b-8	
20-050-01	大鏡_天理大学図書館	182	102	當	當	權別當扶公僧都	権別當扶公僧都			3				タウ	コンヘンタウフコウ＊＊					022b-8	
20-050-01	大鏡_天理大学図書館	183	102	扶	扶	權別當扶公僧都	権別當扶公僧都			4				フ	コンヘンタウフコウ＊＊					022b-8	
20-050-01	大鏡_天理大学図書館	184	102	公	公	權別當扶公僧都	権別當扶公僧都			5				コウ	コンヘンタウフコウ＊＊					022b-8	
20-050-01	大鏡_天理大学図書館	185	103	文	文	文慶僧都は	文慶僧都は			1		去	去上	モン	モンケイ					023a-4	
20-050-01	大鏡_天理大学図書館	186	103	慶	慶	文慶僧都は	文慶僧都は			2		上	去上	ケイ	モンケイ					023a-4	
20-050-01	大鏡_天理大学図書館	187	104	枇	枇	枇杷ノ	枇杷ノ			1		去濁	去濁上	ヒ	ヒハ					023a-5	
20-050-01	大鏡_天理大学図書館	188	104	杷	杷	枇杷ノ	枇杷ノ			2		上	去濁上	ハ	ヒハ					023a-5	
20-050-01	大鏡_天理大学図書館	189	105	過	過	過差	過差を			1		去	去平	クワ	クワサ					023b-2	
20-050-01	大鏡_天理大学図書館	190	105	差	差	過差	過差を			2		平	去平	サ	クワサ					023b-2	
20-050-01	大鏡_天理大学図書館	191	106	制	制	制	制を			1				セイ	セイ					023b-3	
20-050-01	大鏡_天理大学図書館	192	107	裝	装	御裝束	御装束の			2				シヤウ	＊シヤウソク					023b-4	
20-050-01	大鏡_天理大学図書館	193	107	束	束	御裝束	御装束の			3				ソク	＊シヤウソク					023b-4	
20-050-01	大鏡_天理大学図書館	194	108	職	職	職事	職事を			1				シキ	シキシ					023b-7	
20-050-01	大鏡_天理大学図書館	195	108	事	事	職事	職事を			2				シ	シキシ					023b-7	
20-050-01	大鏡_天理大学図書館	196	109	美	美	美麗	美麗			1				ヒ	ヒレイ					024a-1	
20-050-01	大鏡_天理大学図書館	197	109	麗	麗	美麗	美麗			2				レイ	ヒレイ					024a-1	
20-050-01	大鏡_天理大学図書館	198	110	隨	随	御隨身	御随身の			2				スイ	＊スイシン					024a-7	
20-050-01	大鏡_天理大学図書館	199	110	身	身	御隨身	御随身の			3				シン	＊スイシン					024a-7	
20-050-01	大鏡_天理大学図書館	200	111	制	制	制	制し			1				セイ	セイ					024a-7	
20-050-01	大鏡_天理大学図書館	201	112	勘	勘	勘當	勘當の			1		去	去上濁	カン	カン＊					024b-3	
