資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	国立国会図書館デジタルコレクション複製本リンク
40-045-01	東洋文庫本法華経音訓	1	1	妙	妙	妙	妙			1	1	平	平	メウ	メウ				"序品,(妙,_)"	01a3_1		https://dl.ndl.go.jp/pid/3438692/1/2
40-045-01	東洋文庫本法華経音訓	2	2	妙	_	妙	_			1	1	(平)	(平)	(メウ)	(メウ)				"序品,同(妙,_)"	01a3_2		https://dl.ndl.go.jp/pid/3438692/1/2
40-045-01	東洋文庫本法華経音訓	3	3	法	法	法	法			1	1	入	入	ホフ	ホフ				序品	01a3_3		https://dl.ndl.go.jp/pid/3438692/1/2
40-045-01	東洋文庫本法華経音訓	4	4	蓮	蓮	蓮	蓮			1	1	上／去	上／去	レン	レン				序品	01a3_4	複製本では上声点不鮮明だが、原本では確認できる。	https://dl.ndl.go.jp/pid/3438692/1/2
40-045-01	東洋文庫本法華経音訓	5	5	華	華	華	華			1	1	上／去	上／去	クエ	クエ				"序品,(華,_,花)"	01b1_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	6	6	華	_	華	_			1	1	(上／去)	(上／去)	(クエ)	(クエ)				"序品,同(華,_,花)"	01b1_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	7	7	花	花	花	花			1	1	(上／去)	(上／去)	(クエ)	(クエ)				"序品,同(華,_,花)"	01b1_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	8	8	經	經	經	經			1	1	上／去	上／去	キヤウ	キヤウ				序品	01b1_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	9	9	序	序	序	序			1	1	平濁	平濁	シヨ	シヨ				序品	01b2_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	10	10	品	品	品	品			1	1	平	平	ホン	ホン				序品	01b2_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	11	11	第	第	第	第			1	1	平濁／去濁	平濁／去濁	タイ	タイ				序品	01b2_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	12	12	一	一	一	一			1	1	入	入	イチ	イチ				序品	01b2_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	13	13	如	如	如	如			1	1	上／去	上／去	ニヨ	ニヨ				序品	01b3_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	14	14	是	是	是	是			1	1	平濁	平濁	セ	セ				序品	01b3_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	15	15	我	我	我	我			1	1	平濁	平濁	カ	カ				序品	01b3_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	16	16	聞	聞	聞	聞			1	1	上／去	上／去	モン	モン				序品	01b3_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	17	17	時	時	時	時			1	1	上濁／去濁	上濁／去濁	シ	シ				序品	01b4_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	18	18	佛	佛	佛	佛			1	1	入濁	入濁	フツ	フツ				序品	01b4_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	19	19	住	住	住	住			1	1	平濁	平濁	チウ	チウ				序品	01b4_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	20	20	王	王	王	王			1	1	平／上／去	平／上／去	ワウ	ワウ				序品	01b4_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	21	21	舍	舍	舍	舍			1	1	平／上	平／上	シヤ	シヤ				序品	01b5_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	22	22	城	城	城	城			1	1	去濁	去濁	シヤウ	シヤウ				序品	01b5_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	23	23	耆	耆	耆	耆			1	1	上濁／去濁	上濁／去濁	キ	キ				序品	01b5_3	八十日―	https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	24	24	闍	闍	闍	闍			1	1	上	上	シヤ	シヤ				序品	01b5_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	25	25	崛	崛	崛	崛			1	1	入	入	クツ	クツ				序品	01b6_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	26	26	山	山	山	山			1	1	上／去	上／去	セン	セン				序品	01b6_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	27	27	中	中	中	中			1	1	上／去	上／去	チウ	チウ				序品	01b6_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	28	28	與	與	與	與			1	1	平	平	ヨ	ヨ				序品	01b6_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	29	29	大	大	大	大			1	1	平濁	平濁	タイ	タイ				序品	02a1_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	30	30	比	比	比	比			1	1	平濁	平濁	ヒ	ヒ				序品	02a1_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	31	31	丘	丘	丘	丘			1	1	上	上	ク	ク				序品	02a1_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	32	32	衆	衆	衆	衆			1	1	平／上／去	平／上／去	シユ／シユウ	シユ／シユウ				序品	02a1_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	33	33	萬	万	萬	万			1	1	平	平	マン	マン				"序品,(万,萬)"	02a2_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	34	34	萬	萬	萬	萬			1	1	(平)	(平)	(マン)	(マン)				"序品,同(万,萬)"	02a2_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	35	35	二	二	二	二			1	1	平／上／去	平／上／去	ニ	ニ				序品	02a2_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	36	36	千	千	千	千			1	1	上／去	上／去	セン	セン				序品	02a2_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	37	37	人	人	人	人			1	1	上／去	上／去	ニン	ニン				序品	02a3_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	38	38	倶	倶	倶	倶			1	1	上／去	上／去	ク	ク				序品	02a3_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	39	39	皆	皆	皆	皆			1	1	上／去	上／去	カイ	カイ				序品	02a3_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	40	40	阿	阿	阿	阿			1	1	平／上／去	平／上／去	ア	ア				序品	02a3_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	41	41	羅	羅	羅	羅			1	1	上／去	上／去	ラ	ラ				序品	02a4_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	42	42	漢	漢	漢	漢			1	1	平	平	カン	カン				序品	02a4_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	43	43	諸	諸	諸	諸			1	1	上／去	上／去	シヨ	シヨ				序品	02a4_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	44	44	漏	漏	漏	漏			1	1	平	平	ロ	ロ				序品	02a4_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	45	45	巳	巳	巳	已			1	1	平	平	イ／シ	イ／シ				序品	02a5_1	掲出字「巳」（漢字音シ）と「已」（漢字音ミ）を混同したか。和訓も「スデニ/ミ/ヤム」とあり、このうち「ミ」は「巳」の和訓、「スデニ」「ヤム」は「已」の和訓とみられる。	https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	46	46	盡	盡	盡	盡			1	1	平濁	平濁	シン	シン				序品	02a5_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	47	47	無	無	無	無			1	1	上／去	上／去	ム	ム				"序品,(無,无)"	02a5_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	48	48	無	无	無	无			1	1	(上／去)	(上／去)	(ム)	(ム)				"序品,同(無,无)"	02a5_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	49	49	復	復	復	復			1	1	平濁／入	平濁／入	フ	フ				序品	02a5_1	字左側にも仮名注があったと見えるが損壊により読めず。	https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	50	50	煩	煩	煩	煩			1	1	去濁	去濁	ホン	ホン				序品	02a5_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	51	51	惱	__	惱	__			1	1	平	平	ナウ	ナウ				"序品,(__,__)"	02a5_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	52	52	惱	__	惱	__			1	1	(平)	(平)	(ナウ)	(ナウ)				"序品,同(__,__)"	02a5_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	53	53	逮	逮	逮	逮			1	1	平	平	タイ	タイ				序品	02b1_1		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	54	54	得	得	得	得			1	1	入	入	トク	トク				序品	02b1_2		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	55	55	己	己	己	己			1	1	平／上	平／上	コ	コ				序品	02b1_3		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	56	56	利	利	利	利			1	1	平	平	リ	リ				序品	02b1_4		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	57	57	有	有	有	有			1	1	平	平	ウ	ウ				序品	02b2_1		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	58	58	結	結	結	結			1	1	入	入	ケツ	ケツ				序品	02b2_2		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	59	59	心	心	心	心			1	1	上／去	上／去	シン	シン				序品	02b2_3		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	60	60	自	自	自	自			1	1	平濁	平濁	シ	シ				序品	02b2_4		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	61	61	在	在	在	在			1	1	平濁	平濁	サイ	サイ				序品	02b3_1		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	62	62	其	其	其	其			1	1	上濁／去濁	上濁／去濁	コ	コ				序品	02b3_2		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	63	63	名	名	名	名			1	1	上／去	上／去	ミヤウ	ミヤウ				序品	02b3_3		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	64	64	曰	曰	曰	曰			1	1	入	入	ワツ	ワツ				序品	02b3_4		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	65	65	若	若	若	若			1	1	平／上／入	平／上／入	ニヤ／ニヤク	ニヤ／ニヤク				序品	02b4_1		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	66	66	_	_	_	_			1	1	去	去	ケウ	ケウ				序品	02b4_2		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	67	67	陳	陳	陳	陳			1	1	上濁	上濁	チン	チン				序品	02b4_3		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	68	68	摩	摩	摩	摩			1	1	平／上	平／上	マ	マ				序品	02b4_4		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	69	69	訶	訶	訶	訶			1	1	平／上	平／上	カ	カ				"序品,(訶,呵)"	02b5_1		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	70	70	呵	呵	呵	呵			1	1	(平／上)	(平／上)	(カ)	(カ)				"序品,同(訶,呵)"	02b5_2		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	71	71	迦	迦	迦	迦			1	1	上／去	上／去	カ	カ				序品	02b5_3	釋―	https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	72	72	葉	葉	葉	葉			1	1	入	入	セフ／エフ	セフ／エフ				序品	02b5_4		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	73	73	優	優	優	優			1	1	上／去	上／去	ウ	ウ				序品	02b6_1		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	74	74	樓	樓	樓	樓			1	1	上／去	上／去	[右上]ル／[右下]ロ／[左]ロウ	[右上]ル／[右下]ロ／[左]ロウ				序品	02b6_2		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	75	75	頻	頻	頻	頻			1	1	上濁／去濁	上濁／去濁	ヒン	ヒン				序品	02b6_3		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	76	76	螺	螺	螺	螺			1	1	上	上	ラ	ラ				序品	02b6_4		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	77	77	伽	伽	伽	伽			1	1	上濁	上濁	カ	カ				序品	03a1_1	僧―	https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	78	78	耶	耶	耶	耶			1	1	上	上	ヤ	ヤ				"序品,(耶,邪)"	03a1_2		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	79	79	邪	邪	邪	邪			1	1	(上)	(上)	(ヤ)	(ヤ)				"序品,同(耶,邪)"	03a1_3		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	80	80	那	那	那	那			1	1	上	上	ナ	ナ				序品	03a1_4		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	81	81	提	提	提	提			1	1	上濁／去濁	上濁／去濁	タイ	タイ				序品	03a2_1		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	82	82	弗	弗	弗	弗			1	1	入	入	ホツ	ホツ				序品	03a2_2		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	83	83	目	目	目	目			1	1	入	入	モク	モク				序品	03a2_3		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	84	84	_	_	_	_			1	1	去	去	ケン	ケン				序品	03a2_4	_牛	https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	85	85	連	連	連	連			1	1	上	上	レン	レン				序品	03a3_1		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	86	86	旃	旃	旃	旃			1	1	上／去	上／去	セン	セン				"序品,(旃,_)"	03a3_2		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	87	87	旃	_	旃	_			1	1	(上／去)	(上／去)	(セン)	(セン)				"序品,同(旃,_)"	03a3_3		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	88	88	延	延	延	延			1	1	上	上	エン	エン				序品	03a3_4		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	89	89	_	_	_	_			1	1	上	上	ヌ	ヌ				序品	03a4_1	_の「兔」の上部「ク」はなし	https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	90	90	駄	駄	駄	駄			1	1	平濁	平濁	タ	タ				序品	03a4_2		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	91	91	劫	劫	劫	劫			1	1	入	入	コフ	コフ				序品	03a4_3		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	92	92	賓	_	賓	_			1	1	去	去	ヒン	ヒン				序品	03a4_4		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	93	93	梵	梵	梵	梵			1	1	平濁	平濁	ホム	ホム				序品	03a5_1		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	94	94	波	波	波	波			1	1	平／上	平／上	ハ	ハ				序品	03a5_2		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	95	95	離	離	離	離			1	1	上	上	リ	リ				序品	03a5_3		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	96	96	婆	婆	婆	婆			1	1	上	上	ハ	ハ				序品	03a5_4		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	97	97	多	多	多	多			1	1	上／去	上／去	タ	タ				序品	03a6_1		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	98	98	畢	畢	畢	畢			1	1	入	入	ヒチ	ヒチ				序品	03a6_2		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	99	99	陵	陵	陵	陵			1	1	去	去	リヨウ	リヨウ				序品	03a6_3		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	100	100	蹉	蹉	蹉	蹉			1	1	上	上	シヤ	シヤ				序品	03a6_4		https://dl.ndl.go.jp/pid/3438692/1/4
40-045-01	東洋文庫本法華経音訓	101	101	薄	薄	薄	薄			1	1	入	入	ハク	ハク				序品	03b1_1		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	102	102	拘	拘	拘	拘			1	1	上	上	ク	ク				序品	03b1_2		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	103	103	_	_	_	_			1	1	上	上	チ	チ				序品	03b1_3		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	104	104	難	難	難	難			1	1	平／去	平／去	ナン	ナン				序品	03b1_4		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	105	105	陀	_	陀	_			1	1			タ	タ				"序品,(_,陀)"	03b2_1	佛―	https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	106	106	陀	陀	陀	陀			1	1			(タ)	(タ)				"序品,同(_,陀)"	03b2_2		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	107	107	孫	孫	孫	孫			1	1	去	去	ソン	ソン				序品	03b2_3		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	108	108	富	富	富	富			1	1	平／上	平／上	フ	フ				序品	03b2_4		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	109	109	彌	弥	彌	弥			1	1	上／去	上／去	ミ	ミ				序品	03b3_1		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	110	110	尼	尼	尼	尼			1	1	上／去	上／去	ニ	ニ				序品	03b3_2		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	111	111	子	子	子	子			1	1	平	平	シ	シ				序品	03b3_3		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	112	112	須	須	須	須			1	1	上	上	シユ	シユ				序品	03b3_4		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	113	113	菩	菩	菩	菩			1	1	上濁／去濁	上濁／去濁	ホ	ホ				序品	03b4_1		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	114	114	_	_	_	_			1	1	上濁	上濁	コ	コ				序品	03b4_2		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	115	115	所	所	所	所			1	1	平	平	シヨ	シヨ				"序品,(所,_)"	03b4_3		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	116	116	所	_	所	_			1	1	(平)	(平)	(シヨ)	(シヨ)				"序品,同(所,_)"	03b4_4		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	117	117	知	知	知	知			1	1	上／去	上／去	チ	チ				序品	03b5_1		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	118	118	識	識	識	識			1	1	入	入	シキ	シキ				序品	03b5_2		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	119	119	等	等	等	等			1	1	平	平	トウ	トウ				序品	03b5_3		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	120	120	學	學	學	學			1	1	入濁	入濁	カク	カク				序品	03b5_4		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	121	121	眷	眷	眷	眷			1	1	平	平	クエン	クエン				序品	03b6_1	 U+E0103	https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	122	122	屬	屬	屬	屬			1	1	入濁	入濁	ソク	ソク				"序品,(屬,属)"	03b6_2		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	123	123	屬	属	屬	属			1	1	(入濁)	(入濁)	(ソク)	(ソク)				"序品,同(屬,属)"	03b6_3		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	124	124	六	六	六	六			1	1	入	入	ロク	ロク				序品	03b6_4		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	125	125	母	母	母	母			1	1	平	平	モ	モ				序品	04a1_1		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	126	126	輸	輸	輸	輸			1	1	上	上	シユ	シユ				序品	04a1_2		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	127	127	亦	亦	亦	亦			1	1	入	入	ヤク	ヤク				"序品,(亦,__)"	04a1_3		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	128	128	亦	__	亦	__			1	1	(入)	(入)	(ヤク)	(ヤク)				"序品,同(亦,__)"	04a1_4		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	129	129	薩	薩	薩	薩			1	1	入	入	サツ	サツ				序品	04a2_1		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	130	130	八	八	八	八			1	1	入	入	ハチ／ハツ	ハチ／ハツ				序品	04a2_2		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	131	131	於	於	於	於			1	1	上／去	上／去	ヲ	ヲ				"序品,(於,_)"	04a2_3		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	132	132	於	_	於	_			1	1	(上／去)	(上／去)	(ヲ)	(ヲ)				"序品,同(於,_)"	04a2_4		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	133	133	耨	耨	耨	耨			1	1	入	入	ノク	ノク				序品	04a3_1		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	134	134	三	三	三	三			1	1	上／去	上／去	サム	サム				序品	04a3_2		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	135	135	藐	藐	藐	藐			1	1	入	入	ミヤク	ミヤク				"序品,(藐,__)"	04a3_3		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	136	136	__	__	__	__			1	1	(入)	(入)	(ミヤク)	(ミヤク)				"序品,同(藐,__)"	04a3_4		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	137	137	不	不	不	不			1	1	上／去	上／去	フ	フ				序品	04a4_1		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	138	138	退	退	退	退			1	1	平	平	タイ	タイ				序品	04a4_2		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	139	139	轉	轉	轉	轉			1	1	平	平	テン	テン				序品	04a4_3		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	140	140	樂	樂	樂	樂			1	1	平濁／入濁	平濁／入濁	[右]ケウ／[左上]ラク／[左下]カク	[右]ケウ／[左上]ラク／[左下]カク				序品	04a4_4		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	141	141	説	説	説	説			1	1	入	入	セツ	セツ				序品	04a5_1		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	142	142	辯	辯	辯	辯			1	1	平濁	平濁	ヘン	ヘン				"序品,(辯,__)"	04a5_2	言―	https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	143	143	辯	__	辯	__			1	1	(平濁)	(平濁)	(ヘン)	(ヘン)				"序品,同(辯,__)"	04a5_3		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	144	144	才	才	才	才			1	1	去濁	去濁	サイ	サイ				序品	04a5_4		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	145	145	輪	輪	輪	輪			1	1	去	去	リン	リン				序品	04a6_1		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	146	146	供	供	供	供			1	1	平	平	ク	ク				序品	04a6_2		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	147	147	養	養	養	養			1	1	平	平	ヰヤウ	ヰヤウ				序品	04a6_3		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	148	148	量	量	量	量			1	1	平	平	リヤウ	リヤウ				序品	04a6_4		https://dl.ndl.go.jp/pid/3438692/1/5
40-045-01	東洋文庫本法華経音訓	149	149	百	百	百	百			1	1	入	入	ヒヤク	ヒヤク				序品	04b1_1		https://dl.ndl.go.jp/pid/3438692/1/6
40-045-01	東洋文庫本法華経音訓	150	150	殖	殖	殖	殖			1	1	入	入	シキ／チ	シキ／チ				"序品,(殖,植)"	04b1_2		https://dl.ndl.go.jp/pid/3438692/1/6
40-045-01	東洋文庫本法華経音訓	151	151	植	植	植	植			1	1	(入)	(入)	(シキ／チ)	(シキ／チ)				"序品,同(殖,植)"	04b1_3		https://dl.ndl.go.jp/pid/3438692/1/6
