資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	alphabret_出現形	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	所在	備考
30-026-03	宝暦版四座講式	1	1	大	大	大恩	大恩			1		平濁	平濁去							001_006_b_02	
30-026-03	宝暦版四座講式	2	1	恩	恩	大恩	大恩			2		去	平濁去							001_006_b_02	
30-026-03	宝暦版四座講式	3	2	教	教	教主	教主			1		平	平平							001_006_b_02	
30-026-03	宝暦版四座講式	4	2	主	主	教主	教主			2		平	平平							001_006_b_02	
30-026-03	宝暦版四座講式	5	3	釋	釈	釋迦	釈迦			1		平	平平							001_006_b_02	
30-026-03	宝暦版四座講式	6	3	迦	迦	釋迦	釈迦			2		平	平平							001_006_b_02	
30-026-03	宝暦版四座講式	7	4	牟	牟	牟尼	牟尼			1		上	上上							001_006_b_02	
30-026-03	宝暦版四座講式	8	4	尼	尼	牟尼	牟尼			2		上	上上							001_006_b_02	
30-026-03	宝暦版四座講式	9	5	如	如	如來	如来			1		平	平平							001_006_b_02	
30-026-03	宝暦版四座講式	10	5	來	来	如來	如来			2		平	平平							001_006_b_02	
30-026-03	宝暦版四座講式	11	6	涅	涅	涅槃	涅槃			1		平	平去							001_006_b_02	
30-026-03	宝暦版四座講式	12	6	槃	槃	涅槃	涅槃			2		去	平去							001_006_b_03	
30-026-03	宝暦版四座講式	13	7	遺	遺	遺教	遺教			1		平	平平							001_006_b_03	
30-026-03	宝暦版四座講式	14	7	教	教	遺教	遺教			2		平	平平							001_006_b_03	
30-026-03	宝暦版四座講式	15	8	八	八	八萬	八万			1		入	入平							001_006_b_03	
30-026-03	宝暦版四座講式	16	8	萬	万	八萬	八万			2		平	入平							001_006_b_03	
30-026-03	宝暦版四座講式	17	9	聖	聖	聖教	聖教			1		平	平平新濁							001_006_b_03	
30-026-03	宝暦版四座講式	18	9	教	教	聖教	聖教			2		平新濁	平平新濁							001_006_b_03	
30-026-03	宝暦版四座講式	19	10	娑	娑	娑羅	娑羅			1		上	上上							001_006_b_03	
30-026-03	宝暦版四座講式	20	10	羅	羅	娑羅	娑羅			2		上	上上							001_006_b_03	
30-026-03	宝暦版四座講式	21	11	林	林	林中	林中			1		上	上上新濁					11		001_006_b_03	
30-026-03	宝暦版四座講式	22	11	中	中	林中	林中			2		上新濁	上上新濁					11		001_006_b_03	
30-026-03	宝暦版四座講式	23	12	五	五	五十二類	五十二類			1		平濁	平濁フ入濁平平							001_006_b_03	
30-026-03	宝暦版四座講式	24	12	十	十	五十二類	五十二類			2		フ入濁	平濁フ入濁平平							001_006_b_03	
30-026-03	宝暦版四座講式	25	12	二	二	五十二類	五十二類			3		平	平濁フ入濁平平							001_006_b_04	
30-026-03	宝暦版四座講式	26	12	類	類	五十二類	五十二類			4		平	平濁フ入濁平平							001_006_b_04	
30-026-03	宝暦版四座講式	27	13	一	一	一一	一一			1				イチ	イチイチ					001_006_b_04	イチに22の墨譜
30-026-03	宝暦版四座講式	28	13	一	一	一一	一一			2				イチ	イチイチ					001_006_b_04	イチに22の墨譜
30-026-03	宝暦版四座講式	29	14	微	微	微塵	微塵			1		上	上上濁							001_006_b_04	
30-026-03	宝暦版四座講式	30	14	塵	塵	微塵	微塵			2		上濁	上上濁							001_006_b_04	
30-026-03	宝暦版四座講式	31	15	毛	毛	毛端	毛端			1		去	去上							001_006_b_04	
30-026-03	宝暦版四座講式	32	15	端	端	毛端	毛端			2		上	去上							001_006_b_04	
30-026-03	宝暦版四座講式	33	16	刹	刹	刹海	刹海			1		入	入平							001_006_b_04	
30-026-03	宝暦版四座講式	34	16	海	海	刹海	刹海			2		平	入平							001_006_b_04	
30-026-03	宝暦版四座講式	35	17a	不	不	不可説	不可説			1		上	上平入							001_006_b_04	
30-026-03	宝暦版四座講式	36	17a	可	可	不可説	不可説			2		平	上平入							001_006_b_04	
30-026-03	宝暦版四座講式	37	17a	説	説	不可説	不可説			3		入	上平入							001_006_b_04	
30-026-03	宝暦版四座講式	38	17b	不	不	不可説	不可説			1		平	平平入							001_006_b_04	
30-026-03	宝暦版四座講式	39	17b	可	可	不可説	不可説			2		平	平平入							001_006_b_05	
30-026-03	宝暦版四座講式	40	17b	説	説	不可説	不可説			3		入	平平入							001_006_b_05	
30-026-03	宝暦版四座講式	41	18	三	三	三寶	三宝			1		去	去平新濁							001_006_b_05	
30-026-03	宝暦版四座講式	42	18	寶	宝	三寶	三宝			2		平新濁	去平新濁							001_006_b_05	
30-026-03	宝暦版四座講式	43	19	境	境	境界	境界			1		平	平平新濁							001_006_b_05	
30-026-03	宝暦版四座講式	44	19	界	界	境界	境界			2		平新濁	平平新濁							001_006_b_05	
30-026-03	宝暦版四座講式	45	20	法	法	法性	法性			1		入	入平							001_007_a_01	
30-026-03	宝暦版四座講式	46	20	性	性	法性	法性			2		平	入平							001_007_a_01	
30-026-03	宝暦版四座講式	47	21a	動	動	動靜	動静			1		平濁	平濁平濁							001_007_a_01	
30-026-03	宝暦版四座講式	48	21a	靜	静	動靜	動静			2		平濁	平濁平濁							001_007_a_01	
30-026-03	宝暦版四座講式	49	21b	動	動	動靜	動静			1		平濁	平濁平濁							001_007_a_01	
30-026-03	宝暦版四座講式	50	21b	靜	静	動靜	動静			2		平濁	平濁平濁							001_007_a_01	
30-026-03	宝暦版四座講式	51	22	如	如	如來	如来			1		上	上上							001_007_a_01	
30-026-03	宝暦版四座講式	52	22	來	来	如來	如来			2		上	上上							001_007_a_01	
30-026-03	宝暦版四座講式	53	23a	生	生	生滅	生滅			1		去	去入							001_007_a_02	
30-026-03	宝暦版四座講式	54	23a	滅	滅	生滅	生滅			2		入	去入							001_007_a_02	
30-026-03	宝暦版四座講式	55	23b	生	生	生滅	生滅			1		去	去入							001_007_a_02	
30-026-03	宝暦版四座講式	56	23b	滅	滅	生滅	生滅			2		入	去入							001_007_a_02	
30-026-03	宝暦版四座講式	57	24	約	約	約	約ス			1		入	入					44		001_007_a_02	
30-026-03	宝暦版四座講式	58	25	機	機	機	機			1		上	上							001_007_a_02	
30-026-03	宝暦版四座講式	59	26	_	_	_瑟	_瑟			1		上濁	上濁上							001_007_a_02	
30-026-03	宝暦版四座講式	60	26	瑟	瑟	_瑟	_瑟			2		上	上濁上							001_007_a_02	
30-026-03	宝暦版四座講式	61	27	長	長	長者	長者			1		平	平平新濁							001_007_a_02	
30-026-03	宝暦版四座講式	62	27	者	者	長者	長者			2		平新濁	平平新濁							001_007_a_02	
30-026-03	宝暦版四座講式	63	28	栴	栴	栴檀塔	栴檀塔			1		去	去上濁フ入							001_007_a_03	
30-026-03	宝暦版四座講式	64	28	檀	檀	栴檀塔	栴檀塔			2		上濁	去上濁フ入							001_007_a_03	
30-026-03	宝暦版四座講式	65	28	塔	塔	栴檀塔	栴檀塔			3		フ入	去上濁フ入							001_007_a_03	
30-026-03	宝暦版四座講式	66	29	常	常	常住	常住			1		去濁	去濁平濁					21		001_007_a_03	
30-026-03	宝暦版四座講式	67	29	住	住	常住	常住			2		平濁	去濁平濁					3		001_007_a_03	
30-026-03	宝暦版四座講式	68	30	佛	仏	佛身	仏身			1		入濁	入濁去							001_007_a_03	
30-026-03	宝暦版四座講式	69	30	身	身	佛身	仏身			2		去	入濁去							001_007_a_03	
30-026-03	宝暦版四座講式	70	31	海	海	海雲	海雲			1		上	上平							001_007_a_03	
30-026-03	宝暦版四座講式	71	31	雲	雲	海雲	海雲			2		平	上平							001_007_a_03	
30-026-03	宝暦版四座講式	72	32	比	比	比丘	比丘			1		平濁	平濁平							001_007_a_03	
30-026-03	宝暦版四座講式	73	32	丘	丘	比丘	比丘			2		平	平濁平							001_007_a_03	
30-026-03	宝暦版四座講式	74	33	大	大	大海水	大海水			1		平濁	平濁平上							001_007_a_04	
30-026-03	宝暦版四座講式	75	33	海	海	大海水	大海水			2		平	平濁平上							001_007_a_04	
30-026-03	宝暦版四座講式	76	33	水	水	大海水	大海水			3		上	平濁平上					11		001_007_a_04	
30-026-03	宝暦版四座講式	77	34	普	普	普眼	普眼			1		平	平平濁					2		001_007_a_04	
30-026-03	宝暦版四座講式	78	34	眼	眼	普眼	普眼			2		平濁	平平濁					2		001_007_a_04	
30-026-03	宝暦版四座講式	79	35	契	契	契經	契経			1		平	平上					2		001_007_a_04	
30-026-03	宝暦版四座講式	80	35	經	経	契經	契経			2		上	平上					11		001_007_a_04	
30-026-03	宝暦版四座講式	81	36	歡	歓	歡喜	歓喜			1		去	去平新濁							001_007_a_04	
30-026-03	宝暦版四座講式	82	36	喜	喜	歡喜	歓喜			2		平新濁	去平新濁							001_007_a_04	
30-026-03	宝暦版四座講式	83	37	藍	藍	藍薗	藍薗			1		去	去上							001_007_a_05	
30-026-03	宝暦版四座講式	84	37	薗	薗	藍薗	藍薗			2		上	去上							001_007_a_05	
30-026-03	宝暦版四座講式	85	38	誕	誕	誕生	誕生			1		平	平去新濁							001_007_a_05	
30-026-03	宝暦版四座講式	86	38	生	生	誕生	誕生			2		去新濁	平去新濁							001_007_a_05	
30-026-03	宝暦版四座講式	87	39	痛	痛	痛惜	痛惜			1		去	去入							001_007_a_05	
30-026-03	宝暦版四座講式	88	39	惜	惜	痛惜	痛惜			2		入	去入							001_007_a_05	
30-026-03	宝暦版四座講式	89	40	雙	双	雙林	双林			1		平	平去							001_007_b_01	
30-026-03	宝暦版四座講式	90	40	林	林	雙林	双林			2		去	平去							001_007_b_01	
30-026-03	宝暦版四座講式	91	41	入	入	入滅	入滅			1		フ入	フ入入							001_007_b_01	
30-026-03	宝暦版四座講式	92	41	滅	滅	入滅	入滅			2		入	フ入入							001_007_b_01	
30-026-03	宝暦版四座講式	93	42	八	八	八相	八相			1		入	入平							001_007_b_01	
30-026-03	宝暦版四座講式	94	42	相	相	八相	八相			2		平	入平							001_007_b_01	
30-026-03	宝暦版四座講式	95	43	一	一	一代	一代			1		入	入去	〜チ	〜チ＊					001_007_b_01	チに2の墨譜
30-026-03	宝暦版四座講式	96	43	代	代	一代	一代			2		去	入去							001_007_b_01	
30-026-03	宝暦版四座講式	97	44	化	化	化儀	化儀			1		平	平平濁							001_007_b_01	
30-026-03	宝暦版四座講式	98	44	儀	儀	化儀	化儀			2		平濁	平平濁							001_007_b_01	
30-026-03	宝暦版四座講式	99	45	長	長	長眠	長眠			1		去新濁	去新濁平							001_007_b_02	
30-026-03	宝暦版四座講式	100	45	眠	眠	長眠	長眠			2		平	去新濁平							001_007_b_02	
30-026-03	宝暦版四座講式	101	46	群	群	群類	群類			1		去濁	去濁平							001_007_b_02	
30-026-03	宝暦版四座講式	102	46	類	類	群類	群類			2		平	去濁平							001_007_b_02	
30-026-03	宝暦版四座講式	103	47	明	明	明灯	明灯			1		平	平平							001_007_b_02	
30-026-03	宝暦版四座講式	104	47	灯	灯	明灯	明灯			2		平	平平							001_007_b_02	
30-026-03	宝暦版四座講式	105	48	三	三	三百五十	三百五十			1		去	去入新濁平濁フ入濁							001_007_b_02	
30-026-03	宝暦版四座講式	106	48	百	百	三百五十	三百五十			2		入新濁	去入新濁平濁フ入濁							001_007_b_02	
30-026-03	宝暦版四座講式	107	48	五	五	三百五十	三百五十			3		平濁	去入新濁平濁フ入濁							001_007_b_02	
30-026-03	宝暦版四座講式	108	48	十	十	三百五十	三百五十			4		フ入濁	去入新濁平濁フ入濁							001_007_b_02	
30-026-03	宝暦版四座講式	109	49	諸	諸	諸度	諸度			1		上	上平濁							001_007_b_02	
30-026-03	宝暦版四座講式	110	49	度	度	諸度	諸度			2		平濁	上平濁							001_007_b_03	
30-026-03	宝暦版四座講式	111	50	沈	沈	沈淪	沈淪			1		平	平平							001_007_b_03	
30-026-03	宝暦版四座講式	112	50	淪	淪	沈淪	沈淪			2		平	平平							001_007_b_03	
30-026-03	宝暦版四座講式	113	51	諸	諸	諸子	諸子			1		上	上平							001_007_b_03	
30-026-03	宝暦版四座講式	114	51	子	子	諸子	諸子			2		平	上平							001_007_b_03	
30-026-03	宝暦版四座講式	115	52	飛	飛	飛梯	飛梯			1		平	平平							001_007_b_03	
30-026-03	宝暦版四座講式	116	52	梯	梯	飛梯	飛梯			2		平	平平							001_007_b_03	
30-026-03	宝暦版四座講式	117	53	光	光	光照	光照			1		去	去上					21		001_007_b_03	
30-026-03	宝暦版四座講式	118	53	照	照	光照	光照			2		上	去上					11		001_007_b_03	
30-026-03	宝暦版四座講式	119	54	末	末	末代	末代			1		入	入去濁							001_007_b_04	
30-026-03	宝暦版四座講式	120	54	代	代	末代	末代			2		去濁	入去濁							001_007_b_04	
30-026-03	宝暦版四座講式	121	55	濟	済	濟度	済度			1		平	平平濁							001_007_b_04	
30-026-03	宝暦版四座講式	122	55	度	度	濟度	済度			2		平濁	平平濁							001_007_b_04	
30-026-03	宝暦版四座講式	123	56	闡	闡	闡提	闡提			1		平	平平濁							001_007_b_04	
30-026-03	宝暦版四座講式	124	56	提	提	闡提	闡提			2		平濁	平平濁							001_007_b_04	
30-026-03	宝暦版四座講式	125	57	聞	聞	聞信	聞信			1		去	去平							001_007_b_05	
30-026-03	宝暦版四座講式	126	57	信	信	聞信	聞信			2		平	去平							001_007_b_05	
30-026-03	宝暦版四座講式	127	58	功	功	功徳	功徳			1		上	上入新濁							001_007_b_05	
30-026-03	宝暦版四座講式	128	58	徳	徳	功徳	功徳			2		入新濁	上入新濁							001_008_a_01	
30-026-03	宝暦版四座講式	129	59	長	長	長夜	長夜			1		去新濁	去新濁上					21		001_008_a_01	
30-026-03	宝暦版四座講式	130	59	夜	夜	長夜	長夜			2		上	去新濁上							001_008_a_01	
30-026-03	宝暦版四座講式	131	60	結	結	結縁	結縁			1		入	入去							001_008_a_01	
30-026-03	宝暦版四座講式	132	60	縁	縁	結縁	結縁			2		去	入去							001_008_a_01	
30-026-03	宝暦版四座講式	133	61	善	善	善根	善根			1		平濁	平濁去新濁					3		001_008_a_01	
30-026-03	宝暦版四座講式	134	61	根	根	善根	善根			2		去新濁	平濁去新濁							001_008_a_01	
30-026-03	宝暦版四座講式	135	62	苦	苦	苦海	苦海			1		平	平上							001_008_a_02	
30-026-03	宝暦版四座講式	136	62	海	海	苦海	苦海			2		上	平上					1		001_008_a_02	
30-026-03	宝暦版四座講式	137	63	今	今	今月	今月			1		去	去入濁							001_008_a_02	
30-026-03	宝暦版四座講式	138	63	月	月	今月	今月			2		入濁	去入濁							001_008_a_02	
30-026-03	宝暦版四座講式	139	64	今	今	今日	今日			1		去	去入							001_008_a_02	
30-026-03	宝暦版四座講式	140	64	日	日	今日	今日			2		入	去入							001_008_a_02	
30-026-03	宝暦版四座講式	141	65	開	開	開演	開演			1		去	去平							001_008_a_03	
30-026-03	宝暦版四座講式	142	65	演	演	開演	開演			2		平	去平							001_008_a_03	
30-026-03	宝暦版四座講式	143	66	四	四	四座	四座			1		平	平平濁							001_008_a_03	
30-026-03	宝暦版四座講式	144	66	座	座	四座	四座			2		平濁	平平濁							001_008_a_03	
30-026-03	宝暦版四座講式	145	67	法	法	法筵	法筵			1		フ入	フ入去		＊ヱン					001_008_a_03	
30-026-03	宝暦版四座講式	146	67	筵	筵	法筵	法筵			2		去	フ入去	ヱン	＊ヱン					001_008_a_03	ヱンに21の墨譜
30-026-03	宝暦版四座講式	147	68	雙	双	雙林	双林			1		平	平去							001_008_a_03	
30-026-03	宝暦版四座講式	148	68	林	林	雙林	双林			2		去	平去							001_008_a_03	
30-026-03	宝暦版四座講式	149	69	入	入	入滅	入滅			1		フ入	フ入入							001_008_a_03	
30-026-03	宝暦版四座講式	150	69	滅	滅	入滅	入滅			2		入	フ入入							001_008_a_03	
30-026-03	宝暦版四座講式	151	70	現	現	現在	現在			1		平濁	平濁平濁							001_008_a_04	
30-026-03	宝暦版四座講式	152	70	在	在	現在	現在			2		平濁	平濁平濁							001_008_a_04	
30-026-03	宝暦版四座講式	153	71	遺	遺	遺跡	遺跡			1		去	去入軽					21		001_008_a_04	
30-026-03	宝暦版四座講式	154	71	跡	跡	遺跡	遺跡			2		入軽	去入軽					11		001_008_a_04	
30-026-03	宝暦版四座講式	155	72	徳	徳	徳	徳			1		入軽	入軽							001_008_a_04	
30-026-03	宝暦版四座講式	156	73	滅	滅	滅後	滅後			1		入	入平濁							001_008_a_04	
30-026-03	宝暦版四座講式	157	73	後	後	滅後	滅後			2		平濁	入平濁							001_008_a_05	
30-026-03	宝暦版四座講式	158	74	孤	孤	孤露	孤露			1		上	上平							001_008_a_05	
30-026-03	宝暦版四座講式	159	74	露	露	孤露	孤露			2		平	上平							001_008_a_05	
30-026-03	宝暦版四座講式	160	75	悲	悲	悲嘆	悲嘆			1		上	上平							001_008_a_05	
30-026-03	宝暦版四座講式	161	75	嘆	嘆	悲嘆	悲嘆			2		平	上平							001_008_a_05	
30-026-03	宝暦版四座講式	162	76	成	成	成	成ス			1		平濁	平濁							001_008_a_05	
30-026-03	宝暦版四座講式	163	77	當	当	當來	当来			1		去	去上							001_008_a_05	
30-026-03	宝暦版四座講式	164	77	來	来	當來	当来			2		上	去上							001_008_a_05	
30-026-03	宝暦版四座講式	165	78	値	値	値遇	値遇			1		上	上上濁							001_008_a_05	
30-026-03	宝暦版四座講式	166	78	遇	遇	値遇	値遇			2		上濁	上上濁							001_008_a_05	
30-026-03	宝暦版四座講式	167	79	大	大	大願	大願			1		平濁	平濁平濁							001_008_b_01	
30-026-03	宝暦版四座講式	168	79	願	願	大願	大願			2		平濁	平濁平濁							001_008_b_01	
30-026-03	宝暦版四座講式	169	80	一	一	一一	一一			1		入	入入	イチ	イチイチ					001_008_b_01	イチに22の墨譜
30-026-03	宝暦版四座講式	170	80	一	一	一一	一一			2		入	入入	イチ	イチイチ					001_008_b_01	イチに23の墨譜
30-026-03	宝暦版四座講式	171	81	旨	旨	旨趣	旨趣			1		上	上平							001_008_b_01	
30-026-03	宝暦版四座講式	172	81	趣	趣	旨趣	旨趣			2		平	上平							001_008_b_01	
30-026-03	宝暦版四座講式	173	82	後	後	後後	後後			1		平濁	平濁平濁					2		001_008_b_01	
30-026-03	宝暦版四座講式	174	82	後	後	後後	後後			2		平濁	平濁平濁					3		001_008_b_01	
30-026-03	宝暦版四座講式	175	83	講	講	講席	講席			1		平	平入軽							001_008_b_01	
30-026-03	宝暦版四座講式	176	83	席	席	講席	講席			2		入軽	平入軽							001_008_b_02	
30-026-03	宝暦版四座講式	177	84	當	当	當座	当座			1		平	平平濁					2		001_008_b_02	
30-026-03	宝暦版四座講式	178	84	座	座	當座	当座			2		平濁	平平濁					3		001_008_b_02	
30-026-03	宝暦版四座講式	179	85	開	開	開白	開白			1		去	去入軽	カイ	カイヒヤク					001_008_b_02	カイに32の墨譜
30-026-03	宝暦版四座講式	180	85	白	白	開白	開白			2		入軽	去入軽	ヒヤク	カイヒヤク					001_008_b_02	ヒヤクに112の墨譜
30-026-03	宝暦版四座講式	181	86	涅	涅	涅槃	涅槃			1		平	平平					2		001_008_b_02	
30-026-03	宝暦版四座講式	182	86	槃	槃	涅槃	涅槃			2		平	平平					3		001_008_b_02	
30-026-03	宝暦版四座講式	183	87	初	初	初度	初度			1		平	平平濁	シヨ	シヨト					001_008_b_02	シヨに2の墨譜
30-026-03	宝暦版四座講式	184	87	度	度	初度	初度			2		平濁	平平濁	ト	シヨト					001_008_b_02	トに4の墨譜
30-026-03	宝暦版四座講式	185	88	入	入	入滅	入滅			1		フ入	フ入入							001_008_b_03	
30-026-03	宝暦版四座講式	186	88	滅	滅	入滅	入滅			2		入	フ入入							001_008_b_03	
30-026-03	宝暦版四座講式	187	89	荼	荼	荼毘	荼毘			1		平濁	平濁平濁							001_008_b_03	
30-026-03	宝暦版四座講式	188	89	毘	毘	荼毘	荼毘			2		平濁	平濁平濁							001_008_b_03	
30-026-03	宝暦版四座講式	189	90	涅	涅	涅槃	涅槃			1		平	平去							001_008_b_03	
30-026-03	宝暦版四座講式	190	90	槃	槃	涅槃	涅槃			2		去	平去							001_008_b_03	
30-026-03	宝暦版四座講式	191	91	因	因	因縁	因縁			1		平	平平							001_008_b_03	
30-026-03	宝暦版四座講式	192	91	縁	縁	因縁	因縁			2		平	平平							001_008_b_03	
30-026-03	宝暦版四座講式	193	92	雙	双	雙林	双林			1		平	平去							001_008_b_03	
30-026-03	宝暦版四座講式	194	92	林	林	雙林	双林			2		去	平去							001_008_b_03	
30-026-03	宝暦版四座講式	195	93	遺	遺	遺跡	遺跡			1		平	平入							001_008_b_04	
30-026-03	宝暦版四座講式	196	93	跡	跡	遺跡	遺跡			2		入	平入							001_008_b_04	
30-026-03	宝暦版四座講式	197	94	發	発	發願	発願			1		入	入平濁							001_008_b_04	
30-026-03	宝暦版四座講式	198	94	願	願	發願	発願			2		平濁	入平濁							001_008_b_04	
30-026-03	宝暦版四座講式	199	95	廻	廻	廻向	廻向			1		上	上平							001_008_b_04	
30-026-03	宝暦版四座講式	200	95	向	向	廻向	廻向			2		平	上平							001_008_b_04	
30-026-03	宝暦版四座講式	201	96	五	五	五門	五門			1		上濁	上濁上							001_008_b_04	
30-026-03	宝暦版四座講式	202	96	門	門	五門	五門			2		上	上濁上							001_008_b_04	
30-026-03	宝暦版四座講式	203	97	戀	恋	戀慕	恋慕			1		去	去平濁							001_008_b_04	
30-026-03	宝暦版四座講式	204	97	慕	慕	戀慕	恋慕			2		平濁	去平濁							001_008_b_04	
30-026-03	宝暦版四座講式	205	98	悲	悲	悲歎	悲歎			1		上	上平							001_008_b_04	
30-026-03	宝暦版四座講式	206	98	歎	歎	悲歎	悲歎			2		平	上平							001_008_b_05	
30-026-03	宝暦版四座講式	207	99	第	第	第一	第一			1		平濁	平濁入							001_009_a_01	
30-026-03	宝暦版四座講式	208	99	一	一	第一	第一			2		入	平濁入							001_009_a_01	
30-026-03	宝暦版四座講式	209	100	入	入	入滅	入滅			1		フ入	フ入入							001_009_a_01	
30-026-03	宝暦版四座講式	210	100	滅	滅	入滅	入滅			2		入	フ入入							001_009_a_01	
30-026-03	宝暦版四座講式	211	101	哀	哀	哀傷	哀傷			1		上	上平							001_009_a_01	
30-026-03	宝暦版四座講式	212	101	傷	傷	哀傷	哀傷			2		平	上平							001_009_a_01	
30-026-03	宝暦版四座講式	213	102	如	如	如來	如来			1		上	上上							001_009_a_01	
30-026-03	宝暦版四座講式	214	102	來	来	如來	如来			2		上	上上							001_009_a_01	
30-026-03	宝暦版四座講式	215	103	一	一	一代	一代			1		入	入去濁							001_009_a_01	
30-026-03	宝暦版四座講式	216	103	代	代	一代	一代			2		去濁	入去濁							001_009_a_01	
30-026-03	宝暦版四座講式	217	104	八	八	八十箇年	八十箇年			1		入	入入濁平平							001_009_a_02	
30-026-03	宝暦版四座講式	218	104	十	十	八十箇年	八十箇年			2		入濁	入入濁平平							001_009_a_02	
30-026-03	宝暦版四座講式	219	104	箇	箇	八十箇年	八十箇年			3		平	入入濁平平							001_009_a_02	
30-026-03	宝暦版四座講式	220	104	年	年	八十箇年	八十箇年			4		平	入入濁平平							001_009_a_02	
30-026-03	宝暦版四座講式	221	105	迦	迦	迦韋	迦韋			1		上	上上							001_009_a_02	
30-026-03	宝暦版四座講式	222	105	韋	韋	迦韋	迦韋			2		上	上上							001_009_a_02	
30-026-03	宝暦版四座講式	223	106	誕	誕	誕生	誕生			1		平	平平新濁							001_009_a_02	
30-026-03	宝暦版四座講式	224	106	生	生	誕生	誕生			2		平新濁	平平新濁							001_009_a_02	
30-026-03	宝暦版四座講式	225	107	伽	伽	伽耶	伽耶			1		上濁	上濁上							001_009_a_02	
30-026-03	宝暦版四座講式	226	107	耶	耶	伽耶	伽耶			2		上	上濁上							001_009_a_02	
30-026-03	宝暦版四座講式	227	108	成	成	成道	成道			1		上濁	上濁平濁							001_009_a_02	
30-026-03	宝暦版四座講式	228	108	道	道	成道	成道			2		平濁	上濁平濁							001_009_a_02	
30-026-03	宝暦版四座講式	229	109	鷲	鷲	鷲峰	鷲峰			1		平濁	平濁去濁							001_009_a_02	
30-026-03	宝暦版四座講式	230	109	峰	峰	鷲峰	鷲峰			2		去濁	平濁去濁							001_009_a_03	
30-026-03	宝暦版四座講式	231	110	説	説	説法	説法			1		入	入フ入							001_009_a_03	
30-026-03	宝暦版四座講式	232	110	法	法	説法	説法			2		フ入	入フ入							001_009_a_03	
30-026-03	宝暦版四座講式	233	111	雙	双	雙林	双林			1		平	平去							001_009_a_03	
30-026-03	宝暦版四座講式	234	111	林	林	雙林	双林			2		去	平去							001_009_a_03	
30-026-03	宝暦版四座講式	235	112	入	入	入滅	入滅			1		フ入	フ入入							001_009_a_03	
30-026-03	宝暦版四座講式	236	112	滅	滅	入滅	入滅			2		入	フ入入							001_009_a_03	
30-026-03	宝暦版四座講式	237	113	大	大	大慈	大慈			1		平濁	平濁上濁							001_009_a_03	
30-026-03	宝暦版四座講式	238	113	慈	慈	大慈	大慈			2		上濁	平濁上濁							001_009_a_03	
30-026-03	宝暦版四座講式	239	114	大	大	大悲	大悲			1		平濁	平濁上							001_009_a_03	
30-026-03	宝暦版四座講式	240	114	悲	悲	大悲	大悲			2		上	平濁上							001_009_a_04	
30-026-03	宝暦版四座講式	241	115	善	善	善巧	善巧			1		平濁	平濁平濁							001_009_a_04	
30-026-03	宝暦版四座講式	242	115	巧	巧	善巧	善巧			2		平濁	平濁平濁							001_009_a_04	
30-026-03	宝暦版四座講式	243	116	方	方	方便	方便			1		上	上平濁							001_009_a_04	
30-026-03	宝暦版四座講式	244	116	便	便	方便	方便			2		平濁	上平濁							001_009_a_04	
30-026-03	宝暦版四座講式	245	117	歡	歓	歡戚	歓戚			1		平	平入							001_009_a_04	
30-026-03	宝暦版四座講式	246	117	戚	戚	歡戚	歓戚			2		入	平入							001_009_a_04	
30-026-03	宝暦版四座講式	247	118	化	化	化儀	化儀			1		平	平上濁							001_009_a_04	
30-026-03	宝暦版四座講式	248	118	儀	儀	化儀	化儀			2		上濁	平上濁							001_009_a_04	
30-026-03	宝暦版四座講式	249	119	利	利	利生	利生			1		平	平去							001_009_a_05	
30-026-03	宝暦版四座講式	250	119	生	生	利生	利生			2		去	平去							001_009_a_05	
30-026-03	宝暦版四座講式	251	120	縁	縁	縁	縁			1		去	去							001_009_a_05	
30-026-03	宝暦版四座講式	252	121	初	初	初生	初生			1		上	上上							001_009_a_05	
30-026-03	宝暦版四座講式	253	121	生	生	初生	初生			2		上	上上							001_009_a_05	
30-026-03	宝暦版四座講式	254	122	我	我	我當	我当			1		平濁	平濁去							001_009_a_05	
30-026-03	宝暦版四座講式	255	122	當	当	我當	我当			2		去	平濁去							001_009_b_01	
30-026-03	宝暦版四座講式	256	123	度	度	度脱	度脱			1		平濁	平濁入濁							001_009_b_01	
30-026-03	宝暦版四座講式	257	123	脱	脱	度脱	度脱			2		入濁	平濁入濁							001_009_b_01	
30-026-03	宝暦版四座講式	258	124	三	三	三有苦	三有苦			1		去	去平平							001_009_b_01	
30-026-03	宝暦版四座講式	259	124	有	有	三有苦	三有苦			2		平	去平平							001_009_b_01	
30-026-03	宝暦版四座講式	260	124	苦	苦	三有苦	三有苦			3		平	去平平							001_009_b_01	
30-026-03	宝暦版四座講式	261	125	火	火	火宅	火宅			1		平	平入軽							001_009_b_01	
30-026-03	宝暦版四座講式	262	125	宅	宅	火宅	火宅			2		入軽	平入軽							001_009_b_01	
30-026-03	宝暦版四座講式	263	126	諸	諸	諸子	諸子			1		上	上平							001_009_b_01	
30-026-03	宝暦版四座講式	264	126	子	子	諸子	諸子			2		平	上平							001_009_b_01	
30-026-03	宝暦版四座講式	265	127	焚	焚	焚燒	焚焼			1		去濁	去濁上新濁							001_009_b_02	
30-026-03	宝暦版四座講式	266	127	燒	焼	焚燒	焚焼			2		上新濁	去濁上新濁							001_009_b_02	
