資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-023-02	唯信抄_西本願寺	1467	680	功	功	功	功			1	2			コウ	コウ					119.3		功
30-023-02	唯信抄_西本願寺	1468	681	要	要	要	要			1	2	平	平	エウ	エウ					119.3		要
30-023-02	唯信抄_西本願寺	1469	682	業	業	業因	業因			1	2		＊去	コフ	コフイン					120.2		業因
30-023-02	唯信抄_西本願寺	1470	682	因	因	業因	業因			2	2	去	＊去	イン	コフイン					120.2		業因
30-023-02	唯信抄_西本願寺	1471	683	決	決	決定	決定ス			1	1			クヱチ	クヱチチヤウ					120.2		決定
30-023-02	唯信抄_西本願寺	1472	683	定	定	決定	決定ス			2	2			チヤウ	クヱチチヤウ					120.3		決定
30-023-02	唯信抄_西本願寺	1473	684	稱	稱	稱念	稱念ス			1	2	去	去平							120.4		稱念
30-023-02	唯信抄_西本願寺	1474	684	念	念	稱念	稱念ス			2	2	平	去平							120.4		稱念
30-023-02	唯信抄_西本願寺	1475	685	不	不	不信	不信			1	1	上	上平	フ	フシン					120.5		不信
30-023-02	唯信抄_西本願寺	1476	685	信	信	不信	不信			2	2	平	上平	シン	フシン					120.5		不信
30-023-02	唯信抄_西本願寺	1477	686	一	一	一念	一念			1	2	入	入平							121.2		一念
30-023-02	唯信抄_西本願寺	1478	686	念	念	一念	一念			2	2	平	入平							121.2		一念
30-023-02	唯信抄_西本願寺	1479	687	經	經	經	經			1	2			キヤウ	キヤウ					121.3		經
30-023-02	唯信抄_西本願寺	1480	688	文	文	文	文			1	2	去	去	モン	モン					121.3		文
30-023-02	唯信抄_西本願寺	1481	689	信	信	信	信セス			1	2	平	平	シン	シン					121.3		信
30-023-02	唯信抄_西本願寺	1482	690	佛	佛	佛語	佛語			1	1	入濁	入濁平濁	フチ	フチコ					121.4		佛語
30-023-02	唯信抄_西本願寺	1483	690	語	語	佛語	佛語			2	1	平濁	入濁平濁	コ	フチコ					121.4		佛語
30-023-02	唯信抄_西本願寺	1484	691	信	信	信	信セ			1	2	平	平	シン	シン					121.4		信
30-023-02	唯信抄_西本願寺	1485	692	信	信	信	信シテ			1	2	平	平	シン	シン					122.1		信
