資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
20-002-02	医心方_仁和寺	208	163	頚	頚	頚項	頚項			1		上	上＊			〔右〕犹成居井二反				0902a4	
20-002-02	医心方_仁和寺	209	163	項	項	頚項	頚項			2						〔左〕胡講反				0902a4	
20-002-02	医心方_仁和寺	210	164	涎	涎	涎沫	涎沫			1		平	平入							0902a4	
20-002-02	医心方_仁和寺	211	164	沫	沫	涎沫	涎沫			2		入	平入							0902a4	
20-002-02	医心方_仁和寺	212	165	豉	豉	香豉	香豉			2		去	＊去			〔右〕是義反				0904a6	
20-002-02	医心方_仁和寺	213	166	粒	粒	一粒	一粒			2		入	＊入							0907a2	
20-002-02	医心方_仁和寺	214	167	嗽	嗽	嗽	嗽			1		〔朱〕去	去							0907a7	
20-002-02	医心方_仁和寺	215	168	和	和	和	和			1		去	去							0908a3	
20-002-02	医心方_仁和寺	216	169	芫	芫	芫花	芫花			1		〔朱〕去	去上			〔右〕牛園反				0908b5	
20-002-02	医心方_仁和寺	217	169	花	花	芫花	芫花			2		〔朱〕上	去上							0908b5	
20-002-02	医心方_仁和寺	218	170	勳	勲	勳黄	勲黄			1		去	去上							0909a3	
20-002-02	医心方_仁和寺	219	170	黄	黄	勳黄	勲黄			2		上	去上							0909a3	
20-002-02	医心方_仁和寺	220	171	留	留	留黄	留黄			1		平	平上							0909b1	
20-002-02	医心方_仁和寺	221	171	黄	黄	留黄	留黄			2		上	平上							0909b1	
20-002-02	医心方_仁和寺	222	172	椎	椎	大椎	大椎			2		上	＊上							0910a5	
20-002-02	医心方_仁和寺	223	173	杼	杼	大杼	大杼			2		去	＊去							0910b1	
20-002-02	医心方_仁和寺	224	174	亶	亶	亶中	亶中			1		〔朱〕上上	去上							0910b7	
20-002-02	医心方_仁和寺	225	174	中	中	亶中	亶中			2		〔朱〕去去	去上							0910b7	
20-002-02	医心方_仁和寺	226	175	亭	亭	亭歴	亭歴			1		去	去＊							0912b2	
20-002-02	医心方_仁和寺	227	176	痞	痞	痞塞	痞塞			1		〔朱〕上	上入			〔右〕平孔反				0914b3	
20-002-02	医心方_仁和寺	228	176	塞	塞	痞塞	痞塞			2		〔朱〕入	上入							0914b3	
20-002-02	医心方_仁和寺	229	177	腷	腷	腷々	腷々			1		〔朱〕入	入＊				〔右〕音馥			0914b3	
20-002-02	医心方_仁和寺	230	178	噎	噎	氣噎	気噎			2		入	＊入			〔左〕於結反				0916b1	
20-002-02	医心方_仁和寺	231	179	咽	咽	咽塞	咽塞			1		入	入入							0916b3	
20-002-02	医心方_仁和寺	232	179	塞	塞	咽塞	咽塞			2		入	入入							0916b3	
20-002-02	医心方_仁和寺	233	180	椎	椎	椎	椎			1		上	上							0917a5	
20-002-02	医心方_仁和寺	234	181	賁	賁	賁㹠	賁㹠			1		平／〔朱〕平	平平							0917b5	
20-002-02	医心方_仁和寺	235	182	㹠	㹠	賁㹠	賁㹠			2		平／〔朱〕平	平平				〔右〕音屯			0917b5	
20-002-02	医心方_仁和寺	236	183	神	神	神志	神志			1		平	平去							0918a1	
20-002-02	医心方_仁和寺	237	183	志	志	神志	神志			2		去	平去							0918a1	
20-002-02	医心方_仁和寺	238	184	粘	粘	麺粘	麺粘			2		〔朱〕平	＊平			〔右〕黏女廉反				0920b1	「黏」字左傍書入
20-002-02	医心方_仁和寺	239	185	㮿	㮿	㮿撥	㮿撥			1		〔朱〕入	入入			〔右〕俾質反				0921a4	
20-002-02	医心方_仁和寺	240	185	撥	撥	㮿撥	㮿撥			2		〔朱〕入	入入							0921a4	
20-002-02	医心方_仁和寺	241	186	前	前	前胡	前胡			1		去	去上							0921a7	
20-002-02	医心方_仁和寺	242	186	胡	胡	前胡	前胡			2		上	去上							0921a7	
20-002-02	医心方_仁和寺	243	187	淡	淡	淡飲	淡飲			1		平／〔朱〕平	平平				〔右〕音談			0922a2	
20-002-02	医心方_仁和寺	244	187	飲	飲	淡飲	淡飲			2		平／〔朱〕平	平平				〔右〕音蔭			0922a2	
20-002-02	医心方_仁和寺	245	188	脹	脹	脹滿	脹満			1		〔朱〕去	去上							0922a5	
20-002-02	医心方_仁和寺	246	188	滿	満	脹滿	脹満			2		〔朱〕上	去上							0922a5	
20-002-02	医心方_仁和寺	247	189	肋	肋	兩肋	両肋			2		入	＊入			〔右〕魚得反				0922a6	
20-002-02	医心方_仁和寺	248	190	䊤	䊤	䊤糂	䊤糂			1		上／〔朱〕上	上＊	〔右〕タム	タム＊	〔左〕徒感反				0922b3	
20-002-02	医心方_仁和寺	249	191	溢	溢	溢飲	溢飲			1		〔朱〕入	入＊							0923a3	
20-002-02	医心方_仁和寺	250	192	干	干	干棗湯	干棗湯			1		去／〔朱〕去	去上＊							0923a5	
20-002-02	医心方_仁和寺	251	192	棗	棗	干棗湯	干棗湯			2		上／〔朱〕上	去上＊							0923a5	
20-002-02	医心方_仁和寺	252	193	惡	悪	惡	悪			1		〔朱〕入	入							0924a5	
20-002-02	医心方_仁和寺	253	194	中	中	中	中			1		去／〔朱〕去	去							0924a5	
20-002-02	医心方_仁和寺	254	195	恆	恒	恆山	恒山			1		去／〔朱〕去	去上							0925a1	
20-002-02	医心方_仁和寺	255	195	山	山	恆山	恒山			2		上／〔朱〕上	去上							0925a1	
20-002-02	医心方_仁和寺	256	196	苽	苽	苽蔕	苽蔕			1		平	平去							0925a1	
20-002-02	医心方_仁和寺	257	196	蔕	蔕	苽蔕	苽蔕			2		去	平去							0925a1	
20-002-02	医心方_仁和寺	258	197	汪	汪	汪々	汪々			1		平／〔朱〕平	平＊			〔右〕烏光反				0925b2	
20-002-02	医心方_仁和寺	259	198	淡	淡	淡飲	淡飲			1		平／〔朱〕平	平平							0926a7	
