資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-016-02	新猿楽記_尊経閣文庫_弘安本	1	1	戀	戀	戀慕	戀慕			1		去	去平濁	レン	レンホ					008-05	
30-016-02	新猿楽記_尊経閣文庫_弘安本	2	1	慕	慕	戀慕	戀慕			2		平濁	去平濁	ホ	レンホ					008-05	
30-016-02	新猿楽記_尊経閣文庫_弘安本	3	2	肝	肝	肝中	肝中			1		平	平上濁							008-06	
30-016-02	新猿楽記_尊経閣文庫_弘安本	4	2	中	中	肝中	肝中			2		上濁	平上濁							008-06	
30-016-02	新猿楽記_尊経閣文庫_弘安本	5	3	過	過	過失	過失			1		去	去徳	クワ	クワシチ					008-08	徳声点かなり高い。去声位置くらい。
30-016-02	新猿楽記_尊経閣文庫_弘安本	6	3	失	失	過失	過失			2		徳	去徳	シチ	クワシチ					008-08	徳声点かなり高い。去声位置くらい。
30-016-02	新猿楽記_尊経閣文庫_弘安本	7	4	心	心	心操	心操			1		平	平去濁		＊サウ					008-11	
30-016-02	新猿楽記_尊経閣文庫_弘安本	8	4	操	操	心操	心操			2		去濁	平去濁	サウ	＊サウ					008-11	
30-016-02	新猿楽記_尊経閣文庫_弘安本	9	5	調	調	調和	調和			1		去濁	去濁去							008-11	
30-016-02	新猿楽記_尊経閣文庫_弘安本	10	5	和	和	調和	調和			2		去	去濁去							008-11	
30-016-02	新猿楽記_尊経閣文庫_弘安本	11	6	剛	剛	剛柔	剛柔			1		去濁	去濁去							008-11	
30-016-02	新猿楽記_尊経閣文庫_弘安本	12	6	柔	柔	剛柔	剛柔			2		去	去濁去							008-11	
30-016-02	新猿楽記_尊経閣文庫_弘安本	13	7	同	同	同僚	同僚			1		去濁	去濁＊		＊レイ					009-01	
30-016-02	新猿楽記_尊経閣文庫_弘安本	14	8	美	美	美麗	美麗			1		去濁	去濁＊		＊レイ					009-02	
30-016-02	新猿楽記_尊経閣文庫_弘安本	15	9	道	道	道	道			1		平濁	平濁							010-06	
30-016-02	新猿楽記_尊経閣文庫_弘安本	16	10	屬	属	屬降	属降			1		入	入平濁							010-07	
30-016-02	新猿楽記_尊経閣文庫_弘安本	17	10	降	降	屬降	属降			2		平濁	入平濁							010-07	
30-016-02	新猿楽記_尊経閣文庫_弘安本	18	11	養	養	養由	養由			1		上	上平							010-08	人名
30-016-02	新猿楽記_尊経閣文庫_弘安本	19	11	由	由	養由	養由			2		平	上平							010-08	人名
