資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-022-01	唯信鈔文意_専修寺_正月十一日本	1	1	唯	唯	唯信抄	唯信抄			1	2			ユイ	ユイシンセウ					3.2		唯信抄
30-022-01	唯信鈔文意_専修寺_正月十一日本	2	1	信	信	唯信抄	唯信抄			2	2			シン	ユイシンセウ					3.2		唯信抄
30-022-01	唯信鈔文意_専修寺_正月十一日本	3	1	抄	抄	唯信抄	唯信抄			3	2			セウ	ユイシンセウ					3.2		唯信抄
30-022-01	唯信鈔文意_専修寺_正月十一日本	4	2	信	信	信	信			1	2			シン	シン					3.5		信
30-022-01	唯信鈔文意_専修寺_正月十一日本	5	3	虚	虚	虚假	虚假			1	1			コ	コケ					4.2		虚假
30-022-01	唯信鈔文意_専修寺_正月十一日本	6	3	假	假	虚假	虚假			2	1			ケ	コケ					4.2		虚假
30-022-01	唯信鈔文意_専修寺_正月十一日本	7	4	虚	虚	虚	虚			1	1			コ	コ					4.3		虚
30-022-01	唯信鈔文意_専修寺_正月十一日本	8	5	假	假	假	假			1	1			ケ	ケ					4.3		假
30-022-01	唯信鈔文意_専修寺_正月十一日本	9	6	虚	虚	虚	虚			1	1			コ	コ					4.4		虚
30-022-01	唯信鈔文意_専修寺_正月十一日本	10	7	假	假	假	假			1	1			ケ	ケ					4.4		假
30-022-01	唯信鈔文意_専修寺_正月十一日本	11	8	眞	眞	眞	眞			1	2			シン	シン					4.5		眞
30-022-01	唯信鈔文意_専修寺_正月十一日本	12	9	自	自	自力	自力			1	1			シ	シリキ					5.1		自力
30-022-01	唯信鈔文意_専修寺_正月十一日本	13	9	力	力	自力	自力			2	2			リキ	シリキ					5.1		自力
30-022-01	唯信鈔文意_専修寺_正月十一日本	14	10	抄	抄	抄	抄			1	2			セウ	セウ					5.2		抄
30-022-01	唯信鈔文意_専修寺_正月十一日本	15	11	唯	唯	唯信鈔	唯信鈔			1	2			ユイ	ユイシンセウ					5.4		唯信鈔
30-022-01	唯信鈔文意_専修寺_正月十一日本	16	11	信	信	唯信鈔	唯信鈔			2	2			シン	ユイシンセウ					5.4		唯信鈔
30-022-01	唯信鈔文意_専修寺_正月十一日本	17	11	鈔	鈔	唯信鈔	唯信鈔			3	2			セウ	ユイシンセウ					5.4		唯信鈔
30-022-01	唯信鈔文意_専修寺_正月十一日本	18	12	唯	唯	唯信	唯信			1	2			ユイ	ユイシン					5.4		唯信
30-022-01	唯信鈔文意_専修寺_正月十一日本	19	12	信	信	唯信	唯信			2	2			シン	ユイシン					5.4		唯信
30-022-01	唯信鈔文意_専修寺_正月十一日本	20	13	本	本	本弘誓願	本弘誓願			1	2			ホン	ホン（虫）（虫）クワン					6.1		本弘誓願
30-022-01	唯信鈔文意_専修寺_正月十一日本	21	13	弘	弘	本弘誓願	本弘誓願			2	1			（虫）	ホン（虫）（虫）クワン					6.1	虫損	本弘誓願
30-022-01	唯信鈔文意_専修寺_正月十一日本	22	13	誓	誓	本弘誓願	本弘誓願			3	2			（虫）	ホン（虫）（虫）クワン					6.1	虫損	本弘誓願
30-022-01	唯信鈔文意_専修寺_正月十一日本	23	13	願	願	本弘誓願	本弘誓願			4	2			クワン	ホン（虫）（虫）クワン					6.2		本弘誓願
30-022-01	唯信鈔文意_専修寺_正月十一日本	24	14	如	如	如來尊號甚分明	如來尊號甚分明			1	1			ニヨ	ニヨライソンカウシムフンミヤウ					6.3		如來尊號甚分明
30-022-01	唯信鈔文意_専修寺_正月十一日本	25	14	來	來	如來尊號甚分明	如來尊號甚分明			2	2			ライ	ニヨライソンカウシムフンミヤウ					6.3		如來尊號甚分明
30-022-01	唯信鈔文意_専修寺_正月十一日本	26	14	尊	尊	如來尊號甚分明	如來尊號甚分明			3	2			ソン	ニヨライソンカウシムフンミヤウ					6.3		如來尊號甚分明
