資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-008-02	遊仙窟_醍醐寺	248	154	〓	〓（女＋宅）	〓〓	〓（女＋亜）〓（女＋宅）			2			上＊	タ	アタ					111	
30-008-02	遊仙窟_醍醐寺	249	155	禮	礼	禮	礼			1		上	上							112	
30-008-02	遊仙窟_醍醐寺	250	156	虚	虚	虚假	虚仮			1		平軽	平軽上							113	
30-008-02	遊仙窟_醍醐寺	251	156	假	仮	虚假	虚仮			2		上	平軽上							113	
30-008-02	遊仙窟_醍醐寺	252	157	貌	貌	玉貌	玉貌			2				ハウ	＊ハウ					115	
30-008-02	遊仙窟_醍醐寺	253	158	姓	姓	姓望	姓望			1				セイ	セイハウ					116	
30-008-02	遊仙窟_醍醐寺	254	158	望	望	姓望	姓望			2				ハウ	セイハウ					116	
30-008-02	遊仙窟_醍醐寺	255	159	蜀	蜀	蜀生	蜀生			1		入	入平軽							119	
30-008-02	遊仙窟_醍醐寺	256	159	生	生	蜀生	蜀生			2		平軽	入平軽							119	
30-008-02	遊仙窟_醍醐寺	257	160	狡	狡	狡猾	狡猾			1				ケウ	ケウクワツ					119	
30-008-02	遊仙窟_醍醐寺	258	160	猾	猾	狡猾	狡猾			2				クワツ	ケウクワツ					119	
30-008-02	遊仙窟_醍醐寺	259	161	寇	寇	寇場	寇場			1				コウ	コウチヤウ					120	
30-008-02	遊仙窟_醍醐寺	260	161	場	場	寇場	寇場			2				チヤウ	コウチヤウ					120	
30-008-02	遊仙窟_醍醐寺	261	162	煢	煢	煢魂	煢魂			1		平	平平	ケイ	ケイコン					120	
30-008-02	遊仙窟_醍醐寺	262	162	魂	魂	煢魂	煢魂			2		平	平平	コン	ケイコン					120	
30-008-02	遊仙窟_醍醐寺	263	163	嫂	嫂	嫂	嫂			1		上	上			蘇法反				121	
30-008-02	遊仙窟_醍醐寺	264	164	嫂	嫂	嫂	嫂			1		上	上	セウ	セウ					122	
30-008-02	遊仙窟_醍醐寺	265	165	歳	歳	歳年	歳年			1				セイ	セイ＊					123	
30-008-02	遊仙窟_醍醐寺	266	166	翦	翦	翦幣	翦幣			1				セン	センヘイ					124	
30-008-02	遊仙窟_醍醐寺	267	166	幣	幣	翦幣	翦幣			2				ヘイ	センヘイ					124	
30-008-02	遊仙窟_醍醐寺	268	167	上	上	上客	上客			1		去	去入							124	
30-008-02	遊仙窟_醍醐寺	269	167	客	客	上客	上客			2		入	去入							124	
30-008-02	遊仙窟_醍醐寺	270	168	屬	属	望屬	望属			2		入	＊入							125	
30-008-02	遊仙窟_醍醐寺	271	169	鄂	鄂	西鄂	西鄂			2		入濁	＊入濁	カク	＊カク					126	
30-008-02	遊仙窟_醍醐寺	272	170	葉	葉	七葉	七葉			2		入	＊入							127	
30-008-02	遊仙窟_醍醐寺	273	171	貂	貂	貂蝉	貂蝉			1				テウ	テウ＊					127	
30-008-02	遊仙窟_醍醐寺	274	172	韓	韓	韓	韓			1				カン	カン					127	
30-008-02	遊仙窟_醍醐寺	275	173	相	相	卿相	卿相			2		平	＊平							128	
30-008-02	遊仙窟_醍醐寺	276	174	鍾	鍾	鍾	鍾			1		平軽	平軽							128	
30-008-02	遊仙窟_醍醐寺	277	175	衣	衣	衣纓	衣纓			1		平	平平	イ	イエイ					128	
30-008-02	遊仙窟_醍醐寺	278	175	纓	纓	衣纓	衣纓			2		平	平平	エイ	イエイ					128	
30-008-02	遊仙窟_醍醐寺	279	176	樂	楽	禮樂	礼楽			2		入濁	＊入濁							129	
30-008-02	遊仙窟_醍醐寺	280	177	堂	堂	堂構	堂構			1		平軽	平軽去							129	
30-008-02	遊仙窟_醍醐寺	281	177	構	構	堂構	堂構			2		去	平軽去							129	
30-008-02	遊仙窟_醍醐寺	282	178	家	家	家業	家業			1		平軽	平軽入濁							129	平か
30-008-02	遊仙窟_醍醐寺	283	178	業	業	家業	家業			2		入濁	平軽入濁							129	
30-008-02	遊仙窟_醍醐寺	284	179	淪	淪	淪滑	淪滑			1		平軽	平軽上		＊シヨ					129	
30-008-02	遊仙窟_醍醐寺	285	179	滑	滑	淪滑	淪滑			2		上	平軽上	シヨ	＊シヨ					129	
30-008-02	遊仙窟_醍醐寺	286	180	青	青	青州	青州			1		平	平＊							129	
30-008-02	遊仙窟_醍醐寺	287	181	刺	刺	刺史	刺史			1		上	上上	シ	シシ					130	
30-008-02	遊仙窟_醍醐寺	288	181	史	史	刺史	刺史			2		上	上上	シ	シシ					130	
30-008-02	遊仙窟_醍醐寺	289	182	鉅	鉅	鉅鹿侯	鉅鹿侯			1		去	去入＊	キヨ	キヨ＊＊					130	
30-008-02	遊仙窟_醍醐寺	290	182	鹿	鹿	鉅鹿侯	鉅鹿侯			2		入	去入＊		キヨ＊＊					130	
30-008-02	遊仙窟_醍醐寺	291	183	下	下	下寮	下寮			1		上	上＊							131	
30-008-02	遊仙窟_醍醐寺	292	184	鵬	鵬	鵬鷃	鵬鷃			1		平	平去		＊アム					132	
30-008-02	遊仙窟_醍醐寺	293	184	鷃	鷃	鵬鷃	鵬鷃			2		去	平去	アム	＊アム					132	
30-008-02	遊仙窟_醍醐寺	294	185	駈	駈	駈使	駈使			1		平	平上	キウ	キウ＊					133	
30-008-02	遊仙窟_醍醐寺	295	185	使	使	駈使	駈使			2		上	平上		キウ＊					133	
30-008-02	遊仙窟_醍醐寺	296	186	乾	乾	乾煩	乾煩			1				チン／カン	チン＊／カン＊					133	チンに合点
30-008-02	遊仙窟_醍醐寺	297	187	傾	傾	傾仰	傾仰			1		平	平上	ケイ	ケイ＊					134	
30-008-02	遊仙窟_醍醐寺	298	187	仰	仰	傾仰	傾仰			2		上	平上		ケイ＊					134	
30-008-02	遊仙窟_醍醐寺	299	188	貢	貢	賓貢	賓貢			2		去	＊去							135	
30-008-02	遊仙窟_醍醐寺	300	189	高	高	高第	高第			1		去	去＊							136	
30-008-02	遊仙窟_醍醐寺	301	190	關	関	關内道	関内道			1		平軽	平軽＊去							137	
30-008-02	遊仙窟_醍醐寺	302	190	道	道	關内道	関内道			3		去	平軽＊去							137	
30-008-02	遊仙窟_醍醐寺	303	191	尉	尉	尉	尉			1				ヰ	ヰ					137	
30-008-02	遊仙窟_醍醐寺	304	192	軍	軍	行將軍	行将軍			3		去	＊＊去							137	
