資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-010-01	阿弥陀経_西本願寺	2544	1092	生	生	上品下生者	上品下生者			4	2	上	＊＊＊上＊							332	
30-010-01	阿弥陀経_西本願寺	2545	1093	發	發	但發无上道心	但發无上道心			2	1	入急	＊入急去＊＊上							333	
30-010-01	阿弥陀経_西本願寺	2546	1093	无	无	但發无上道心	但發无上道心			3	1	去	＊入急去＊＊上							333	
30-010-01	阿弥陀経_西本願寺	2547	1093	心	心	但發无上道心	但發无上道心			6	2	上	＊入急去＊＊上							333	
30-010-01	阿弥陀経_西本願寺	2548	1094	樂	樂	生極樂國	生極樂國			3	1	入急	＊＊入急＊							333	
30-010-01	阿弥陀経_西本願寺	2549	1095	者	者	行者命欲終時	行者命欲終時			2	1	平濁	＊平濁＊＊上濁上濁							334	
30-010-01	阿弥陀経_西本願寺	2550	1095	終	終	行者命欲終時	行者命欲終時			5	1	上濁	＊平濁＊＊上濁上濁							334	
30-010-01	阿弥陀経_西本願寺	2551	1095	時	時	行者命欲終時	行者命欲終時			6	1	上濁	＊平濁＊＊上濁上濁							334	
30-010-01	阿弥陀経_西本願寺	2552	1096	持	持	持金蓮華	持金蓮華			1	1	去濁	去濁上上上濁							335	
30-010-01	阿弥陀経_西本願寺	2553	1096	金	金	持金蓮華	持金蓮華			2	2	上	去濁上上上濁							335	
30-010-01	阿弥陀経_西本願寺	2554	1096	蓮	蓮	持金蓮華	持金蓮華			3	2	上	去濁上上上濁							335	
30-010-01	阿弥陀経_西本願寺	2555	1096	華	華	持金蓮華	持金蓮華			4	1	上濁	去濁上上上濁							335	
30-010-01	阿弥陀経_西本願寺	2556	1097	人	人	來迎此人	来迎此人			4	2	去	＊＊＊去							336	
30-010-01	阿弥陀経_西本願寺	2557	1098	法	法	讃言法子	讃言法子			3	1	入急	＊＊入急＊							336	
30-010-01	阿弥陀経_西本願寺	2558	1099	清	清	汝今清淨	汝今清淨			3	2	去	＊＊去＊							336	
30-010-01	阿弥陀経_西本願寺	2559	1100	來	來	我來迎汝	我來迎汝			2	2	去	＊去＊＊							337	
30-010-01	阿弥陀経_西本願寺	2560	1101	即	即	即自見身	即自見身			1	2	入緩	入緩＊平去濁							337	
30-010-01	阿弥陀経_西本願寺	2561	1101	見	見	即自見身	即自見身			3	2	平	入緩＊平去濁							337	
30-010-01	阿弥陀経_西本願寺	2562	1101	身	身	即自見身	即自見身			4	2	去濁	入緩＊平去濁							337	
30-010-01	阿弥陀経_西本願寺	2563	1102	金	金	坐金蓮華	坐金蓮華			2	2	去	＊去＊＊							338	
30-010-01	阿弥陀経_西本願寺	2564	1103	華	華	坐已華合	坐已華合			3	1	上	＊＊上＊							338	
30-010-01	阿弥陀経_西本願寺	2565	1104	乃	乃	蓮華乃開 	蓮華乃開 			3	2	去	＊＊去＊＊							339	
30-010-01	阿弥陀経_西本願寺	2566	1105	身	身	雖見佛身	雖見佛身			4	2	去	＊＊＊去							340	
30-010-01	阿弥陀経_西本願寺	2567	1106	衆	衆	於衆相好	於衆相好			2	1	上	＊上＊＊							340	
30-010-01	阿弥陀経_西本願寺	2568	1107	心	心	心不明了	心不明了			1	2	去	去上去＊							340	
30-010-01	阿弥陀経_西本願寺	2569	1107	不	不	心不明了	心不明了			2	1	上	去上去＊							340	
30-010-01	阿弥陀経_西本願寺	2570	1107	明	明	心不明了	心不明了			3	2	去	去上去＊							340	
30-010-01	阿弥陀経_西本願寺	2571	1108	三	三	於三七日後	於三七日後			2	2	上	＊上＊＊＊							340	
30-010-01	阿弥陀経_西本願寺	2572	1109	衆	衆	聞衆音聲	聞衆音聲			2	1	上	＊上去上濁							341	
30-010-01	阿弥陀経_西本願寺	2573	1109	音	音	聞衆音聲	聞衆音聲			3	2	去	＊上去上濁							341	
30-010-01	阿弥陀経_西本願寺	2574	1109	聲	聲	聞衆音聲	聞衆音聲			4	2	上濁	＊上去上濁							341	
30-010-01	阿弥陀経_西本願寺	2575	1110	遊	遊	遊歴十方	遊歴十方			1	1	去	去＊＊＊							341	
30-010-01	阿弥陀経_西本願寺	2576	1111	前	前	於諸佛前	於諸佛前			4	2	去濁	＊＊＊去濁							342	
30-010-01	阿弥陀経_西本願寺	2577	1112	甚	甚	聞甚深法	聞甚深法			2	2	平濁	＊平濁去濁入緩濁							342	
30-010-01	阿弥陀経_西本願寺	2578	1112	深	深	聞甚深法	聞甚深法			3	2	去濁	＊平濁去濁入緩濁							342	
30-010-01	阿弥陀経_西本願寺	2579	1112	法	法	聞甚深法	聞甚深法			4	2	入緩濁	＊平濁去濁入緩濁							342	
30-010-01	阿弥陀経_西本願寺	2580	1113	三	三	經三小劫	經三小劫			2	2	上	＊上＊＊							342	
30-010-01	阿弥陀経_西本願寺	2581	1114	百	百	得百法明門	得百法明門			2	2	入緩	＊入緩入緩＊＊							343	
30-010-01	阿弥陀経_西本願寺	2582	1114	法	法	得百法明門	得百法明門			3	2	入緩	＊入緩入緩＊＊							343	
30-010-01	阿弥陀経_西本願寺	2583	1115	輩	輩	是名上輩生想	是名上輩生想			4	2	平	＊＊＊平去＊							344	
30-010-01	阿弥陀経_西本願寺	2584	1115	生	生	是名上輩生想	是名上輩生想			5	2	去	＊＊＊平去＊							344	
30-010-01	阿弥陀経_西本願寺	2585	1116	品	品	中品上生者	中品上生者			2	2	平濁	＊平濁＊＊＊							345	
