資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	単字_alphabet
50-055-01	ドチリーナ・キリシタン_東洋文庫	3928	2311	怠	怠	懈怠	懈怠	qedai		2				ダイ	ケダイ					111l-05	バチカン本対応箇所なし	dai
50-055-01	ドチリーナ・キリシタン_東洋文庫	3929	2312	契	契	契約	契約	qeiyacu		1				ケイ	ケイヤク					111l-07	バチカン本対応箇所なし	qei
50-055-01	ドチリーナ・キリシタン_東洋文庫	3930	2312	約	約	契約	契約	qeiyacu		2				ヤク	ケイヤク					111l-07	バチカン本対応箇所なし	yacu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3931	2313	約	約	約束	約束	yacusocu		1				ヤク	ヤクソク					111l-07	バチカン本対応箇所なし	yacu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3932	2313	束	束	約束	約束	yacusocu		2				ソク	ヤクソク					111l-07	バチカン本対応箇所なし	socu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3933	2314	快	快	快樂	快樂	qeracu		1				ケ	ケラク					111l-09	バチカン本対応箇所なし	qe
50-055-01	ドチリーナ・キリシタン_東洋文庫	3934	2314	樂	樂	快樂	快樂	qeracu		2				ラク	ケラク					111l-09	バチカン本対応箇所なし	racu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3935	2315	慳	慳	慳貪	慳貪	qendon		1				ケン	ケンドン					111l-11	バチカン本対応箇所なし	qen
50-055-01	ドチリーナ・キリシタン_東洋文庫	3936	2315	貪	貪	慳貪	慳貪	qendon		2				ドン	ケンドン					111l-11	バチカン本対応箇所なし	don
50-055-01	ドチリーナ・キリシタン_東洋文庫	3937	2316	慈	慈	慈悲	慈悲	iifi		1				ジ	ジヒ					111l-13	バチカン本対応箇所なし	ii
50-055-01	ドチリーナ・キリシタン_東洋文庫	3938	2316	悲	悲	慈悲	慈悲	iifi		2				ヒ	ジヒ					111l-13	バチカン本対応箇所なし	fi
50-055-01	ドチリーナ・キリシタン_東洋文庫	3939	2317	堅	堅	堅固	堅固	qengo		1				ケン	ケンゴ					111l-15	バチカン本対応箇所なし	qen
