資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	単字_alphabet
50-055-01	ドチリーナ・キリシタン_東洋文庫	1	1	日	日	日本	日本	nippon		1				ニッ	ニッポン					扉1		nip
50-055-01	ドチリーナ・キリシタン_東洋文庫	2	1	本	本	日本	日本	nippon		2				ポン	ニッポン					扉1		pon
50-055-01	ドチリーナ・キリシタン_東洋文庫	3	2	相	相	相當	相當	sǒtǒ		1				サゥ	サゥタゥ					扉3		sǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	4	2	當	當	相當	相當	sǒtǒ		2				タゥ	サゥタゥ					扉3		tǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	5	3	問	問	問答	問答	mondǒ		1				モン	モンダゥ					扉4		mon
50-055-01	ドチリーナ・キリシタン_東洋文庫	6	3	答	答	問答	問答	mondǒ		2				ダゥ	モンダゥ					扉4		dǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	7	4	次	次	次第	次第	xidai		1				シ	シダイ					扉4		xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	8	4	第	第	次第	次第	xidai		2				ダイ	シダイ					扉4		dai
50-055-01	ドチリーナ・キリシタン_東洋文庫	9	5	版	版	版	版	fan		1				ハン	ハン					扉8		fan
50-055-01	ドチリーナ・キリシタン_東洋文庫	10	6	御	御	御出世	御出世	goxuxxe		1				ゴ	ゴシュッセ					扉9		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	11	6	出	出	御出世	御出世	goxuxxe		2				シュッ	ゴシュッセ					扉9		xux
50-055-01	ドチリーナ・キリシタン_東洋文庫	12	6	世	世	御出世	御出世	goxuxxe		3				セ	ゴシュッセ					扉9		xe
50-055-01	ドチリーナ・キリシタン_東洋文庫	13	7	年	年	年紀	年紀	nenqi		1				ネン	ネンキ					扉9		nen
50-055-01	ドチリーナ・キリシタン_東洋文庫	14	7	紀	紀	年紀	年紀	nenqi		2				キ	ネンキ					扉9		qi
50-055-01	ドチリーナ・キリシタン_東洋文庫	15	8	序	序	序	序	jo		1				ジョ	ジョ					序オ02		jo
50-055-01	ドチリーナ・キリシタン_東洋文庫	16	9	御	御	御在世	御在世	gozaixe		1				ゴ	ゴザイセ					序オ03		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	17	9	在	在	御在世	御在世	gozaixe		2				ザイ	ゴザイセ					序オ03		zai
50-055-01	ドチリーナ・キリシタン_東洋文庫	18	9	世	世	御在世	御在世	gozaixe		3				セ	ゴザイセ					序オ03		xe
50-055-01	ドチリーナ・キリシタン_東洋文庫	19	10	弟	弟	御弟子達	御弟子達	midexi tachi	混種語	2				デ	ミデシタチ					序オ04		de
50-055-01	ドチリーナ・キリシタン_東洋文庫	20	10	子	子	御弟子達	御弟子達	midexi tachi	混種語	3				シ	ミデシタチ					序オ04		xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	21	10	達	達	御弟子達	御弟子達	midexi tachi	混種語	4				タチ	ミデシタチ					序オ04		tachi
50-055-01	ドチリーナ・キリシタン_東洋文庫	22	11	一	一	一切	一切	issai		1				イッ	イッサイ					序オ06		is
50-055-01	ドチリーナ・キリシタン_東洋文庫	23	11	切	切	一切	一切	issai		2				サイ	イッサイ					序オ06		sai
50-055-01	ドチリーナ・キリシタン_東洋文庫	24	12	人	人	人間	人間	ninguen		1				ニン	ニンゲン					序オ06		nin
50-055-01	ドチリーナ・キリシタン_東洋文庫	25	12	間	間	人間	人間	ninguen		2				ゲン	ニンゲン					序オ06		guen
50-055-01	ドチリーナ・キリシタン_東洋文庫	26	13	後	後	後生	後生	goxǒ		1				ゴ	ゴシャゥ					序オ06		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	27	13	生	生	後生	後生	goxǒ		2				シャゥ	ゴシャゥ					序オ06		xǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	28	14	學	學	學者達	學者達	gacuxa tachi		1				ガク	ガクシャタチ					序オ08	バチカン本「がく者達」（005-06)	gacu
50-055-01	ドチリーナ・キリシタン_東洋文庫	29	14	者	者	學者達	學者達	gacuxa tachi		2				シャ	ガクシャタチ					序オ08	バチカン本「がく者達」（005-06)	xa
50-055-01	ドチリーナ・キリシタン_東洋文庫	30	14	達	達	學者達	學者達	gacuxa tachi		3				タチ	ガクシャタチ					序オ08	バチカン本「がく者達」（005-06)	tachi
50-055-01	ドチリーナ・キリシタン_東洋文庫	31	15	信	信	信じ	信じ	xinji	混種語	1				シン	シンジ					序オ10		xin
50-055-01	ドチリーナ・キリシタン_東洋文庫	32	16	存	存	存じ	存じ	zonji	混種語	1				ゾン	ゾンジ					序オ11	バチカン本「ぞんじ」（005-08）	zon
50-055-01	ドチリーナ・キリシタン_東洋文庫	33	17	信	信	信じ	信じ	xinji	混種語	1				シン	シンジ					序オ13		xin
50-055-01	ドチリーナ・キリシタン_東洋文庫	34	18	善	善	善	善	jen		1				ゼン	ゼン					序オ13		jen
50-055-01	ドチリーナ・キリシタン_東洋文庫	35	19	人	人	人間	人間	ninguen		1				ニン	ニンゲン					序オ14		nin
50-055-01	ドチリーナ・キリシタン_東洋文庫	36	19	間	間	人間	人間	ninguen		2				ゲン	ニンゲン					序オ14		guen
50-055-01	ドチリーナ・キリシタン_東洋文庫	37	20	分	分	分別	分別	funbet		1				フン	フンベっ					序オ14		fun
50-055-01	ドチリーナ・キリシタン_東洋文庫	38	20	別	別	分別	分別	funbet		2				ベっ	フンベっ					序オ14		bet
50-055-01	ドチリーナ・キリシタン_東洋文庫	39	21	後	後	後生	後生	goxǒ		1				ゴ	ゴシャゥ					序オ16		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	40	21	生	生	後生	後生	goxǒ		2				シャゥ	ゴシャゥ					序オ16		xǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	41	22	善	善	善	善	jen		1				ゼン	ゼン					序オ17		jen
50-055-01	ドチリーナ・キリシタン_東洋文庫	42	23	約	約	御約束	御約束	von yacusocu	混種語	2				ヤク	ヲンヤクソク					序オ19	バチカン本「御やくそく」006-01	yacu
50-055-01	ドチリーナ・キリシタン_東洋文庫	43	23	束	束	御約束	御約束	von yacusocu	混種語	3				ソク	ヲンヤクソク					序オ19	バチカン本「御やくそく」006-01	socu
50-055-01	ドチリーナ・キリシタン_東洋文庫	44	24	義	義	義	義	gui		1				ギ	ギ					序オ20	バチカン本「儀」006-01	gui
50-055-01	ドチリーナ・キリシタン_東洋文庫	45	25	難	難	難儀	難儀	nangui		1				ナン	ナンギ					序オ20	バチカン本「なんぎ」006-02	
50-055-01	ドチリーナ・キリシタン_東洋文庫	46	25	儀	儀	難儀	難儀	nangui		2				ギ	ナンギ					序オ20	バチカン本「なんぎ」006-02	gui
50-055-01	ドチリーナ・キリシタン_東洋文庫	47	26	善	善	善	善	jen		1				ゼン	ゼン					序ウ2		jen
50-055-01	ドチリーナ・キリシタン_東洋文庫	48	27	善	善	善	善	jen		1				ゼン	ゼン					序ウ4		jen
50-055-01	ドチリーナ・キリシタン_東洋文庫	49	28	學	學	學者	學者	gacuxa		1				ガク	ガクシャ					序ウ6	バチカン本「がくしや」006-08	gacu
50-055-01	ドチリーナ・キリシタン_東洋文庫	50	28	者	者	學者	學者	gacuxa		2				シャ	ガクシャ					序ウ6	バチカン本「がくしや」006-08	xa
50-055-01	ドチリーナ・キリシタン_東洋文庫	51	29	善	善	善人達	善人達	jennin tachi		1				ゼン	ゼンニンタチ					序ウ7		jen
50-055-01	ドチリーナ・キリシタン_東洋文庫	52	29	人	人	善人達	善人達	jennin tachi		2				ニン	ゼンニンタチ					序ウ7		nin
50-055-01	ドチリーナ・キリシタン_東洋文庫	53	29	達	達	善人達	善人達	jennin tachi		3				タチ	ゼンニンタチ					序ウ7		tachi
50-055-01	ドチリーナ・キリシタン_東洋文庫	54	30	義	義	義	義	gui		1				ギ	ギ					序ウ7	バチカン本「儀」006-09	gui
50-055-01	ドチリーナ・キリシタン_東洋文庫	55	31	經	經	經	經	qiǒ		1				キャゥ	キャゥ					序ウ8		qiǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	56	32	肝	肝	肝要	肝要	canyô		1				カン	カンヨゥ					序ウ8		can
50-055-01	ドチリーナ・キリシタン_東洋文庫	57	32	要	要	肝要	肝要	canyô		2				ヨゥ	カンヨゥ					序ウ8		yô
50-055-01	ドチリーナ・キリシタン_東洋文庫	58	33	版	版	版	版	fan		1				ハン	ハン					序ウ9	バチカン本「はん」006-11	fan
50-055-01	ドチリーナ・キリシタン_東洋文庫	59	34	後	後	後生	後生	goxǒ		1				ゴ	ゴシャゥ					序ウ11		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	60	34	生	生	後生	後生	goxǒ		2				シャゥ	ゴシャゥ					序ウ11		xǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	61	35	經	經	經	經	qiǒ		1				キャゥ	キャゥ					序ウ13		qiǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	62	36	上	上	上下	上下	iǒgue		1				ジャゥ	ジャゥゲ					序ウ15		iǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	63	36	下	下	上下	上下	iǒgue		2				ゲ	ジャゥゲ					序ウ15		gue
50-055-01	ドチリーナ・キリシタン_東洋文庫	64	37	萬	萬	萬民	萬民	banmin		1				バン	バンミン					序ウ15	バチカン本「ばんみん」007-02	ban
50-055-01	ドチリーナ・キリシタン_東洋文庫	65	37	民	民	萬民	萬民	banmin		2				ミン	バンミン					序ウ15		min
50-055-01	ドチリーナ・キリシタン_東洋文庫	66	38	俗	俗	俗	俗	zocu		1				ゾク	ゾク					序ウ17	バチカン本「ぞく」007-04	zocu
50-055-01	ドチリーナ・キリシタン_東洋文庫	67	39	義	義	義	義	gui		1				ギ	ギ					序ウ17	バチカン本「儀」007-04	gui
50-055-01	ドチリーナ・キリシタン_東洋文庫	68	40	天	天	天命	天命	tenmei		1				テン	テンメイ					序ウ17		ten
50-055-01	ドチリーナ・キリシタン_東洋文庫	69	40	命	命	天命	天命	tenmei		2				メイ	テンメイ					序ウ17		mei
50-055-01	ドチリーナ・キリシタン_東洋文庫	70	41	師	師	師	師	xi		1				シ	シ					序ウ19		xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	71	42	弟	弟	弟子	弟子	dexi		1				デ	デシ					序ウ19		de
50-055-01	ドチリーナ・キリシタン_東洋文庫	72	42	子	子	弟子	弟子	dexi		2				シ	デシ					序ウ19		xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	73	43	問	問	問答	問答	mondǒ		1				モン	モンダゥ					序ウ20	バチカン本「もんだう」	mon
50-055-01	ドチリーナ・キリシタン_東洋文庫	74	43	答	答	問答	問答	mondǒ		2				ダゥ	モンダゥ					序ウ20	バチカン本「もんだう」	dǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	75	44	一	一	一切	一切	issai		1				イッ	イッサイ					序ウ21		is
50-055-01	ドチリーナ・キリシタン_東洋文庫	76	44	切	切	一切	一切	issai		2				サイ	イッサイ					序ウ21		sai
50-055-01	ドチリーナ・キリシタン_東洋文庫	77	45	安	安	安心	安心	anjin		1				アン	アンジン					序ウ21	バチカン本「あんじん」007-08	an
50-055-01	ドチリーナ・キリシタン_東洋文庫	78	45	心	心	安心	安心	anjin		2				ジン	アンジン					序ウ21	バチカン本「あんじん」007-08	jin
50-055-01	ドチリーナ・キリシタン_東洋文庫	79	46	決	決	決定	決定	qetgiǒ		1				ケっ	ケっヂャゥ					序ウ22	バチカン本「けつちやう」007-08	qet
50-055-01	ドチリーナ・キリシタン_東洋文庫	80	46	定	定	決定	決定	qetgiǒ		2				ヂャゥ	ケっヂャゥ					序ウ22		giǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	81	47	一	一	一道	一道	ichidǒ		1				イチ	イチダゥ					序ウ22		ichi
50-055-01	ドチリーナ・キリシタン_東洋文庫	82	47	道	道	一道	一道	ichidǒ		2				ダゥ	イチダゥ					序ウ22		dǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	83	48	專	專	專要	專要	xenyô		1				セン	センヨゥ					序ウ23		xen
50-055-01	ドチリーナ・キリシタン_東洋文庫	84	48	要	要	專要	專要	xenyô		2				ヨゥ	センヨゥ					序ウ23		yô
50-055-01	ドチリーナ・キリシタン_東洋文庫	85	49	第	第	第一	第一	daiichi		1				ダイ	ダイイチ					001-01	バチカン本なし	dai
50-055-01	ドチリーナ・キリシタン_東洋文庫	86	49	一	一	第一	第一	daiichi		2				イチ	ダイイチ					001-01	バチカン本なし	ichi
50-055-01	ドチリーナ・キリシタン_東洋文庫	87	50	師	師	師匠	師匠	xixǒ		1				シ	シシャゥ					001-03	バチカン本「師」009-01	xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	88	50	匠	匠	師匠	師匠	xixǒ		2				シャゥ	シシャゥ					001-03	バチカン本「師」009-01	xǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	89	51	眞	眞	眞實	眞實	xinjit		1				シン	シンジっ					001-03		xin
50-055-01	ドチリーナ・キリシタン_東洋文庫	90	51	實	實	眞實	眞實	xinjit		2				ジっ	シンジっ					001-03		jit
50-055-01	ドチリーナ・キリシタン_東洋文庫	91	52	聽	聽	聽聞する	聽聞する	chǒmon suru	混種語	1				チャゥ	チャゥモンスル					001-05		chǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	92	52	聞	聞	聽聞する	聽聞する	chǒmon suru	混種語	2				モン	チャゥモンスル					001-05		mon
50-055-01	ドチリーナ・キリシタン_東洋文庫	93	53	肝	肝	肝要	肝要	canyô		1				カン	カンヤゥ					001-05		can
50-055-01	ドチリーナ・キリシタン_東洋文庫	94	53	要	要	肝要	肝要	canyô		2				ヤゥ	カンヤゥ					001-05		yô
50-055-01	ドチリーナ・キリシタン_東洋文庫	95	54	御	御	御掟	御掟	go voqite	混種語	1				ゴ	ゴヲキテ					001-05	バチカン本「御おきて」009-03	go
50-055-01	ドチリーナ・キリシタン_東洋文庫	96	55	弟	弟	弟子	弟子	dexi		1				デ	デシ					001-07	バチカン本「弟」009-05	de
50-055-01	ドチリーナ・キリシタン_東洋文庫	97	55	子	子	弟子	弟子	dexi		2				シ	デシ					001-07	バチカン本「弟」009-05	xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	98	56	聽	聽	聽聞し	聽聞し	chǒmon xi	混種語	1				チャゥ	チャゥモンシ					001-07		chǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	99	56	聞	聞	聽聞し	聽聞し	chǒmon xi	混種語	2				チャゥ	チャゥモンシ					001-07		mon
50-055-01	ドチリーナ・キリシタン_東洋文庫	100	57	道	道	道理	道理	dǒri		1				ダゥ	ダゥリ					001-07	バチカン本「道り」009-05	dǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	101	57	理	理	道理	道理	dǒri		2				リ	ダゥリ					001-07	バチカン本「道り」009-05	ri
50-055-01	ドチリーナ・キリシタン_東洋文庫	102	58	師	師	師	師	xi		1				シ	シ					001-09		xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	103	59	分	分	分別せ	分別せ	funbet xe	混種語	1				フン	フンベっセ					001-09		fun
50-055-01	ドチリーナ・キリシタン_東洋文庫	104	59	別	別	分別せ	分別せ	funbet xe	混種語	2				ベっ	フンベっセ					001-09		bet
50-055-01	ドチリーナ・キリシタン_東洋文庫	105	60	弟	弟	弟	弟	de		1				デ	デ					001-10	漢語は「弟子」の第1音節	de
50-055-01	ドチリーナ・キリシタン_東洋文庫	106	61	分	分	分別せ	分別せ	funbet xe	混種語	1				フン	フンベっセ					001-10		fun
50-055-01	ドチリーナ・キリシタン_東洋文庫	107	61	別	別	分別せ	分別せ	funbet xe	混種語	2				ベっ	フンベっセ					001-10		bet
50-055-01	ドチリーナ・キリシタン_東洋文庫	108	62	師	師	師	師	xi		1				シ	シ					001-11		xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	109	63	御	御	御分別	御分別	go funbet		1				ゴ	ゴフンベっ					001-12		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	110	63	分	分	御分別	御分別	go funbet		2				フン	ゴフンベっ					001-12		fun
50-055-01	ドチリーナ・キリシタン_東洋文庫	111	63	別	別	御分別	御分別	go funbet		3				フン	ゴフンベっ					001-12		bet
50-055-01	ドチリーナ・キリシタン_東洋文庫	112	64	第	第	第一肝要	第一肝要	daiichi canyô		1				ダイ	ダイイチカンヨゥ					001-13		dai
50-055-01	ドチリーナ・キリシタン_東洋文庫	113	64	一	一	第一肝要	第一肝要	daiichi canyô		2				イチ	ダイイチカンヨゥ					001-13		ichi
50-055-01	ドチリーナ・キリシタン_東洋文庫	114	64	肝	肝	第一肝要	第一肝要	daiichi canyô		3				カン	ダイイチカンヨゥ					001-13		can
50-055-01	ドチリーナ・キリシタン_東洋文庫	115	64	要	要	第一肝要	第一肝要	daiichi canyô		4				ヨゥ	ダイイチカンヨゥ					001-13		yô
50-055-01	ドチリーナ・キリシタン_東洋文庫	116	65	題	題	題目	題目	daimocu		1				ダイ	ダイモク					001-13	バチカン本「だいもく」009-10	dai
50-055-01	ドチリーナ・キリシタン_東洋文庫	117	65	目	目	題目	題目	daimocu		2				モク	ダイモク					001-13	バチカン本「だいもく」009-10	mocu
50-055-01	ドチリーナ・キリシタン_東洋文庫	118	66	弟	弟	弟	弟	de		1				デ	デ					001-14		de
50-055-01	ドチリーナ・キリシタン_東洋文庫	119	67	天	天	天地	天地	tenchi		1				テン	テンチ					001-14		ten
50-055-01	ドチリーナ・キリシタン_東洋文庫	120	67	地	地	天地	天地	tenchi		2				チ	テンチ					001-14		chi
50-055-01	ドチリーナ・キリシタン_東洋文庫	121	68	御	御	御作者	御作者	go sacuxa		1				ゴ	ゴサクシャ					001-14		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	122	68	作	作	御作者	御作者	go sacuxa		2				サク	ゴサクシャ					001-14		sacu
50-055-01	ドチリーナ・キリシタン_東洋文庫	123	68	者	者	御作者	御作者	go sacuxa		3				シャ	ゴサクシャ					001-14		xa
50-055-01	ドチリーナ・キリシタン_東洋文庫	124	69	御	御	御一體	御一體	go ittai		1				ゴ	ゴイッタイ					001-14		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	125	69	一	一	御一體	御一體	go ittai		2				イッ	ゴイッタイ					001-14		it
50-055-01	ドチリーナ・キリシタン_東洋文庫	126	69	體	體	御一體	御一體	go ittai		3				タイ	ゴイッタイ					001-14		tai
50-055-01	ドチリーナ・キリシタン_東洋文庫	127	70	現	現	現世	現世	guenje		1				ゲン	ゲンゼ					001-15		guen
50-055-01	ドチリーナ・キリシタン_東洋文庫	128	70	世	世	現世	現世	guenje		2				ゼ	ゲンゼ					001-15		je
50-055-01	ドチリーナ・キリシタン_東洋文庫	129	71	後	後	後世	後世	goxe		1				ゴ	ゴセ					001-15		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	130	71	世	世	後世	後世	goxe		2				セ	ゴセ					001-15		xe
50-055-01	ドチリーナ・キリシタン_東洋文庫	131	72	御	御	御一体	御一体	go ittai		1				ゴ	ゴイッタイ					001-16		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	132	72	一	一	御一体	御一体	go ittai		2				イッ	ゴイッタイ					001-16		it
50-055-01	ドチリーナ・キリシタン_東洋文庫	133	72	体	体	御一体	御一体	go ittai		3				タイ	ゴイッタイ					001-16		tai
50-055-01	ドチリーナ・キリシタン_東洋文庫	134	73	後	後	後生	後生	goxǒ		1				ゴ	ゴシャゥ					001-18		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	135	73	生	生	後生	後生	goxǒ		2				シャゥ	ゴシャゥ					001-18		xǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	136	73	後	後	後生	後生	goxǒ		1				ゴ	ゴシャゥ					001-19		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	137	73	生	生	後生	後生	goxǒ		2				シャゥ	ゴシャゥ					001-19		xǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	138	73	後	後	後生	後生	goxǒ		1				ゴ	ゴシャゥ					001-21		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	139	73	生	生	後生	後生	goxǒ		2				シャゥ	ゴシャゥ					001-21		xǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	140	74	分	分	分別し	分別し	funbet xi	混種語	1				フン	フンベっシ					002-01		fun
50-055-01	ドチリーナ・キリシタン_東洋文庫	141	74	別	別	分別し	分別し	funbet xi	混種語	2				ベっ	フンベっシ					002-01		bet
50-055-01	ドチリーナ・キリシタン_東洋文庫	142	75	師	師	師	師	xi		1				シ	シ					002-02		xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	143	76	人	人	人間	人間	ninguen		1				ニン	ニンゲン					002-02		nin
50-055-01	ドチリーナ・キリシタン_東洋文庫	144	76	間	間	人間	人間	ninguen		2				ゲン	ニンゲン					002-02		guen
50-055-01	ドチリーナ・キリシタン_東洋文庫	145	77	分	分	分別せ	分別せ	funbet xe	混種語	1				フン	フンベっセ					002-02		fun
50-055-01	ドチリーナ・キリシタン_東洋文庫	146	77	別	別	分別せ	分別せ	funbet xe	混種語	2				ベっ	フンベっセ					002-02		bet
50-055-01	ドチリーナ・キリシタン_東洋文庫	147	78	弟	弟	弟	弟	de		1				デ	デ					002-04		de
50-055-01	ドチリーナ・キリシタン_東洋文庫	148	79	人	人	人間	人間	ninguen		1				ニン	ニンゲン					002-04		nin
50-055-01	ドチリーナ・キリシタン_東洋文庫	149	79	間	間	人間	人間	ninguen		2				ゲン	ニンゲン					002-04		guen
50-055-01	ドチリーナ・キリシタン_東洋文庫	150	80	色	色	色身	色身	xiqixin		1				シキ	シキシン					002-04		xiqi
50-055-01	ドチリーナ・キリシタン_東洋文庫	151	80	身	身	色身	色身	xiqixin		2				シン	シキシン					002-04		xin
50-055-01	ドチリーナ・キリシタン_東洋文庫	152	80	色	色	色身	色身	xiqixin		1				シキ	シキシン					002-06		xiqi
50-055-01	ドチリーナ・キリシタン_東洋文庫	153	80	身	身	色身	色身	xiqixin		2				シン	シキシン					002-06		xin
50-055-01	ドチリーナ・キリシタン_東洋文庫	154	80	色	色	色身	色身	xiqixin		1				シキ	シキシン					002-06		xiqi
50-055-01	ドチリーナ・キリシタン_東洋文庫	155	80	身	身	色身	色身	xiqixin		2				シン	シキシン					002-06		xin
50-055-01	ドチリーナ・キリシタン_東洋文庫	156	81	善	善	善惡	善惡	jen acu		1				ゼン	ゼンアク					002-08		jen
50-055-01	ドチリーナ・キリシタン_東洋文庫	157	81	惡	惡	善惡	善惡	jen acu		2				アク	ゼンアク					002-08		acu
50-055-01	ドチリーナ・キリシタン_東洋文庫	158	82	後	後	後生	後生	goxǒ		1				ゴ	ゴシャゥ					002-08		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	159	82	生	生	後生	後生	goxǒ		2				シャゥ	ゴシャゥ					002-08		xǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	160	83	苦	苦	苦樂	苦樂	curacu		1				ク	クラク					002-09	バチカン本「くらく」010-12	cu
50-055-01	ドチリーナ・キリシタン_東洋文庫	161	83	樂	樂	苦樂	苦樂	curacu		2				ラク	クラク					002-09	バチカン本「くらく」010-12	racu
50-055-01	ドチリーナ・キリシタン_東洋文庫	162	84	師	師	師	師	xi		1				シ	シ					002-10		xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	163	85	分	分	分別せ	分別せ	funbet xe	混種語	1				フン	フンベっセ					002-10		fun
50-055-01	ドチリーナ・キリシタン_東洋文庫	164	85	別	別	分別せ	分別せ	funbet xe	混種語	2				ベっ	フンベっセ					002-10		bet
50-055-01	ドチリーナ・キリシタン_東洋文庫	165	86	談	談	談義	談義	dangui		1				ダン	ダンギ					002-10	バチカン本「談儀」010-13	dan
50-055-01	ドチリーナ・キリシタン_東洋文庫	166	86	義	義	談義	談義	dangui		2				ギ	ダンギ					002-10	バチカン本「談儀」010-13	gui
50-055-01	ドチリーナ・キリシタン_東洋文庫	167	87	弟	弟	弟	弟	de		1				デ	デ					002-13		de
50-055-01	ドチリーナ・キリシタン_東洋文庫	168	88	義	義	義	義	gui		1				ギ	ギ					002-13	バチカン本「儀」011-02	gui
50-055-01	ドチリーナ・キリシタン_東洋文庫	169	89	御	御	御教化	御教化	go qeôqe		1				ゴ	ゴケゥケ					002-13		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	170	89	教	教	御教化	御教化	go qeôqe		2				ケゥ	ゴケゥケ					002-13		qeô
50-055-01	ドチリーナ・キリシタン_東洋文庫	171	89	化	化	御教化	御教化	go qeôqe		3				ケ	ゴケゥケ					002-13		qe
50-055-01	ドチリーナ・キリシタン_東洋文庫	172	90	存	存	存ずる	存ずる	zonzuru	混種語	1				ゾン	ゾンズル					002-14	バチカン本「ぞんずる」011-03	zon
50-055-01	ドチリーナ・キリシタン_東洋文庫	173	91	師	師	師	師	xi		1				シ	シ					002-15		xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	174	92	弟	弟	弟	弟	de		1				デ	デ					002-18		de
50-055-01	ドチリーナ・キリシタン_東洋文庫	175	93	師	師	師	師	xi		1				シ	シ					002-20		xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	176	94	弟	弟	弟	弟	de		1				デ	デ					002-21		de
50-055-01	ドチリーナ・キリシタン_東洋文庫	177	95	義	義	義	義	gui		1				ギ	ギ					002-21	バチカン本「儀」011-09	gui
50-055-01	ドチリーナ・キリシタン_東洋文庫	178	96	分	分	分別せ	分別せ	funbet xe	混種語	1				フン	フンベっセ					002-21		fun
50-055-01	ドチリーナ・キリシタン_東洋文庫	179	96	別	別	分別せ	分別せ	funbet xe	混種語	2				ベっ	フンベっセ					002-21		bet
50-055-01	ドチリーナ・キリシタン_東洋文庫	180	97	師	師	師	師	xi		1				シ	シ					002-23		xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	181	98	御	御	御作	御作	gosacu		1				ゴ	ゴサク					003-01		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	182	98	作	作	御作	御作	gosacu		2				サク	ゴサク					003-01		sacu
50-055-01	ドチリーナ・キリシタン_東洋文庫	183	99	御	御	御ボンダアデ	御ボンダアデ	go bondade	混種語	1				ゴ	ゴボンダアデ					003-02	バチカン本「御ぼんだあで」011-12	go
50-055-01	ドチリーナ・キリシタン_東洋文庫	184	100	慈	慈	御慈悲	御慈悲	von jifi	混種語	2				ジ	ヲンジヒ					003-02		ji
50-055-01	ドチリーナ・キリシタン_東洋文庫	185	100	悲	悲	御慈悲	御慈悲	von jifi	混種語	3				ヒ	ヲンジヒ					003-02		fi
50-055-01	ドチリーナ・キリシタン_東洋文庫	186	101	御	御	御功力	御功力	go curiqi		1				ゴ	ゴクリキ					003-03		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	187	101	功	功	御功力	御功力	go curiqi		2				ク	ゴクリキ					003-03		cu
50-055-01	ドチリーナ・キリシタン_東洋文庫	188	101	力	力	御功力	御功力	go curiqi		3				リキ	ゴクリキ					003-03		riqi
50-055-01	ドチリーナ・キリシタン_東洋文庫	189	102	弟	弟	弟	弟	de		1				デ	デ					003-05		de
50-055-01	ドチリーナ・キリシタン_東洋文庫	190	103	師	師	師	師	xi		1				シ	シ					003-07		xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	191	104	御	御	御養子	御養子	go yǒji		1				ゴ	ゴヤゥジ					003-07	バチカン本「御やうし」012-03。右傍"yǒxi"の書き入れあり	go
