資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	位置	単字長	声点	声点型	仮名	仮名型	反切	類音注	節博士	その他	出現位置	備考	推定語形
60-028-01	平曲譜本	2585	1389	三	三	三位	三位			1								中上中	LHL	3下忠落11-3指声		さんみ
60-028-01	平曲譜本	2586	1389	位	位	三位	三位			2								中上中	LHL	3下忠落11-3指声		さんみ
60-028-01	平曲譜本	2587	1390	三	三	三位	三位			1								×上×	LHL	3下忠落1-5口説		さんみ
60-028-01	平曲譜本	2588	1390	位	位	三位	三位			2								×上×	LHL	3下忠落1-5口説		さんみ
60-028-01	平曲譜本	2589	1391	三	三	三位	三位			1								×上×	LHL	4下老馬5-3素声		さんみ
60-028-01	平曲譜本	2590	1391	位	位	三位	三位			2								×上×	LHL	4下老馬5-3素声		さんみ
60-028-01	平曲譜本	2591	1392	三	三	三位	三位			1								×上×	LHL	6下嗣信29-5白声		さんみ
60-028-01	平曲譜本	2592	1392	位	位	三位	三位			2								×上×	LHL	6下嗣信29-5白声		さんみ
60-028-01	平曲譜本	2593	1393	三	三	三位	三位			1								×上×	LHL	6下嗣信30-1白声		さんみ
60-028-01	平曲譜本	2594	1393	位	位	三位	三位			2								×上×	LHL	6下嗣信30-1白声		さんみ
60-028-01	平曲譜本	2595	1394	三	三	三位	三位			1								×上×	LHL	7下燧合13-3白声		さんみ
60-028-01	平曲譜本	2596	1394	位	位	三位	三位			2								×上×	LHL	7下燧合13-3白声		さんみ
60-028-01	平曲譜本	2597	1395	三	三	三位	三位			1								×上×	LHL	8下落足4-5素声		さんみ
60-028-01	平曲譜本	2598	1395	位	位	三位	三位			2								×上×	LHL	8下落足4-5素声		さんみ
60-028-01	平曲譜本	2599	1396	三	三	三位	三位			1								×上×	LHL	10上若宮29-5白声		さんみ
60-028-01	平曲譜本	2600	1396	位	位	三位	三位			2								×上×	LHL	10上若宮29-5白声		さんみ
60-028-01	平曲譜本	2601	1397	三	三	三位	三位			1								×上×	LHL	15下臣誅33-5口説		さんみ
60-028-01	平曲譜本	2602	1397	位	位	三位	三位			2								×上×	LHL	15下臣誅33-5口説		さんみ
60-028-01	平曲譜本	2603	1398	三	三	三位	三位			1								×コ×	LHL	3下忠落9-3口説		さんみ
60-028-01	平曲譜本	2604	1398	位	位	三位	三位			2								×コ×	LHL	3下忠落9-3口説		さんみ
60-028-01	平曲譜本	2605	1399	三	三	三位	三位			1								×コ×	LHL	8下落足10-5口説		さんみ
60-028-01	平曲譜本	2606	1399	位	位	三位	三位			2								×コ×	LHL	8下落足10-5口説		さんみ
60-028-01	平曲譜本	2607	1400	三	三	三位	三位			1								×コ×	LHL	10上若宮31-4口説		さんみ
60-028-01	平曲譜本	2608	1400	位	位	三位	三位			2								×コ×	LHL	10上若宮31-4口説		さんみ
60-028-01	平曲譜本	2609	1401	三	三	三位	三位			1								×コ×	LHL	14上六度3-2口説		さんみ
60-028-01	平曲譜本	2610	1401	位	位	三位	三位			2								×コ×	LHL	14上六度3-2口説		さんみ
60-028-01	平曲譜本	2611	1402	三	三	三位	三位			1								×コ×	LHL	14上六度9-4口説		さんみ
60-028-01	平曲譜本	2612	1402	位	位	三位	三位			2								×コ×	LHL	14上六度9-4口説		さんみ
60-028-01	平曲譜本	2613	1403	三	三	三位	三位			1								×コ×	LHL	14下小宰1-2口説		さんみ
60-028-01	平曲譜本	2614	1403	位	位	三位	三位			2								×コ×	LHL	14下小宰1-2口説		さんみ
60-028-01	平曲譜本	2615	1404	三	三	三位	三位			1								×コ×	LHL	14下小宰8-5口説		さんみ
60-028-01	平曲譜本	2616	1404	位	位	三位	三位			2								×コ×	LHL	14下小宰8-5口説		さんみ
60-028-01	平曲譜本	2617	1405	三	三	三位	三位			1								×コア	LHL	14下小宰9-5下ゲ		さんみ
60-028-01	平曲譜本	2618	1405	位	位	三位	三位			2								×コア	LHL	14下小宰9-5下ゲ		さんみ
60-028-01	平曲譜本	2619	1406	三	三	三位	三位と			1								×上××	LHL	15上頸渡3-3口説		さんみ
60-028-01	平曲譜本	2620	1406	位	位	三位	三位と			2								×上××	LHL	15上頸渡3-3口説		さんみ
60-028-01	平曲譜本	2621	1407	三	三	三位	三位に			1								×上××	LHL	2上鵺5-2白声		さんみ
60-028-01	平曲譜本	2622	1407	位	位	三位	三位に			2								×上××	LHL	2上鵺5-2白声		さんみ
60-028-01	平曲譜本	2623	1408	三	三	三位	三位に			1								×上××	LHL	10上若宮29-3白声		さんみ
60-028-01	平曲譜本	2624	1408	位	位	三位	三位に			2								×上××	LHL	10上若宮29-3白声		さんみ
60-028-01	平曲譜本	2625	1409	三	三	三位	三位ﾉ			1								×上××	LHL	4下熊野13-2口説		さんみ
60-028-01	平曲譜本	2626	1409	位	位	三位	三位ﾉ			2								×上××	LHL	4下熊野13-2口説		さんみ
60-028-01	平曲譜本	2627	1410	三	三	三位	三位の			1								中上中中	LHL	1下海道11-1指声		さんみ
60-028-01	平曲譜本	2628	1410	位	位	三位	三位の			2								中上中中	LHL	1下海道11-1指声		さんみ
60-028-01	平曲譜本	2629	1411	三	三	三位	三位の			1								中上中中	LHL	1下海道18-5指声		さんみ
60-028-01	平曲譜本	2630	1411	位	位	三位	三位の			2								中上中中	LHL	1下海道18-5指声		さんみ
60-028-01	平曲譜本	2631	1412	三	三	三位	三位の			1								中上中中	LHL	5下千寿28-3指声		さんみ
60-028-01	平曲譜本	2632	1412	位	位	三位	三位の			2								中上中中	LHL	5下千寿28-3指声		さんみ
60-028-01	平曲譜本	2633	1413	三	三	三位	三位の			1								中上中中	LHL	5下千寿31-5指声		さんみ
60-028-01	平曲譜本	2634	1413	位	位	三位	三位の			2								中上中中	LHL	5下千寿31-5指声		さんみ
60-028-01	平曲譜本	2635	1414	三	三	三位	三位の			1								中上中中	LHL	8下惟落4-1指声		さんみ
60-028-01	平曲譜本	2636	1414	位	位	三位	三位の			2								中上中中	LHL	8下惟落4-1指声		さんみ
60-028-01	平曲譜本	2637	1415	三	三	三位	三位の			1								中上中中	LHL	8下惟落10-4指声		さんみ
60-028-01	平曲譜本	2638	1415	位	位	三位	三位の			2								中上中中	LHL	8下惟落10-4指声		さんみ
60-028-01	平曲譜本	2639	1416	三	三	三位	三位の			1								×上××	LHL	1下海道9-2口説		さんみ
60-028-01	平曲譜本	2640	1416	位	位	三位	三位の			2								×上××	LHL	1下海道9-2口説		さんみ
60-028-01	平曲譜本	2641	1417	三	三	三位	三位の			1								×上××	LHL	2下横笛1-2口説		さんみ
60-028-01	平曲譜本	2642	1417	位	位	三位	三位の			2								×上××	LHL	2下横笛1-2口説		さんみ
60-028-01	平曲譜本	2643	1418	三	三	三位	三位の			1								×上××	LHL	2下泊瀬1-5口説		さんみ
60-028-01	平曲譜本	2644	1418	位	位	三位	三位の			2								×上××	LHL	2下泊瀬1-5口説		さんみ
60-028-01	平曲譜本	2645	1419	三	三	三位	三位の			1								×上××	LHL	3下大嘗4-5口説		さんみ
60-028-01	平曲譜本	2646	1419	位	位	三位	三位の			2								×上××	LHL	3下大嘗4-5口説		さんみ
60-028-01	平曲譜本	2647	1420	三	三	三位	三位の			1								×上××	LHL	4下熊野10-4素声		さんみ
60-028-01	平曲譜本	2648	1420	位	位	三位	三位の			2								×上××	LHL	4下熊野10-4素声		さんみ
60-028-01	平曲譜本	2649	1421	三	三	三位	三位の			1								×上××	LHL	4下熊野11-4素声		さんみ
60-028-01	平曲譜本	2650	1421	位	位	三位	三位の			2								×上××	LHL	4下熊野11-4素声		さんみ
60-028-01	平曲譜本	2651	1422	三	三	三位	三位の			1								×上××	LHL	5下千寿4-1口説		さんみ
60-028-01	平曲譜本	2652	1422	位	位	三位	三位の			2								×上××	LHL	5下千寿4-1口説		さんみ
60-028-01	平曲譜本	2653	1423	三	三	三位	三位の			1								×上××	LHL	5下千寿42-2素声		さんみ
60-028-01	平曲譜本	2654	1423	位	位	三位	三位の			2								×上××	LHL	5下千寿42-2素声		さんみ
60-028-01	平曲譜本	2655	1424	三	三	三位	三位の			1								×上××	LHL	5下千寿44-3口説		さんみ
60-028-01	平曲譜本	2656	1424	位	位	三位	三位の			2								×上××	LHL	5下千寿44-3口説		さんみ
60-028-01	平曲譜本	2657	1425	三	三	三位	三位の			1								×上××	LHL	5下千寿44-5口説		さんみ
60-028-01	平曲譜本	2658	1425	位	位	三位	三位の			2								×上××	LHL	5下千寿44-5口説		さんみ
60-028-01	平曲譜本	2659	1426	三	三	三位	三位の			1								×上××	LHL	7下燧合13-3白声		さんみ
60-028-01	平曲譜本	2660	1426	位	位	三位	三位の			2								×上××	LHL	7下燧合13-3白声		さんみ
60-028-01	平曲譜本	2661	1427	三	三	三位	三位の			1								×上××	LHL	7下重斬5-1口説		さんみ
60-028-01	平曲譜本	2662	1427	位	位	三位	三位の			2								×上××	LHL	7下重斬5-1口説		さんみ
60-028-01	平曲譜本	2663	1428	三	三	三位	三位の			1								×上××	LHL	7下重斬24-2口説		さんみ
60-028-01	平曲譜本	2664	1428	位	位	三位	三位の			2								×上××	LHL	7下重斬24-2口説		さんみ
60-028-01	平曲譜本	2665	1429	三	三	三位	三位の			1								×上××	LHL	7下重斬27-1白声		さんみ
60-028-01	平曲譜本	2666	1429	位	位	三位	三位の			2								×上××	LHL	7下重斬27-1白声		さんみ
60-028-01	平曲譜本	2667	1430	三	三	三位	三位の			1								×上××	LHL	8下惟落1-2口説		さんみ
60-028-01	平曲譜本	2668	1430	位	位	三位	三位の			2								×上××	LHL	8下惟落1-2口説		さんみ
60-028-01	平曲譜本	2669	1431	三	三	三位	三位の			1								×上××	LHL	8下惟落17-2口説		さんみ
60-028-01	平曲譜本	2670	1431	位	位	三位	三位の			2								×上××	LHL	8下惟落17-2口説		さんみ
60-028-01	平曲譜本	2671	1432	三	三	三位	三位の			1								×上××	LHL	8下惟落19-3白声		さんみ
60-028-01	平曲譜本	2672	1432	位	位	三位	三位の			2								×上××	LHL	8下惟落19-3白声		さんみ
60-028-01	平曲譜本	2673	1433	三	三	三位	三位の			1								×上××	LHL	8下惟落20-3白声		さんみ
60-028-01	平曲譜本	2674	1433	位	位	三位	三位の			2								×上××	LHL	8下惟落20-3白声		さんみ
60-028-01	平曲譜本	2675	1434	三	三	三位	三位の			1								×上××	LHL	8下戒文2-4口説		さんみ
60-028-01	平曲譜本	2676	1434	位	位	三位	三位の			2								×上××	LHL	8下戒文2-4口説		さんみ
60-028-01	平曲譜本	2677	1435	三	三	三位	三位の			1								×上××	LHL	8下戒文3-4口説		さんみ
60-028-01	平曲譜本	2678	1435	位	位	三位	三位の			2								×上××	LHL	8下戒文3-4口説		さんみ
60-028-01	平曲譜本	2679	1436	三	三	三位	三位の			1								×上××	LHL	8下六斬20-2口説		さんみ
60-028-01	平曲譜本	2680	1436	位	位	三位	三位の			2								×上××	LHL	8下六斬20-2口説		さんみ
60-028-01	平曲譜本	2681	1437	三	三	三位	三位の			1								×上××	LHL	9下惟出20-4素声		さんみ
60-028-01	平曲譜本	2682	1437	位	位	三位	三位の			2								×上××	LHL	9下惟出20-4素声		さんみ
60-028-01	平曲譜本	2683	1438	三	三	三位	三位の			1								×上××	LHL	9下惟出21-2素声		さんみ
60-028-01	平曲譜本	2684	1438	位	位	三位	三位の			2								×上××	LHL	9下惟出21-2素声		さんみ
60-028-01	平曲譜本	2685	1439	三	三	三位	三位の			1								×上××	LHL	9下惟出31-2口説		さんみ
60-028-01	平曲譜本	2686	1439	位	位	三位	三位の			2								×上××	LHL	9下惟出31-2口説		さんみ
60-028-01	平曲譜本	2687	1440	三	三	三位	三位の			1								×上××	LHL	9下惟出32-3口説		さんみ
60-028-01	平曲譜本	2688	1440	位	位	三位	三位の			2								×上××	LHL	9下惟出32-3口説		さんみ
60-028-01	平曲譜本	2689	1441	三	三	三位	三位の			1								×上××	LHL	10上若宮6-4白声		さんみ
60-028-01	平曲譜本	2690	1441	位	位	三位	三位の			2								×上××	LHL	10上若宮6-4白声		さんみ
60-028-01	平曲譜本	2691	1442	三	三	三位	三位の			1								×上××	LHL	10上若宮31-4口説		さんみ
60-028-01	平曲譜本	2692	1442	位	位	三位	三位の			2								×上××	LHL	10上若宮31-4口説		さんみ
60-028-01	平曲譜本	2693	1443	三	三	三位	三位の			1								×上××	LHL	六乞6-4口説		さんみ
60-028-01	平曲譜本	2694	1443	位	位	三位	三位の			2								×上××	LHL	六乞6-4口説		さんみ
60-028-01	平曲譜本	2695	1444	三	三	三位	三位の			1								×上××	LHL	六乞9-5口説		さんみ
60-028-01	平曲譜本	2696	1444	位	位	三位	三位の			2								×上××	LHL	六乞9-5口説		さんみ
60-028-01	平曲譜本	2697	1445	三	三	三位	三位の			1								×上××	LHL	六乞37-3口説		さんみ
60-028-01	平曲譜本	2698	1445	位	位	三位	三位の			2								×上××	LHL	六乞37-3口説		さんみ
60-028-01	平曲譜本	2699	1446	三	三	三位	三位の			1								×上××	LHL	六乞43-4白声		さんみ
60-028-01	平曲譜本	2700	1446	位	位	三位	三位の			2								×上××	LHL	六乞43-4白声		さんみ
60-028-01	平曲譜本	2701	1447	三	三	三位	三位の			1								×上××	LHL	12上行隆7-2口説		さんみ
60-028-01	平曲譜本	2702	1447	位	位	三位	三位の			2								×上××	LHL	12上行隆7-2口説		さんみ
60-028-01	平曲譜本	2703	1448	三	三	三位	三位の			1								×上××	LHL	12下横田27-3素声		さんみ
60-028-01	平曲譜本	2704	1448	位	位	三位	三位の			2								×上××	LHL	12下横田27-3素声		さんみ
60-028-01	平曲譜本	2705	1449	三	三	三位	三位の			1								×上××	LHL	13上門落14-1口説		さんみ
60-028-01	平曲譜本	2706	1449	位	位	三位	三位の			2								×上××	LHL	13上門落14-1口説		さんみ
60-028-01	平曲譜本	2707	1450	三	三	三位	三位の			1								×上××	LHL	13上門落15-2口説		さんみ
60-028-01	平曲譜本	2708	1450	位	位	三位	三位の			2								×上××	LHL	13上門落15-2口説		さんみ
60-028-01	平曲譜本	2709	1451	三	三	三位	三位の			1								×上××	LHL	13下法住28-3口説		さんみ
60-028-01	平曲譜本	2710	1451	位	位	三位	三位の			2								×上××	LHL	13下法住28-3口説		さんみ
60-028-01	平曲譜本	2711	1452	三	三	三位	三位の			1								×上××	LHL	13下法住29-1口説		さんみ
60-028-01	平曲譜本	2712	1452	位	位	三位	三位の			2								×上××	LHL	13下法住29-1口説		さんみ
60-028-01	平曲譜本	2713	1453	三	三	三位	三位の			1								×上××	LHL	13下法住73-2口説		さんみ
60-028-01	平曲譜本	2714	1453	位	位	三位	三位の			2								×上××	LHL	13下法住73-2口説		さんみ
60-028-01	平曲譜本	2715	1454	三	三	三位	三位の			1								×上××	LHL	14下重捕2-5口説		さんみ
60-028-01	平曲譜本	2716	1454	位	位	三位	三位の			2								×上××	LHL	14下重捕2-5口説		さんみ
60-028-01	平曲譜本	2717	1455	三	三	三位	三位の			1								×上××	LHL	14下重捕8-4白声		さんみ
60-028-01	平曲譜本	2718	1455	位	位	三位	三位の			2								×上××	LHL	14下重捕8-4白声		さんみ
60-028-01	平曲譜本	2719	1456	三	三	三位	三位の			1								×上××	LHL	14下重捕12-2口説		さんみ
60-028-01	平曲譜本	2720	1456	位	位	三位	三位の			2								×上××	LHL	14下重捕12-2口説		さんみ
60-028-01	平曲譜本	2721	1457	三	三	三位	三位の			1								×上××	LHL	14下重捕12-5口説		さんみ
60-028-01	平曲譜本	2722	1457	位	位	三位	三位の			2								×上××	LHL	14下重捕12-5口説		さんみ
60-028-01	平曲譜本	2723	1458	三	三	三位	三位の			1								×上××	LHL	15上頸渡3-1口説		さんみ
60-028-01	平曲譜本	2724	1458	位	位	三位	三位の			2								×上××	LHL	15上頸渡3-1口説		さんみ
60-028-01	平曲譜本	2725	1459	三	三	三位	三位の			1								×上××	LHL	15上頸渡4-3口説		さんみ
60-028-01	平曲譜本	2726	1459	位	位	三位	三位の			2								×上××	LHL	15上頸渡4-3口説		さんみ
60-028-01	平曲譜本	2727	1460	三	三	三位	三位の			1								×上××	LHL	15上頸渡19-4白声		さんみ
60-028-01	平曲譜本	2728	1460	位	位	三位	三位の			2								×上××	LHL	15上頸渡19-4白声		さんみ
60-028-01	平曲譜本	2729	1461	三	三	三位	三位の			1								×上××	LHL	15上頸渡23-4口説		さんみ
60-028-01	平曲譜本	2730	1461	位	位	三位	三位の			2								×上××	LHL	15上頸渡23-4口説		さんみ
60-028-01	平曲譜本	2731	1462	三	三	三位	三位の			1								×上××	LHL	15上内女8-2口説		さんみ
60-028-01	平曲譜本	2732	1462	位	位	三位	三位の			2								×上××	LHL	15上内女8-2口説		さんみ
60-028-01	平曲譜本	2733	1463	三	三	三位	三位の			1								×上××	LHL	15上内女13-5素声		さんみ
60-028-01	平曲譜本	2734	1463	位	位	三位	三位の			2								×上××	LHL	15上内女13-5素声		さんみ
60-028-01	平曲譜本	2735	1464	三	三	三位	三位の			1								×上××	LHL	15上内女14-4素声		さんみ
60-028-01	平曲譜本	2736	1464	位	位	三位	三位の			2								×上××	LHL	15上内女14-4素声		さんみ
60-028-01	平曲譜本	2737	1465	三	三	三位	三位の			1								×上××	LHL	15上内女28-2口説		さんみ
60-028-01	平曲譜本	2738	1465	位	位	三位	三位の			2								×上××	LHL	15上内女28-2口説		さんみ
60-028-01	平曲譜本	2739	1466	三	三	三位	三位の			1								×上××	LHL	15下門渡20-2口説		さんみ
60-028-01	平曲譜本	2740	1466	位	位	三位	三位の			2								×上××	LHL	15下門渡20-2口説		さんみ
60-028-01	平曲譜本	2741	1467	三	三	三位	三位の			1								×上××	LHL	五句高野1-2口説		さんみ
60-028-01	平曲譜本	2742	1467	位	位	三位	三位の			2								×上××	LHL	五句高野1-2口説		さんみ
60-028-01	平曲譜本	2743	1468	三	三	三位	三位の			1								×上××	LHL	五句高野2-2口説		さんみ
60-028-01	平曲譜本	2744	1468	位	位	三位	三位の			2								×上××	LHL	五句高野2-2口説		さんみ
60-028-01	平曲譜本	2745	1469	三	三	三位	三位の			1								×上××	LHL	灌頂女出19-2素声		さんみ
60-028-01	平曲譜本	2746	1469	位	位	三位	三位の			2								×上××	LHL	灌頂女出19-2素声		さんみ
60-028-01	平曲譜本	2747	1470	三	三	三位	三位の			1								×コ××	LHL	4下熊野12-4口説		さんみ
60-028-01	平曲譜本	2748	1470	位	位	三位	三位の			2								×コ××	LHL	4下熊野12-4口説		さんみ
60-028-01	平曲譜本	2749	1471	三	三	三位	三位の			1								×コ××	LHL	5下千寿1-2口説		さんみ
60-028-01	平曲譜本	2750	1471	位	位	三位	三位の			2								×コ××	LHL	5下千寿1-2口説		さんみ
60-028-01	平曲譜本	2751	1472	三	三	三位	三位の			1								×コ××	LHL	7下重斬15-1口説		さんみ
60-028-01	平曲譜本	2752	1472	位	位	三位	三位の			2								×コ××	LHL	7下重斬15-1口説		さんみ
60-028-01	平曲譜本	2753	1473	三	三	三位	三位の			1								×コ××	LHL	10下六乞4-4口説		さんみ
60-028-01	平曲譜本	2754	1473	位	位	三位	三位の			2								×コ××	LHL	10下六乞4-4口説		さんみ
60-028-01	平曲譜本	2755	1474	山	山	山野	山野			1								コア×	HLL	灌頂六道21-4シ口		さんや
60-028-01	平曲譜本	2756	1474	野	野	山野	山野			2								コア×	HLL	灌頂六道21-4シ口		さんや
60-028-01	平曲譜本	2757	1475	山	山	山野	山ﾝ野に			1								上×××	HLL	5下千寿9-2口説		さんや
60-028-01	平曲譜本	2758	1475	野	野	山野	山ﾝ野に			2								上×××	HLL	5下千寿9-2口説		さんや
60-028-01	平曲譜本	2759	1476	山	山	山野	山ﾝ野〈ﾔ〉の			1								上×××	HLL	7下惟水17-1口説		さんや
60-028-01	平曲譜本	2760	1476	野	野	山野	山ﾝ野〈ﾔ〉の			2								上×××	HLL	7下惟水17-1口説		さんや
60-028-01	平曲譜本	2761	1477	三	三	三里	三里			1								×上×	LHL	9下三草3-3口説		さんり
60-028-01	平曲譜本	2762	1477	里	里	三里	三里			2								×上×	LHL	9下三草3-3口説		さんり
60-028-01	平曲譜本	2763	1478	參	参	參籠	参籠し			1								上上コ××	HHHL	2下鷄合3-1口説		さんろう
60-028-01	平曲譜本	2764	1478	籠	籠	參籠	参籠し			2								上上コ××	HHHL	2下鷄合3-1口説		さんろう
60-028-01	平曲譜本	2765	1479	參	参	參籠	参籠の暁			1								上上上上上中中中中	HHHL	1下宇佐4-4指声		さんろう
60-028-01	平曲譜本	2766	1479	籠	籠	參籠	参籠の暁			2								上上上上上中中中中	HHHL	1下宇佐4-4指声		さんろう
60-028-01	平曲譜本	2767	1480	詩	詩	詩歌	詩ｲ歌			1								コ××	HLL	1下竹生2-1口説		しいか
60-028-01	平曲譜本	2768	1480	歌	歌	詩歌	詩ｲ歌			2								コ××	HLL	1下竹生2-1口説		しいか
60-028-01	平曲譜本	2769	1481	詩	詩	詩歌	詩ｲ歌を			1								上中中中	HLL	3上少還22-5指声		しいか
60-028-01	平曲譜本	2770	1481	歌	歌	詩歌	詩ｲ歌を			2								上中中中	HLL	3上少還22-5指声		しいか
60-028-01	平曲譜本	2771	1482	旨	旨	旨趣	旨趣〈ｼｲｼﾕ〉を			1								コ×××	HLL	5上小松29-3口説		しいしゅ
60-028-01	平曲譜本	2772	1482	趣	趣	旨趣	旨趣〈ｼｲｼﾕ〉を			2								コ×××	HLL	5上小松29-3口説		しいしゅ
60-028-01	平曲譜本	2773	1483	四	四	四恩	四恩			1								コ××	HLL	5上小松29-4口説		しおん
60-028-01	平曲譜本	2774	1483	恩	恩	四恩	四恩			2								コ××	HLL	5上小松29-4口説		しおん
60-028-01	平曲譜本	2775	1484	自	自	自害	自害			1								上上×	HHL	4下内侍1-3口説		じがい
60-028-01	平曲譜本	2776	1484	害	害	自害	自害			2								上上×	HHL	4下内侍1-3口説		じがい
60-028-01	平曲譜本	2777	1485	自	自	自害	自害			1								上上×	HHL	6上宮最18-2素声		じがい
60-028-01	平曲譜本	2778	1485	害	害	自害	自害			2								上上×	HHL	6上宮最18-2素声		じがい
60-028-01	平曲譜本	2779	1486	自	自	自害	自害			1								上上×	HHL	8下落足6-4素声		じがい
60-028-01	平曲譜本	2780	1486	害	害	自害	自害			2								上上×	HHL	8下落足6-4素声		じがい
60-028-01	平曲譜本	2781	1487	自	自	自害	自害			1								上コ×	HHL	6上宮最13-4口説		じがい
60-028-01	平曲譜本	2782	1487	害	害	自害	自害			2								上コ×	HHL	6上宮最13-4口説		じがい
60-028-01	平曲譜本	2783	1488	自	自	自害	自害にこそ			1								上上ｶｹツ中～	HHL	14上河原6-5コ下		じがい
60-028-01	平曲譜本	2784	1488	害	害	自害	自害にこそ			2								上上ｶｹツ中～	HHL	14上河原6-5コ下		じがい
60-028-01	平曲譜本	2785	1489	自	自	自害	自害は			1								上コ××	HHL	11上妓王63-3口説		じがい
60-028-01	平曲譜本	2786	1489	害	害	自害	自害は			2								上コ××	HHL	11上妓王63-3口説		じがい
60-028-01	平曲譜本	2787	1490	自	自	自害	自害を			1								上上××	HHL	6下木最21-4白声		じがい
60-028-01	平曲譜本	2788	1490	害	害	自害	自害を			2								上上××	HHL	6下木最21-4白声		じがい
60-028-01	平曲譜本	2789	1491	式	式	式部	式部の大輔			1								×上××―	LHL	9上阿古2-1口説		しきぶ
60-028-01	平曲譜本	2790	1491	部	部	式部	式部の大輔			2								×上××―	LHL	9上阿古2-1口説		しきぶ
60-028-01	平曲譜本	2791	1492	職	職	職位	職〈ｼｷ〉位に			1								上上××	HHL	12上許文17-5素声		しきゐ
60-028-01	平曲譜本	2792	1492	位	位	職位	職〈ｼｷ〉位に			2								上上××	HHL	12上許文17-5素声		しきゐ
60-028-01	平曲譜本	2793	1493	寺	寺	寺官	寺゛官			1								上××	HLL	11上願立11-1素声		じくゎん
60-028-01	平曲譜本	2794	1493	官	官	寺官	寺゛官			2								上××	HLL	11上願立11-1素声		じくゎん
60-028-01	平曲譜本	2795	1494	伺	伺	伺候/伺公	伺公			1								上××	HLL	15上内女17-4素声		しこう
60-028-01	平曲譜本	2796	1494	公	公	伺候/伺公	伺公			2								上××	HLL	15上内女17-4素声		しこう
60-028-01	平曲譜本	2797	1495	伺	伺	伺候/伺公	伺公			1								コ××	HLL	7上競28-3口説		しこう
60-028-01	平曲譜本	2798	1495	公	公	伺候/伺公	伺公			2								コ××	HLL	7上競28-3口説		しこう
60-028-01	平曲譜本	2799	1496	伺	伺	伺候/伺公	伺公の			1								上×××	HLL	15下臣誅28-5素声		しこう
60-028-01	平曲譜本	2800	1496	公	公	伺候/伺公	伺公の			2								上×××	HLL	15下臣誅28-5素声		しこう
60-028-01	平曲譜本	2801	1497	伺	伺	伺候/伺公	伺候の由			1								上中上上上上	HLL	2上殿上25-4折声		しこう
60-028-01	平曲譜本	2802	1497	候	候	伺候/伺公	伺候の由			2								上中上上上上	HLL	2上殿上25-4折声		しこう
60-028-01	平曲譜本	2803	1498	四	四	四國	四国の者共゛			1								××上上コ×××	HHL	6下藤戸3-3口説		しこく
60-028-01	平曲譜本	2804	1498	國	国	四國	四国の者共゛			2								××上上コ×××	HHL	6下藤戸3-3口説		しこく
60-028-01	平曲譜本	2805	1499	四	四	四國	四国の者共゛			1								××上上コ×××	HHL	10下壇浦9-3口説		しこく
60-028-01	平曲譜本	2806	1499	國	国	四國	四国の者共゛			2								××上上コ×××	HHL	10下壇浦9-3口説		しこく
60-028-01	平曲譜本	2807	1500	四	四	四國	四国の者とも			1								××上上コ×××	HHL	間物道逝1-2口説		しこく
60-028-01	平曲譜本	2808	1500	國	国	四國	四国の者とも			2								××上上コ×××	HHL	間物道逝1-2口説		しこく
60-028-01	平曲譜本	2809	1501	四	四	四國	四国のものども			1								××上上コ×××	HHL	14上六度1-3口説		しこく
60-028-01	平曲譜本	2810	1501	國	国	四國	四国のものども			2								××上上コ×××	HHL	14上六度1-3口説		しこく
60-028-01	平曲譜本	2811	1502	四	四	四國	四国へぞ			1								上上×××	HHL	9下太宰29-1白声		しこく
60-028-01	平曲譜本	2812	1502	國	国	四國	四国へぞ			2								上上×××	HHL	9下太宰29-1白声		しこく
60-028-01	平曲譜本	2813	1503	四	四	四國	四国へぞ			1								上上×××	HHL	14上六度9-3口説		しこく
60-028-01	平曲譜本	2814	1503	國	国	四國	四国へぞ			2								上上×××	HHL	14上六度9-3口説		しこく
60-028-01	平曲譜本	2815	1504	四	四	四國	四国をば			1								上上×××	HHL	15下志渡4-1口説		しこく
60-028-01	平曲譜本	2816	1504	國	国	四國	四国をば			2								上上×××	HHL	15下志渡4-1口説		しこく
60-028-01	平曲譜本	2817	1505	四	四	四國	四国をば			1								上上×××	HHL	15下志渡22-3口説		しこく
60-028-01	平曲譜本	2818	1505	國	国	四國	四国をば			2								上上×××	HHL	15下志渡22-3口説		しこく
60-028-01	平曲譜本	2819	1506	時	時	時刻	時刻			1								上××	HLL	10下六乞31-5白声		じこく
60-028-01	平曲譜本	2820	1506	刻	刻	時刻	時刻			2								上××	HLL	10下六乞31-5白声		じこく
60-028-01	平曲譜本	2821	1507	時	時	時刻	時゛刻			1								上××	HLL	15上内女31-1口説		じこく
60-028-01	平曲譜本	2822	1507	刻	刻	時刻	時゛刻			2								上××	HLL	15上内女31-1口説		じこく
60-028-01	平曲譜本	2823	1508	時	時	時刻	時゛刻			1								上××	HLL	揃物大衆19-2口説		じこく
60-028-01	平曲譜本	2824	1508	刻	刻	時刻	時゛刻			2								上××	HLL	揃物大衆19-2口説		じこく
60-028-01	平曲譜本	2825	1509	時	時	時刻	時刻を			1								上×××	HLL	11下座流20-3口説		じこく
60-028-01	平曲譜本	2826	1509	刻	刻	時刻	時刻を			2								上×××	HLL	11下座流20-3口説		じこく
