資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	位置	単字長	声点	声点型	仮名	仮名型	反切	類音注	節博士	その他	出現位置	備考	推定語形
60-028-01	平曲譜本	48	35	意	意	意趣	意趣を			1								上××	HL	15上三日29-5口説		いしゅ
60-028-01	平曲譜本	49	35	趣	趣	意趣	意趣を			2								上××	HL	15上三日29-5口説		いしゅ
60-028-01	平曲譜本	50	36	醫	医	醫術	醫術［ﾉﾑ］			1								上××	HLL	9上医師26-2口説		いじゅつ
60-028-01	平曲譜本	51	36	術	術	醫術	醫術［ﾉﾑ］			2								上××	HLL	9上医師26-2口説		いじゅつ
60-028-01	平曲譜本	52	37	醫	医	醫術	醫術［ﾉﾑ］に			1								上×××	HLL	9上医師25-5口説		いじゅつ
60-028-01	平曲譜本	53	37	術	術	醫術	醫術［ﾉﾑ］に			2								上×××	HLL	9上医師25-5口説		いじゅつ
60-028-01	平曲譜本	54	38	衣	衣	衣食	衣食を			1								上×××	HLL	読上康頼2-1口説		いしょく
60-028-01	平曲譜本	55	38	食	食	衣食	衣食を			2								上×××	HLL	読上康頼2-1口説		いしょく
60-028-01	平曲譜本	56	39	以	以	以前	以前より			1								上××××	HLL	4下内侍6-5素声		いぜん
60-028-01	平曲譜本	57	39	前	前	以前	以前より			2								上××××	HLL	4下内侍6-5素声		いぜん
60-028-01	平曲譜本	58	40	以	以	以前	以前より			1								上××××	HLL	15上頸渡20-1白声		いぜん
60-028-01	平曲譜本	59	40	前	前	以前	以前より			2								上××××	HLL	15上頸渡20-1白声		いぜん
60-028-01	平曲譜本	60	41	夷	夷	夷賊	夷賊の			1								上×××	HLL	読下山返3-4口説		いぞく
60-028-01	平曲譜本	61	41	賊	賊	夷賊	夷賊の			2								上×××	HLL	読下山返3-4口説		いぞく
60-028-01	平曲譜本	62	42	醫	医	醫道	醫道゛			1								コ××	HLL	9上医師26-1口説		いだう
60-028-01	平曲譜本	63	42	道	道	醫道	醫道゛			2								コ××	HLL	9上医師26-1口説		いだう
60-028-01	平曲譜本	64	43	一	一	一	一に			1								上ｶｹツ	HL	3下宇治10-1コ下		いち
60-028-01	平曲譜本	65	44	一	一	一	一の馬とて			1								上上上コ×××	HL	10上物怪10-4口説		いち
60-028-01	平曲譜本	66	45	一	一	一	一の美人			1								上上上上××	HL	14下小宰42-4白声		いち
60-028-01	平曲譜本	67	46	一	一	一	一の御〈ﾐ〉子			1								上上×××	HL	4下那都13-5素声		いち
60-028-01	平曲譜本	68	47	一	一	一	一の御〈ﾐ〉子			1								上上×××	HL	4下那都20-2口説		いち
60-028-01	平曲譜本	69	48	一	一	一	一の御〈ﾐ〉子			1								上上×××	HL	4下那都20-5口説		いち
60-028-01	平曲譜本	70	49	一	一	一	一ﾁの御厩〈ﾐﾏﾔ〉に			1								上上上上上上×	HL	7下濱軍11-2白声		いち
60-028-01	平曲譜本	71	50	一	一	一期	一ﾁ期が			1								上×××	HLL	8下六斬5-1口説		いちご
60-028-01	平曲譜本	72	50	期	期	一期	一ﾁ期が			2								上×××	HLL	8下六斬5-1口説		いちご
60-028-01	平曲譜本	73	51	一	一	一期	一ﾁ期が			1								上×××	HLL	10上慈心18-1白声		いちご
60-028-01	平曲譜本	74	51	期	期	一期	一ﾁ期が			2								上×××	HLL	10上慈心18-1白声		いちご
60-028-01	平曲譜本	75	52	一	一	一期	一ﾁ期が			1								上×××	HLL	読上請文15-3白声		いちご
60-028-01	平曲譜本	76	52	期	期	一期	一ﾁ期が			2								上×××	HLL	読上請文15-3白声		いちご
60-028-01	平曲譜本	77	53	一	一	一期	一ﾁ期が			1								上×××	HLL	五句高野14-2白声		いちご
60-028-01	平曲譜本	78	53	期	期	一期	一ﾁ期が			2								上×××	HLL	五句高野14-2白声		いちご
60-028-01	平曲譜本	79	54	一	一	一期	一期の			1								上×××	HLL	2上鵺5-5白声		いちご
60-028-01	平曲譜本	80	54	期	期	一期	一期の			2								上×××	HLL	2上鵺5-5白声		いちご
60-028-01	平曲譜本	81	55	一	一	一期	一期の			1								上×××	HLL	8上法印30-3口説		いちご
60-028-01	平曲譜本	82	55	期	期	一期	一期の			2								上×××	HLL	8上法印30-3口説		いちご
60-028-01	平曲譜本	83	56	一	一	一期	一期の			1								上×××	HLL	8下六斬15-2		いちご
60-028-01	平曲譜本	84	56	期	期	一期	一期の			2								上×××	HLL	8下六斬15-2		いちご
60-028-01	平曲譜本	85	57	一	一	一期	一期の			1								上×××	HLL	9上医師3-1口説		いちご
60-028-01	平曲譜本	86	57	期	期	一期	一期の			2								上×××	HLL	9上医師3-1口説		いちご
60-028-01	平曲譜本	87	58	一	一	一期	一期の			1								上×××	HLL	10下六乞52-1白声		いちご
60-028-01	平曲譜本	88	58	期	期	一期	一期の			2								上×××	HLL	10下六乞52-1白声		いちご
60-028-01	平曲譜本	89	59	一	一	一期	一期の			1								上×××	HLL	12下道逝20-1口説		いちご
60-028-01	平曲譜本	90	59	期	期	一期	一期の			2								上×××	HLL	12下道逝20-1口説		いちご
60-028-01	平曲譜本	91	60	一	一	一業	一業〈ｶﾞｳ〉			1								上×××	HLLL	10下六乞73-1口説		いちごふ
60-028-01	平曲譜本	92	60	業	業	一業	一業〈ｶﾞｳ〉			2								上×××	HLLL	10下六乞73-1口説		いちごふ
60-028-01	平曲譜本	93	61	一	一	一劫	一ﾁ劫〈ｶﾞｳ〉も			1								コ××××	HLLL	読下伊豆8-5口説		いちごふ
60-028-01	平曲譜本	94	61	劫	劫	一劫	一ﾁ劫〈ｶﾞｳ〉も			2								コ××××	HLLL	読下伊豆8-5口説		いちごふ
60-028-01	平曲譜本	95	62	一	一	一事	一ﾁ事゛			1								上上×	HHL	2下征夷14-1白声		いちじ
60-028-01	平曲譜本	96	62	事	事	一事	一ﾁ事゛			2								上上×	HHL	2下征夷14-1白声		いちじ
60-028-01	平曲譜本	97	63	一	一	一事	一ﾁ事も			1								上コ××	HHL	8上法印23-2口説		いちじ
60-028-01	平曲譜本	98	63	事	事	一事	一ﾁ事も			2								上コ××	HHL	8上法印23-2口説		いちじ
60-028-01	平曲譜本	99	64	一	一	一事	一ﾁ事も			1								上コ××	HHL	9下惟出13-2口説		いちじ
60-028-01	平曲譜本	100	64	事	事	一事	一ﾁ事も			2								上コ××	HHL	9下惟出13-2口説		いちじ
60-028-01	平曲譜本	101	65	一	一	一樹	一樹の陰に			1								上上上上中上上	HXX	11上妓王28-5折声		いちじゅ
60-028-01	平曲譜本	102	65	樹	樹	一樹	一樹の陰に			2								上上上上中上上	HXX	11上妓王28-5折声		いちじゅ
60-028-01	平曲譜本	103	66	一	一	一樹	一樹の陰に			1								上上上コ×××	HXX	5下福原2-4口説		いちじゅ
60-028-01	平曲譜本	104	66	樹	樹	一樹	一樹の陰に			2								上上上コ×××	HXX	5下福原2-4口説		いちじゅ
60-028-01	平曲譜本	105	67	一	一	一定	一ﾁ代の			1								コ××××	HHHL	5下千寿8-5口説		いちぢゃう
60-028-01	平曲譜本	106	67	定	定	一定	一ﾁ代の			2								コ××××	HHHL	5下千寿8-5口説		いちぢゃう
60-028-01	平曲譜本	107	68	一	一	一定	一ﾁ定			1								上上上中	HHHL	14下小宰11-4指声		いちぢゃう
60-028-01	平曲譜本	108	68	定	定	一定	一ﾁ定			2								上上上中	HHHL	14下小宰11-4指声		いちぢゃう
60-028-01	平曲譜本	109	69	一	一	一定	一定゛			1								上上上×	HHHL	15下勝浦10-3素声		いちぢゃう
60-028-01	平曲譜本	110	69	定	定	一定	一定゛			2								上上上×	HHHL	15下勝浦10-3素声		いちぢゃう
60-028-01	平曲譜本	111	70	一	一	一度	一ﾁ度に			1								上上××	HHL	12上御産25-4素声		いちど
60-028-01	平曲譜本	112	70	度	度	一度	一ﾁ度に			2								上上××	HHL	12上御産25-4素声		いちど
60-028-01	平曲譜本	113	71	一	一	一度	一ﾁ度に			1								上上××	HHL	揃物公卿8-5白声		いちど
60-028-01	平曲譜本	114	71	度	度	一度	一ﾁ度に			2								上上××	HHL	揃物公卿8-5白声		いちど
60-028-01	平曲譜本	115	72	一	一	一度	一ﾁ度に			1								上コ××	HHL	13上倶利2-3口説		いちど
60-028-01	平曲譜本	116	72	度	度	一度	一ﾁ度に			2								上コ××	HHL	13上倶利2-3口説		いちど
60-028-01	平曲譜本	117	73	一	一	一度	一ﾁ度゛に			1								上コ××	HHL	5上鵜川3-1口説		いちど
60-028-01	平曲譜本	118	73	度	度	一度	一ﾁ度゛に			2								上コ××	HHL	5上鵜川3-1口説		いちど
60-028-01	平曲譜本	119	74	一	一	一度	一ﾁ度は			1								上上××	HHL	8上法印27-3素声		いちど
60-028-01	平曲譜本	120	74	度	度	一度	一ﾁ度は			2								上上××	HHL	8上法印27-3素声		いちど
60-028-01	平曲譜本	121	75	一	一	一度	一ﾁ度゛は			1								上上××	HHL	2上足摺17-5白声		いちど
60-028-01	平曲譜本	122	75	度	度	一度	一ﾁ度゛は			2								上上××	HHL	2上足摺17-5白声		いちど
60-028-01	平曲譜本	123	76	一	一	一日	一ﾁ日			1								上上コ×	HHHL	五句都遷2-3口説		いちにち
60-028-01	平曲譜本	124	76	日	日	一日	一ﾁ日			2								上上コ×	HHHL	五句都遷2-3口説		いちにち
60-028-01	平曲譜本	125	77	一	一	一日	一ﾁ日片ﾝ時［ｽ］			1								上上上上中上中	HHHL	読上請文8-2折声		いちにち
60-028-01	平曲譜本	126	77	日	日	一日	一ﾁ日片ﾝ時［ｽ］			2								上上上上中上中	HHHL	読上請文8-2折声		いちにち
60-028-01	平曲譜本	127	78	一	一	一日	一ﾁ日片ﾝ時［ｽ］			1								上上上コ×××	HHHL	10下六乞76-3口説		いちにち
60-028-01	平曲譜本	128	78	日	日	一日	一ﾁ日片ﾝ時［ｽ］			2								上上上コ×××	HHHL	10下六乞76-3口説		いちにち
60-028-01	平曲譜本	129	79	一	一	一日	一日片ﾝ時も			1								上上上コ××××	HHHL	3上少還8-5口説		いちにち
60-028-01	平曲譜本	130	79	日	日	一日	一日片ﾝ時も			2								上上上コ××××	HHHL	3上少還8-5口説		いちにち
60-028-01	平曲譜本	131	80	一	一	一日	一ﾁ日だにも			1								上上コ××××	HHHL	13上門落5-2口説		いちにち
60-028-01	平曲譜本	132	80	日	日	一日	一ﾁ日だにも			2								上上コ××××	HHHL	13上門落5-2口説		いちにち
60-028-01	平曲譜本	133	81	一	一	一日	一日に			1								上上上中上	HHHL	5下判官5-1折声		いちにち
60-028-01	平曲譜本	134	81	日	日	一日	一日に			2								上上上中上	HHHL	5下判官5-1折声		いちにち
60-028-01	平曲譜本	135	82	一	一	一日	一ﾁ日の出家の			1								上上上上上××上上	HHHL	7下惟水18-3白声		いちにち
60-028-01	平曲譜本	136	82	日	日	一日	一ﾁ日の出家の			2								上上上上上××上上	HHHL	7下惟水18-3白声		いちにち
60-028-01	平曲譜本	137	83	一	一	一日	一ﾁ日の出家の			1								上上上上上××上上	HHHL	7下惟水18-5白声		いちにち
60-028-01	平曲譜本	138	83	日	日	一日	一ﾁ日の出家の			2								上上上上上××上上	HHHL	7下惟水18-5白声		いちにち
60-028-01	平曲譜本	139	84	一	一	一日	一ﾁ日も			1								上上上××	HHHL	1上厳還16-1素声		いちにち
60-028-01	平曲譜本	140	84	日	日	一日	一ﾁ日も			2								上上上××	HHHL	1上厳還16-1素声		いちにち
60-028-01	平曲譜本	141	85	一	一	一日	一ﾁ日も			1								上上上××	HHHL	1下土佐4-5白声		いちにち
60-028-01	平曲譜本	142	85	日	日	一日	一ﾁ日も			2								上上上××	HHHL	1下土佐4-5白声		いちにち
60-028-01	平曲譜本	143	86	一	一	一日	一ﾁ日も			1								上上上××	HHHL	7上廻文9-2白声		いちにち
60-028-01	平曲譜本	144	86	日	日	一日	一ﾁ日も			2								上上上××	HHHL	7上廻文9-2白声		いちにち
60-028-01	平曲譜本	145	87	一	一	一日	一ﾁ日も			1								上上上××	HHHL	13上北国5-2白声		いちにち
60-028-01	平曲譜本	146	87	日	日	一日	一ﾁ日も			2								上上上××	HHHL	13上北国5-2白声		いちにち
60-028-01	平曲譜本	147	88	一	一	一日	一ﾁ日も			1								上上コ××	HHHL	7上東下1-3口説		いちにち
60-028-01	平曲譜本	148	88	日	日	一日	一ﾁ日も			2								上上コ××	HHHL	7上東下1-3口説		いちにち
60-028-01	平曲譜本	149	89	一	一	一日	一ﾁ日も			1								上上コ××	HHHL	8上冨士9-4口説		いちにち
