資料番号	資料名	資料内漢字番号	資料内漢語番号_仮	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-038-03	魚山六巻帖五悔	228	98	迷	迷	愚迷	愚迷			2		平濁	＊平濁	ヘイ	＊ヘイ				e1	81:8		T2712_.84.0818d16
30-038-03	魚山六巻帖五悔	229	99	具	具	具悲智	具悲智			1									f2	81:8		T2712_.84.0818d16
30-038-03	魚山六巻帖五悔	230	99	悲	悲	具悲智	具悲智			2									f2	81:8		T2712_.84.0818d16
30-038-03	魚山六巻帖五悔	231	99	智	智	具悲智	具悲智			3									e1	81:8		T2712_.84.0818d16
30-038-03	魚山六巻帖五悔	232	100	悉	悉	悉能	悉能			1				シツ	シツノウ				〔右〕e2	82:1		T2712_.84.0818d15
30-038-03	魚山六巻帖五悔	233	100	能	能	悉能	悉能			2				ノウ	シツノウ				e1	82:1		T2712_.84.0818d15
30-038-03	魚山六巻帖五悔	234	101	滿	満	滿足	満足			1		上濁	上濁入濁	マン	マンソ〈ク〉				e1	82:1		T2712_.84.0818d15
30-038-03	魚山六巻帖五悔	235	101	足	足	滿足	満足			2		入濁	上濁入濁	ソ〈ク〉	マンソ〈ク〉				e1	82:1		T2712_.84.0818d15
30-038-03	魚山六巻帖五悔	236	102	波	波	波羅密	波羅密			1			＊＊入濁		＊＊ヒ〈ツ〉				e4_	82:1		T2712_.84.0818d15
30-038-03	魚山六巻帖五悔	237	102	羅	羅	波羅密	波羅密			2			＊＊入濁		＊＊ヒ〈ツ〉				e5_	82:1		T2712_.84.0818d15
30-038-03	魚山六巻帖五悔	238	102	密	密	波羅密	波羅密			3		入濁	＊＊入濁	ヒ〈ツ〉	＊＊ヒ〈ツ〉				e1	82:1		T2712_.84.0818d15
30-038-03	魚山六巻帖五悔	239	103	冨	冨	冨樂	冨楽			1				フ	フラ〈ク〉				〔右〕r2	82:2		T2712_.84.0818d16
30-038-03	魚山六巻帖五悔	240	103	樂	楽	冨樂	冨楽			2				ラ〈ク〉	フラ〈ク〉				〔右〕e2	82:2		T2712_.84.0818d16
30-038-03	魚山六巻帖五悔	241	104	豐	豊	豐饒	豊饒			1			＊上濁	ホウ	ホウセウ				〔右〕ffr2	82:2		T2712_.84.0818d16
30-038-03	魚山六巻帖五悔	242	104	饒	饒	豐饒	豊饒			2		上濁	＊上濁	セウ	ホウセウ				e1	82:2		T2712_.84.0818d16
30-038-03	魚山六巻帖五悔	243	105	生	生	生勝族	生勝族			1					＊シシヨク				F1	82:2		T2712_.84.0818d16
30-038-03	魚山六巻帖五悔	244	105	勝	勝	生勝族	生勝族			2				シ	＊シシヨク				〔右〕r1	82:2		T2712_.84.0818d16
30-038-03	魚山六巻帖五悔	245	105	族	族	生勝族	生勝族			3				シヨク	＊シシヨク				e1	82:2		T2712_.84.0818d16
30-038-03	魚山六巻帖五悔	246	106	眷	眷	眷屬	眷属			1					＊シヨク				〔右〕r2	82:3		T2712_.84.0818d17
30-038-03	魚山六巻帖五悔	247	106	屬	属	眷屬	眷属			2				シヨク	＊シヨク				e2	82:3		T2712_.84.0818d17
30-038-03	魚山六巻帖五悔	248	107	廣	廣	廣多	廣多			1				クワウ	クワウ＊				e2	82:3		T2712_.84.0818d17
30-038-03	魚山六巻帖五悔	249	107	多	多	廣多	廣多			2					クワウ＊				f2	82:3		T2712_.84.0818d17
30-038-03	魚山六巻帖五悔	250	108	恆	恒	恆熾盛	恒熾盛			1				コウ	コウシセイ				F1	82:3		T2712_.84.0818d17
30-038-03	魚山六巻帖五悔	251	108	熾	熾	恆熾盛	恒熾盛			2				シ	コウシセイ				〔右〕r1	82:3		T2712_.84.0818d17
30-038-03	魚山六巻帖五悔	252	108	盛	盛	恆熾盛	恒熾盛			3				セイ	コウシセイ				e1	82:3		T2712_.84.0818d17
30-038-03	魚山六巻帖五悔	253	109	四	四	四無	四無			1			＊平濁						〔右〕r2	82:4		T2712_.84.0818d18
30-038-03	魚山六巻帖五悔	254	109	無	無	四無	四無			2		平濁	＊平濁						e2	82:4		T2712_.84.0818d18
30-038-03	魚山六巻帖五悔	255	110	_	_	_弁	_弁			1				カイ	カイヘン				e2	82:4		T2712_.84.0818d18
30-038-03	魚山六巻帖五悔	256	110	弁	弁	_弁	_弁			2				ヘン	カイヘン				e1	82:4		T2712_.84.0818d18
30-038-03	魚山六巻帖五悔	257	111	十	十	十自在	十自在			1				シム	シム＊サイ				F1	82:4		T2712_.84.0818d18
30-038-03	魚山六巻帖五悔	258	111	自	自	十自在	十自在			2					シム＊サイ				〔右〕r1	82:4		T2712_.84.0818d18
30-038-03	魚山六巻帖五悔	259	111	在	在	十自在	十自在			3				サイ	シム＊サイ				e1	82:4		T2712_.84.0818d18
30-038-03	魚山六巻帖五悔	260	112	六	六	六通	六通			1					＊トウ				〔右〕e2	82:5		T2712_.84.0818e01
30-038-03	魚山六巻帖五悔	261	112	通	通	六通	六通			2				トウ	＊トウ				f2	82:5		T2712_.84.0818e01
30-038-03	魚山六巻帖五悔	262	113	諸	諸	諸禪	諸禅			1									f2	82:5		T2712_.84.0818e01
30-038-03	魚山六巻帖五悔	263	113	禪	禅	諸禪	諸禅			2									e2	82:5		T2712_.84.0818e01
30-038-03	魚山六巻帖五悔	264	114	悉	悉	悉圓滿	悉圓満			1			＊＊平濁	シ〈ツ〉	シ〈ツ〉チヱン				〔右〕e2	82:5		T2712_.84.0818e01
30-038-03	魚山六巻帖五悔	265	114	圓	圓	悉圓滿	悉圓満			2			＊＊平濁	チヱン	シ〈ツ〉チヱン				e1	82:5		T2712_.84.0818e01
30-038-03	魚山六巻帖五悔	266	114	滿	満	悉圓滿	悉圓満			3		平濁	＊＊平濁		シ〈ツ〉チヱン				e1	82:5		T2712_.84.0818e01
30-038-03	魚山六巻帖五悔	267	115	如	如	如金剛憧	如金剛憧			1		平濁	平濁＊＊＊		＊＊＊タウ				f2	82:6		T2712_.84.0818e02
30-038-03	魚山六巻帖五悔	268	115	金	金	如金剛憧	如金剛憧			2			平濁＊＊＊		＊＊＊タウ				f2	82:6		T2712_.84.0818e02
30-038-03	魚山六巻帖五悔	269	115	剛	剛	如金剛憧	如金剛憧			3			平濁＊＊＊		＊＊＊タウ				f2	82:6		T2712_.84.0818e02
30-038-03	魚山六巻帖五悔	270	115	憧	憧	如金剛憧	如金剛憧			4			平濁＊＊＊	タウ	＊＊＊タウ				e1	82:6		T2712_.84.0818e02
30-038-03	魚山六巻帖五悔	271	116	及	及	及普賢	及普賢			1									F1	82:6		T2712_.84.0818e02
30-038-03	魚山六巻帖五悔	272	116	普	普	及普賢	及普賢			2									e2	82:6		T2712_.84.0818e02
30-038-03	魚山六巻帖五悔	273	116	賢	賢	及普賢	及普賢			3									e1	82:6		T2712_.84.0818e02
30-038-03	魚山六巻帖五悔	274	117	願	願	願讃	願讃			1		去濁	去濁上濁						〔右〕r2	82:7		T2712_.84.0818e03
30-038-03	魚山六巻帖五悔	275	117	讃	讃	願讃	願讃			2		上濁	去濁上濁						f3	82:7		T2712_.84.0818e03
30-038-03	魚山六巻帖五悔	276	118	廻	廻	廻向	廻向			1					＊キヤウ				e1	82:7		T2712_.84.0818e03
30-038-03	魚山六巻帖五悔	277	118	向	向	廻向	廻向			2				キヤウ	＊キヤウ				〔右〕r1	82:7		T2712_.84.0818e03
30-038-03	魚山六巻帖五悔	278	119	亦	亦	亦如是	亦如是			1			＊平濁＊						f2	82:7		T2712_.84.0818e03
30-038-03	魚山六巻帖五悔	279	119	如	如	亦如是	亦如是			2		平濁	＊平濁＊						e1	82:7		T2712_.84.0818e03
30-038-03	魚山六巻帖五悔	280	119	是	是	亦如是	亦如是			3			＊平濁＊						e1	82:7		T2712_.84.0818e03
